id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_neverland1_04_s_1,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_1,True,HotSpringInnOut_d,30,30,1.0,none,,,,,ludmilla_w,3,think,mica_w,1,cry,,,,,
event_neverland1_04_s_2,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_2,True,,30,30,1.0,event_bgm_neverland_hugme_night,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_3,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_3,True,,30,2,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_4,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_4,True,,2,2,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_5,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_5,True,,2,2,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_6,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_6,False,,2,S_10,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_7,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_7,True,,S_10,S_10,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_8,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_8,True,,S_10,S_10,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_9,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_9,True,,S_10,S_10,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_10,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_10,False,,S_10,S_10,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_11,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_11,False,,S_10,S_10,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_12,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_12,True,,S_10,S_10,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_13,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_13,True,,S_10,S_10,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_14,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_14,True,,S_10,S_10,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_15,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_15,True,,S_10,S_10,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_16,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_16,True,,S_10,30,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_17,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_17,True,,30,30,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_18,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_18,True,,30,30,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_19,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_19,True,,30,30,1.0,,,,,,,3,think,,1,cry,,,,,
event_neverland1_04_s_20,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_20,False,,S_10,S_10,1.0,,Low_2,,,,,3,think,,1,surprise,,,,,
event_neverland1_04_s_21,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_21,True,,2,2,1.0,,,,,,,3,idle,,1,surprise,,,,,
event_neverland1_04_s_22,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_22,True,,2,2,1.0,,,,,,,3,idle,,1,surprise,,,,,
event_neverland1_04_s_23,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_23,True,,2,2,1.0,,,,,,,3,idle,,1,sad,,,,,
event_neverland1_04_s_24,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_24,True,,2,2,1.0,,,,,,,3,think,,1,sad,,,,,
event_neverland1_04_s_25,40034,event_neverland1_04_s,Monologue,,,Locale_MainScenario:event_neverland1_04_s_25,False,,2,15,1.0,,,,,,,3,think,,1,sad,,,,,
event_neverland1_04_s_26,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_26,True,,15,150,1.0,,,,,,,3,think,,1,sad,,,,,
event_neverland1_04_s_27,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_27,True,,150,150,1.0,,,,,,,3,think,,1,sad,,,,,
event_neverland1_04_s_28,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_28,True,,150,15,1.0,,,,,,,3,think,,1,sad,,,,,
event_neverland1_04_s_29,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_29,True,,30,30,1.0,,,,,,,3,think,,1,idle,,,,,
event_neverland1_04_s_30,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_30,True,,30,30,1.0,,,,,,,3,think,,1,idle,,,,,
event_neverland1_04_s_31,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_31,True,,30,30,1.0,,,,,,,3,think,,1,idle,,,,,
event_neverland1_04_s_32,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_32,True,,30,30,1.0,,,,,,,3,think,,1,idle,,,,,
event_neverland1_04_s_33,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_33,False,,30,30,1.0,,,,,,,3,think,,1,sad,,,,,
event_neverland1_04_s_34,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_34,True,,30,3,1.0,,,,,,,3,think,,1,sad,,,,,
event_neverland1_04_s_35,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_35,True,,3,3,1.0,,,,,,,3,think,,1,sad,,,,,
event_neverland1_04_s_36,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_36,True,,3,3,1.0,,,,,,,3,idle,,1,sad,,,,,
event_neverland1_04_s_37,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_37,True,,3,3,1.0,,,,,,,3,idle,,1,sad,,,,,
event_neverland1_04_s_38,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_38,False,,3,1,1.0,,,,,,,3,idle,,1,special,,,,,
event_neverland1_04_s_39,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_39,True,,1,S_10,1.0,,,,,,,3,idle,,1,special,,,,,
event_neverland1_04_s_40,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_40,True,,S_10,S_10,1.0,,,,,,,3,idle,,1,special,,,,,
event_neverland1_04_s_41,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_41,True,,S_10,S_10,1.0,,,,,,,3,idle,,1,special,,,,,
event_neverland1_04_s_42,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_42,True,,S_10,S_10,1.0,,,,,,,3,idle,,1,idle,,,,,
event_neverland1_04_s_43,40034,event_neverland1_04_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_04_s_43,True,,S_10,2,1.0,,,,,,,3,idle,,1,idle,,,,,
event_neverland1_04_s_44,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_44,True,,2,2,1.0,,,,,,,3,idle,,1,idle,,,,,
event_neverland1_04_s_45,40034,event_neverland1_04_s,Monologue,,,Locale_MainScenario:event_neverland1_04_s_45,False,,2,2,1.0,none,,sfx_scn_running,,,,3,idle,,1,idle,mica_w,,,,
event_neverland1_04_s_46,40034,event_neverland1_04_s,Self,,,Locale_MainScenario:event_neverland1_04_s_46,False,,2,30,1.0,,,,,,,3,idle,,,,,,,,
event_neverland1_04_s_47,40034,event_neverland1_04_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_04_s_47,True,,30,30,1.0,event_bgm_neverland_schedulecheck_day,,,,,,3,smile,,,,,,,,
