id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_redash1_intermission_01_1,40031,event_redash1_intermission_01,Narration,Locale_MainScenario:event_redash1_intermission_01_1,False,MachineRoom,black,black,1.0,event_bgm_redash_goddesssquadbriefing,,,,,,commander,3,no,,redhood,5,go,liliweiss,1,think,,snowwhite_o,7,sad,,rapunzel_o,13,think,dorothy,15,think,hongryeon_o,17,think
event_redash1_intermission_01_2,40031,event_redash1_intermission_01,Speech,Locale_MainScenario:event_redash1_intermission_01_2,True,,L_30,L_30,1.0,,commander,commander,,,,,3,no,,,5,go,,1,think,,,7,sad,,,13,think,,15,think,,17,think
event_redash1_intermission_01_3,40031,event_redash1_intermission_01,Speech,Locale_MainScenario:event_redash1_intermission_01_3,True,,L_30,L_30,1.0,,commander,commander,,,,,3,no,,,5,go,,1,think,,,7,sad,,,13,think,,15,think,,17,think
event_redash1_intermission_01_4,40031,event_redash1_intermission_01,Speech,Locale_MainScenario:event_redash1_intermission_01_4,True,,L_30,L_30,1.0,,commander,commander,,,,,3,no,,,5,go,,1,think,,,7,sad,,,13,think,,15,think,,17,think
event_redash1_intermission_01_5,40031,event_redash1_intermission_01,Speech,Locale_MainScenario:event_redash1_intermission_01_5,True,,50,50,1.0,,redhood,redhood,,,,,3,no,,,5,go,,1,think,,,7,sad,,,13,think,,15,think,,17,think
event_redash1_intermission_01_6,40031,event_redash1_intermission_01,Speech,Locale_MainScenario:event_redash1_intermission_01_6,True,,L_30,L_30,1.0,,commander,commander,,,,,3,no,,,5,go,,1,think,,,7,sad,,,13,think,,15,think,,17,think
event_redash1_intermission_01_7,40031,event_redash1_intermission_01,Speech,Locale_MainScenario:event_redash1_intermission_01_7,True,,L_30,L_30,1.0,,commander,commander,,,,,3,no,,,5,go,,1,think,,,7,sad,,,13,think,,15,think,,17,think
event_redash1_intermission_01_8,40031,event_redash1_intermission_01,Speech,Locale_MainScenario:event_redash1_intermission_01_8,True,,L_30,31,1.0,,liliweiss,liliweiss,,,,,3,no,,,5,go,,1,think,,,7,sad,,,13,think,,15,think,,17,think
event_redash1_intermission_01_9,40031,event_redash1_intermission_01,Speech,Locale_MainScenario:event_redash1_intermission_01_9,True,,31,31,1.0,,commander,commander,,,,,3,no,,,5,go,,1,think,,,7,sad,,,13,think,,15,think,,17,think
event_redash1_intermission_01_10,40031,event_redash1_intermission_01,Speech,Locale_MainScenario:event_redash1_intermission_01_10,True,,31,31,1.0,,commander,commander,,,,,3,no,,,5,go,,1,think,,,7,sad,,,13,think,,15,think,,17,think
