id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
event_seayouagain1_03_e_1,40024,event_seayouagain1_03_e,Speech,liter_s,liter_s,Locale_MainScenario:event_seayouagain1_03_e_1,True,LogHouseIn_d,8,8,1.0,bgm_story_summermood,,,,liter_s,9,idle,,yan_s,7,idle,,mary_s,5,idle,,pepper_s,3,idle,,helm_s,1,idle,,anis_s,13,idle,,neon_s,15,idle,,rapi_s,17,idle,
event_seayouagain1_03_e_2,40024,event_seayouagain1_03_e,Speech,yan_s,yan_s,Locale_MainScenario:event_seayouagain1_03_e_2,True,,8,8,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,
event_seayouagain1_03_e_3,40024,event_seayouagain1_03_e,Speech,mary_s,mary_s,Locale_MainScenario:event_seayouagain1_03_e_3,True,,8,4,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,
event_seayouagain1_03_e_4,40024,event_seayouagain1_03_e,Self,,,Locale_MainScenario:event_seayouagain1_03_e_4,False,,4,4,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,
event_seayouagain1_03_e_5,40024,event_seayouagain1_03_e,Speech,helm_s,helm_s,Locale_MainScenario:event_seayouagain1_03_e_5,True,,10,10,1.0,,,,,,9,idle,liter_s,,7,idle,yan_s,,5,idle,mary_s,,3,idle,pepper_s,,1,idle,,,13,idle,,,15,idle,,,17,idle,
event_seayouagain1_03_e_6,40024,event_seayouagain1_03_e,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_03_e_6,True,,10,14,1.0,,,,,,,,,,,,,,,,,,,,,,1,idle,,,13,idle,,,15,idle,,,17,idle,
event_seayouagain1_03_e_7,40024,event_seayouagain1_03_e,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_03_e_7,True,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,1,idle,,,13,idle,,,15,idle,,,17,idle,
event_seayouagain1_03_e_8,40024,event_seayouagain1_03_e,Speech,neon_s,neon_s,Locale_MainScenario:event_seayouagain1_03_e_8,True,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,1,idle,,,13,idle,,,15,idle,,,17,idle,
event_seayouagain1_03_e_9,40024,event_seayouagain1_03_e,Speech,neon_s,neon_s,Locale_MainScenario:event_seayouagain1_03_e_9,True,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,1,idle,,,13,idle,,,15,idle,,,17,idle,
event_seayouagain1_03_e_10,40024,event_seayouagain1_03_e,Speech,helm_s,helm_s,Locale_MainScenario:event_seayouagain1_03_e_10,False,,10,1,1.0,,,,,,,,,,,,,,,,,,,,,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
