id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,fade,play_sound
event_lastkingdom1_02_e_1,40045,event_lastkingdom1_02_e,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_02_e_1,True,kilo,1,idle,chime,13,delight,crown,3,idle,marian_q,15,idle,CrownCastleDiningRoom_n,XXS_1300,XXS_130,1.0,event_bgm_lastkingdom_morningstar,,,,,,,,
event_lastkingdom1_02_e_2,40045,event_lastkingdom1_02_e,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_02_e_2,True,,1,idle,,13,delight,,3,idle,,15,idle,,XXS_130,XXS_130,1.0,,,,,,,,,
event_lastkingdom1_02_e_3,40045,event_lastkingdom1_02_e,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_02_e_3,True,,1,idle,,13,delight,,3,idle,,15,idle,,XXS_130,XXS_130,1.0,,,,,,,,,
event_lastkingdom1_02_e_4,40045,event_lastkingdom1_02_e,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_02_e_4,True,,1,idle,,13,delight,,3,idle,,15,idle,,XXS_130,XXS_130,1.0,,,,,,,,,
event_lastkingdom1_02_e_5,40045,event_lastkingdom1_02_e,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_02_e_5,False,,1,idle,,13,delight,,3,idle,,15,void,,XXS_130,S_10,1.0,,,,,,,,,
event_lastkingdom1_02_e_6,40045,event_lastkingdom1_02_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_02_e_6,True,,1,idle,,13,delight,,3,delight,,15,void,,S_10,30,1.0,,,,,,,,,
event_lastkingdom1_02_e_7,40045,event_lastkingdom1_02_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_02_e_7,True,,1,idle,,13,delight,,3,delight,,15,void,,30,300,1.0,,,,,,,,,
event_lastkingdom1_02_e_8,40045,event_lastkingdom1_02_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_02_e_8,False,,1,idle,,13,delight,,3,delight,,15,void,,1500,1500,1.0,,,,,,,,,
event_lastkingdom1_02_e_9,40045,event_lastkingdom1_02_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_02_e_9,True,,1,idle,,13,delight,,3,idle,,15,void,,300,300,1.0,,,,,,,,,
event_lastkingdom1_02_e_10,40045,event_lastkingdom1_02_e,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_02_e_10,True,,1,idle,,13,delight,,3,idle,,15,void,,XXS_1300,XXS_130,1.0,,,,,,,,,
event_lastkingdom1_02_e_11,40045,event_lastkingdom1_02_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_02_e_11,True,,1,idle,,13,delight,,3,idle,,15,void,,XXS_130,1315,1.0,,,,,,,,,
event_lastkingdom1_02_e_12,40045,event_lastkingdom1_02_e,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_02_e_12,True,,1,idle,,13,idle,,3,idle,,15,void,,1315,1315,1.0,,,,,,,,,
event_lastkingdom1_02_e_13,40045,event_lastkingdom1_02_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_02_e_13,True,,1,idle,,13,idle,,3,idle,,15,void,,1315,150,1.0,,,,,,,,,
event_lastkingdom1_02_e_14,40045,event_lastkingdom1_02_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_02_e_14,True,,1,idle,,13,idle,,3,idle,,15,void,,150,1500,1.0,,,,,,,,,
event_lastkingdom1_02_e_15,40045,event_lastkingdom1_02_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_02_e_15,True,,1,idle,,13,idle,,3,idle,,15,void,,1500,1500,1.0,,,,,,,,,
