id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
event_neverland1_06_s_1,40034,event_neverland1_06_s,Monologue,Locale_MainScenario:event_neverland1_06_s_1,False,HotSpringInnIn_s,13,13,1.0,event_bgm_neverland_snowflakes_sunset,,,,,,,,,
event_neverland1_06_s_2,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_2,True,,XS_130,XS_130,1.0,,belorta,belorta,belorta,13,idle,,,,
event_neverland1_06_s_3,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_3,True,,XS_130,XS_130,1.0,,belorta,belorta,,13,idle,,,,
event_neverland1_06_s_4,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_4,True,,XS_130,XS_130,1.0,,belorta,belorta,,13,idle,,,,
event_neverland1_06_s_5,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_5,True,,XS_130,S_10,1.0,,mica_w,mica_w,,13,idle,mica_w,1,special,
event_neverland1_06_s_6,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_6,True,,S_10,S_10,1.0,,mica_w,mica_w,,13,idle,,1,special,
event_neverland1_06_s_7,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_7,True,,S_10,S_10,1.0,,mica_w,mica_w,,13,idle,,1,special,
event_neverland1_06_s_8,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_8,True,,S_10,12,1.0,,belorta,belorta,,13,idle,,1,special,
event_neverland1_06_s_9,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_9,True,,12,12,1.0,,mica_w,mica_w,,13,idle,,1,surprise,
event_neverland1_06_s_10,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_10,True,,12,12,1.0,,belorta,belorta,,13,idle,,1,surprise,
event_neverland1_06_s_11,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_11,True,,S_10,S_100,0.6,,mica_w,mica_w,,13,idle,,1,surprise,
event_neverland1_06_s_12,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_12,True,,S_100,XS_130,1.0,,belorta,belorta,,13,delight,,1,surprise,
event_neverland1_06_s_13,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_13,True,HotSpringInnOut_s,12,12,1.0,,belorta,belorta,,13,delight,,1,special,black
event_neverland1_06_s_14,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_14,True,,12,12,1.0,,belorta,belorta,,13,delight,,1,special,
event_neverland1_06_s_15,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_15,True,,12,12,1.0,,mica_w,mica_w,,13,idle,,1,special,
event_neverland1_06_s_16,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_16,True,,12,XS_130,1.0,,belorta,belorta,,13,idle,,1,special,
event_neverland1_06_s_17,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_17,True,,XS_130,XS_130,1.0,,belorta,belorta,,13,idle,,1,special,
event_neverland1_06_s_18,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_18,True,,XS_130,12,1.0,,mica_w,mica_w,,13,idle,,1,special,
event_neverland1_06_s_19,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_19,True,,12,12,1.0,,belorta,belorta,,13,idle,,1,special,
event_neverland1_06_s_20,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_20,True,,12,12,1.0,,belorta,belorta,,13,idle,,1,special,
event_neverland1_06_s_21,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_21,True,,12,12,1.0,,mica_w,mica_w,,13,idle,,1,special,
event_neverland1_06_s_22,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_22,True,,12,12,1.0,,belorta,belorta,,13,delight,,1,special,
event_neverland1_06_s_23,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_23,True,,12,12,1.0,,mica_w,mica_w,,13,delight,,1,special,
event_neverland1_06_s_24,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_24,True,,12,12,1.0,,belorta,belorta,,13,idle,,1,special,
event_neverland1_06_s_25,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_25,True,,12,12,1.0,,mica_w,mica_w,,13,idle,,1,special,
event_neverland1_06_s_26,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_26,True,,12,12,1.0,,belorta,belorta,,13,idle,,1,special,
event_neverland1_06_s_27,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_27,True,,12,12,1.0,,mica_w,mica_w,,13,idle,,1,special,
event_neverland1_06_s_28,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_28,True,,12,XS_130,1.0,,belorta,belorta,,13,idle,,1,special,
event_neverland1_06_s_29,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_29,True,,XS_130,XS_1300,0.6,,belorta,belorta,,13,idle,,1,special,
event_neverland1_06_s_30,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_30,True,,XS_1300,XS_1300,1.0,,belorta,belorta,,13,idle,,1,special,
event_neverland1_06_s_31,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_31,True,,XS_1300,XS_1300,1.0,,belorta,belorta,,13,idle,,1,special,
event_neverland1_06_s_32,40034,event_neverland1_06_s,Monologue,Locale_MainScenario:event_neverland1_06_s_32,False,,XS_1300,S_10,1.0,,,,,13,idle,,1,special,
event_neverland1_06_s_33,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_33,False,,S_10,S_10,1.0,,mica_w,mica_w,,13,idle,,1,idle,
event_neverland1_06_s_34,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_34,True,,S_10,S_10,1.0,,belorta,belorta,,13,idle,,1,idle,
event_neverland1_06_s_35,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_35,True,,S_10,S_10,1.0,,mica_w,mica_w,,13,idle,,1,delight,
event_neverland1_06_s_36,40034,event_neverland1_06_s,Monologue,Locale_MainScenario:event_neverland1_06_s_36,False,,S_10,S_100,1.0,,,,,13,delight,,1,delight,
event_neverland1_06_s_37,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_37,True,,S_100,12,1.0,,belorta,belorta,,13,delight,,1,delight,
event_neverland1_06_s_38,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_38,True,,12,12,1.0,,belorta,belorta,,13,delight,,1,delight,
event_neverland1_06_s_39,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_39,True,,12,12,1.0,,belorta,belorta,,13,delight,,1,delight,
event_neverland1_06_s_40,40034,event_neverland1_06_s,Speech,Locale_MainScenario:event_neverland1_06_s_40,True,,12,12,1.0,,mica_w,mica_w,,13,delight,,1,delight,
event_neverland1_06_s_41,40034,event_neverland1_06_s,Monologue,Locale_MainScenario:event_neverland1_06_s_41,False,,12,12,1.0,,,,,13,delight,,1,delight,
