id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,play_ambient,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_ce003_1_01_s_1,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_1,True,Office,L_10,L_10,1.0,bgm_story_fairytalesend_if,,,,,,andersen,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_2,40041,event_ce003_1_01_s,Self,andersen,,Locale_SubScenario:event_ce003_1_01_s_2,False,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_3,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_3,True,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_4,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_4,True,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_5,40041,event_ce003_1_01_s,Choice,andersen,,Locale_SubScenario:event_ce003_1_01_s_5,False,,L_10,L_10,1.0,,event_ce003_1_01_s_7,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_6,40041,event_ce003_1_01_s,Choice,andersen,,Locale_SubScenario:event_ce003_1_01_s_6,False,,L_10,L_10,1.0,,event_ce003_1_01_s_10,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_7,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_7,True,,L_10,L_100,1.0,,,,,,,,1,delight,,,,,,,,,,,,,,,,
event_ce003_1_01_s_8,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_8,True,,L_100,L_100,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_9,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_9,True,,L_100,L_10,1.0,,event_ce003_1_01_s_45,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_10,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_10,True,,L_10,L_100,1.0,,,,,,,,1,think,,,,,,,,,,,,,,,,
event_ce003_1_01_s_11,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_11,True,,L_100,L_100,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_12,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_12,True,,L_100,L_100,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_13,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_13,True,,L_100,L_100,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_14,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_14,True,,L_100,L_100,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_15,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_15,True,,L_100,L_100,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_16,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_16,True,,L_100,L_100,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_17,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_17,True,,L_100,L_100,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_18,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_18,True,,L_100,L_100,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
event_ce003_1_01_s_19,40041,event_ce003_1_01_s,Speech,andersen,andersen,Locale_SubScenario:event_ce003_1_01_s_19,True,,L_100,L_100,1.0,,,,,,,,1,idle,,,,,,,,,,,,,,,,
