id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_neverland2_05_e_1,40035,event_neverland2_05_e,Monologue,Locale_MainScenario:event_neverland2_05_e_1,False,Drain,black,black,1.0,none,,,,,ludmilla_w,3,angry,mica_w,1,surprise,blanc_c,5,think,noir_c,7,surprise
event_neverland2_05_e_2,40035,event_neverland2_05_e,Narration,Locale_MainScenario:event_neverland2_05_e_2,False,,17,15,1.0,,sfx_scn_bear_idle,,,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_3,40035,event_neverland2_05_e,Narration,Locale_MainScenario:event_neverland2_05_e_3,False,,15,15,1.0,,sfx_scn_bear_idle_2,,,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_4,40035,event_neverland2_05_e,Self,Locale_MainScenario:event_neverland2_05_e_4,False,,15,15,1.0,,,,,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_5,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_5,False,,30,30,1.0,,,ludmilla_w,ludmilla_w,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_6,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_6,True,,30,30,1.0,bgm_enemyclose,,ludmilla_w,ludmilla_w,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_7,40035,event_neverland2_05_e,Self,Locale_MainScenario:event_neverland2_05_e_7,False,,30,30,1.0,,,,,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_8,40035,event_neverland2_05_e,Monologue,Locale_MainScenario:event_neverland2_05_e_8,False,,30,3,1.0,,,,,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_9,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_9,True,,3,75,1.0,,,noir_c,noir_c,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_10,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_10,True,,75,75,1.0,,,blanc_c,blanc_c,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_11,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_11,True,,75,53,1.0,,,ludmilla_w,ludmilla_w,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_12,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_12,True,,53,31,1.0,,,mica_w,mica_w,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_13,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_13,True,,31,31,1.0,,,mica_w,mica_w,,,3,angry,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_14,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_14,True,,31,31,1.0,,,ludmilla_w,ludmilla_w,,,3,think,,1,surprise,,5,think,,7,surprise
event_neverland2_05_e_15,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_15,True,,31,31,1.0,,,mica_w,mica_w,,,3,think,,1,no,,5,think,,7,surprise
event_neverland2_05_e_16,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_16,True,,31,31,1.0,,,mica_w,mica_w,,,3,think,,1,no,,5,think,,7,idle
event_neverland2_05_e_17,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_17,True,,31,31,1.0,,,mica_w,mica_w,,,3,think,,1,no,,5,think,,7,idle
event_neverland2_05_e_18,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_18,True,,31,31,1.0,,,ludmilla_w,ludmilla_w,,,3,think,,1,no,,5,think,,7,idle
event_neverland2_05_e_19,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_19,True,,31,31,1.0,,,mica_w,mica_w,,,3,think,,1,no,,5,think,,7,idle
event_neverland2_05_e_20,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_20,False,,31,31,1.0,,,ludmilla_w,ludmilla_w,,,3,think,,1,no,,5,think,,7,idle
event_neverland2_05_e_21,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_21,True,,31,31,1.0,,,ludmilla_w,ludmilla_w,,,3,think,,1,no,,5,think,,7,idle
event_neverland2_05_e_22,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_22,True,,31,31,1.0,,,ludmilla_w,ludmilla_w,,,3,think,,1,no,,5,think,,7,idle
event_neverland2_05_e_23,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_23,True,,31,31,1.0,,,mica_w,mica_w,,,3,think,,1,no,,5,think,,7,idle
event_neverland2_05_e_24,40035,event_neverland2_05_e,Monologue,Locale_MainScenario:event_neverland2_05_e_24,False,,31,13,1.0,,,,,,,3,think,,13,no,,5,think,,7,idle
event_neverland2_05_e_25,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_25,False,,13,13,1.0,,,mica_w,mica_w,,,3,think,,13,no,,5,think,,7,idle
event_neverland2_05_e_26,40035,event_neverland2_05_e,Monologue,Locale_MainScenario:event_neverland2_05_e_26,False,,13,S_130,1.0,,,,,,,3,think,,13,no,,5,think,,7,idle
event_neverland2_05_e_27,40035,event_neverland2_05_e,Monologue,Locale_MainScenario:event_neverland2_05_e_27,False,,black,black,1.0,,,,,,,3,think,,13,no,,5,think,,7,idle
event_neverland2_05_e_28,40035,event_neverland2_05_e,Monologue,Locale_MainScenario:event_neverland2_05_e_28,False,,black,black,1.0,,,,,,,3,think,,13,no,,5,think,,7,idle
event_neverland2_05_e_29,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_29,True,,300,300,1.0,,,ludmilla_w,ludmilla_w,,,3,think,,13,no,,5,think,,7,idle
event_neverland2_05_e_30,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_30,True,IceLand_n,L_500,L_500,1.0,none,,blanc_c,blanc_c,black,,3,think,,1,no,,5,think,,7,idle
event_neverland2_05_e_31,40035,event_neverland2_05_e,Speech,Locale_MainScenario:event_neverland2_05_e_31,False,,S_100,S_100,1.0,,,mica_w,mica_w,,,3,think,,1,special,,5,think,,7,idle
