id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_lastkingdom2_b01_e_1,40046,event_lastkingdom2_b01_e,Narration,Locale_MainScenario:event_lastkingdom2_b01_e_1,False,CrownCasltePanorama_d,black,black,1.0,sfx_scn_regeneration,event_bgm_lastkingdom_whisperoffear,,,,indivilia,1,special,talkative,13,idle,snowwhite,3,pain,,hongryeon,5,surprise,,,,,,,
event_lastkingdom2_b01_e_2,40046,event_lastkingdom2_b01_e,Narration,Locale_MainScenario:event_lastkingdom2_b01_e_2,False,,1,L_10,1.0,,,,,,,1,special,,13,idle,,3,pain,,,5,surprise,,,,,,,
event_lastkingdom2_b01_e_3,40046,event_lastkingdom2_b01_e,Speech,Locale_MainScenario:event_lastkingdom2_b01_e_3,True,,L_10,L_10,1.0,,,indivilia,indivilia,,,1,special,,13,idle,,3,pain,,,5,surprise,,,,,,,
event_lastkingdom2_b01_e_4,40046,event_lastkingdom2_b01_e,Narration,Locale_MainScenario:event_lastkingdom2_b01_e_4,False,,L_10,L_10,1.0,,,indivilia,,,,1,special,,13,idle,,3,pain,,,5,surprise,,,,,,,
event_lastkingdom2_b01_e_5,40046,event_lastkingdom2_b01_e,Narration,Locale_MainScenario:event_lastkingdom2_b01_e_5,False,,L_10,L_100,1.0,sfx_scn_sonicexplode,,indivilia,,Low_2,,1,special,,13,idle,,3,pain,,,5,surprise,,,,,,,
event_lastkingdom2_b01_e_6,40046,event_lastkingdom2_b01_e,Narration,Locale_MainScenario:event_lastkingdom2_b01_e_6,False,,black,black,1.0,,,indivilia,,,,1,idle,,13,idle,,3,pain,,,5,surprise,,,,,,,
event_lastkingdom2_b01_e_7,40046,event_lastkingdom2_b01_e,Narration,Locale_MainScenario:event_lastkingdom2_b01_e_7,False,,black,black,1.0,,,indivilia,,,,1,idle,,13,idle,,3,pain,,,5,surprise,,,,,,,
event_lastkingdom2_b01_e_8,40046,event_lastkingdom2_b01_e,Speech,Locale_MainScenario:event_lastkingdom2_b01_e_8,False,,53,53,1.0,,,snowwhite,snowwhite,,,1,idle,,13,idle,,3,pain,,,5,surprise,,,,,,,
event_lastkingdom2_b01_e_9,40046,event_lastkingdom2_b01_e,Speech,Locale_MainScenario:event_lastkingdom2_b01_e_9,True,,53,53,1.0,,,hongryeon,hongryeon,,,1,idle,,13,idle,,3,pain,,,5,surprise,,,,,,,
event_lastkingdom2_b01_e_10,40046,event_lastkingdom2_b01_e,Narration,Locale_MainScenario:event_lastkingdom2_b01_e_10,False,CrownCastleFrontYard_d,black,black,1.0,,,hongryeon,,,,1,idle,,13,idle,,3,pain,,,5,surprise,,,,,,,
event_lastkingdom2_b01_e_11,40046,event_lastkingdom2_b01_e,Speech,Locale_MainScenario:event_lastkingdom2_b01_e_11,True,,113,113,1.0,,,indivilia,indivilia,,,1,special,,13,idle,,3,pain,,,5,surprise,,,,,,,
event_lastkingdom2_b01_e_12,40046,event_lastkingdom2_b01_e,Speech,Locale_MainScenario:event_lastkingdom2_b01_e_12,True,,113,113,1.0,,,talkative,talkative,,,1,special,,13,idle,,3,pain,,,5,surprise,,,,,,,
event_lastkingdom2_b01_e_13,40046,event_lastkingdom2_b01_e,Speech,Locale_MainScenario:event_lastkingdom2_b01_e_13,True,,113,113,1.0,,,indivilia,indivilia,,,1,special,,13,idle,,3,pain,snowwhite,,5,surprise,hongryeon,,,,,,
event_lastkingdom2_b01_e_14,40046,event_lastkingdom2_b01_e,Speech,Locale_MainScenario:event_lastkingdom2_b01_e_14,True,,113,113,1.0,,,talkative,talkative,,,1,special,,13,idle,,,,,,,,,,,,,,
event_lastkingdom2_b01_e_15,40046,event_lastkingdom2_b01_e,Speech,Locale_MainScenario:event_lastkingdom2_b01_e_15,True,,90,90,1.0,,,kilo_op_c,kilo_op_c,,,1,special,,13,idle,,,,,,,,,kilo_op_c,OP_kilo,no,talos,9,idle
event_lastkingdom2_b01_e_16,40046,event_lastkingdom2_b01_e,Speech,Locale_MainScenario:event_lastkingdom2_b01_e_16,True,,90,90,1.0,,,kilo_op_c,kilo_op_c,,,1,special,,13,idle,,,,,,,,,,OP_kilo,no,,9,idle
