id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_boomsday_06_e_1,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_1,True,Park,3,S_30,0.5,none,Low_2,elegg,3,special,exia_c2,5,idle,,,,
event_boomsday_06_e_2,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_2,True,,S_30,S_300,0.5,bgm_story_sunnycarnival,Low_2,,3,special,,5,idle,,,,
event_boomsday_06_e_3,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_3,True,,S_300,S_300,1.0,,,,3,special,,5,idle,,,,
event_boomsday_06_e_4,40040,event_boomsday_06_e,Self,,,Locale_SubScenario:event_boomsday_06_e_4,False,,S_300,S_300,1.0,,,,3,special,,5,idle,,,,
event_boomsday_06_e_5,40040,event_boomsday_06_e,Speech,exia_c2,exia_c2,Locale_SubScenario:event_boomsday_06_e_5,True,,S_50,S_50,1.0,,,,3,special,,5,idle,,,,
event_boomsday_06_e_6,40040,event_boomsday_06_e,Speech,exia_c2,exia_c2,Locale_SubScenario:event_boomsday_06_e_6,True,,S_50,S_50,1.0,,,,3,special,,5,idle,,,,
event_boomsday_06_e_7,40040,event_boomsday_06_e,Speech,exia_c2,exia_c2,Locale_SubScenario:event_boomsday_06_e_7,True,,S_50,S_50,1.0,,,,3,special,,5,idle,,,,
event_boomsday_06_e_8,40040,event_boomsday_06_e,Monologue,,,Locale_SubScenario:event_boomsday_06_e_8,False,,black,black,1.0,,,,3,special,,5,idle,,,,
event_boomsday_06_e_9,40040,event_boomsday_06_e,Monologue,,,Locale_SubScenario:event_boomsday_06_e_9,False,,black,black,1.0,,,,3,special,,5,idle,exia_c2,trony,1,special
event_boomsday_06_e_10,40040,event_boomsday_06_e,Self,,,Locale_SubScenario:event_boomsday_06_e_10,False,,1,1,1.0,,,,3,special,,,,,,1,special
event_boomsday_06_e_11,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_11,True,,1,1,1.0,,,,3,special,,,,,,1,special
event_boomsday_06_e_12,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_12,True,,1,1,1.0,,,,3,special,,,,,,1,special
event_boomsday_06_e_13,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_13,True,,1,10,1.0,,,,3,special,,,,,,1,special
event_boomsday_06_e_14,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_14,True,,10,10,1.0,,,,3,special,,,,,,1,special
event_boomsday_06_e_15,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_15,True,,S_30,S_30,1.0,,,,3,special,,,,,,1,special
event_boomsday_06_e_16,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_16,True,,S_30,S_30,1.0,,Low_2,,3,special,,,,,,1,special
event_boomsday_06_e_17,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_17,True,,S_30,S_300,0.5,,Low_2,,3,special,,,,,,1,special
event_boomsday_06_e_18,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_18,True,,10,10,1.0,,,,3,special,,,,,,1,sad
event_boomsday_06_e_19,40040,event_boomsday_06_e,Self,,,Locale_SubScenario:event_boomsday_06_e_19,False,,10,2,1.0,,,,3,special,,,,,,1,sad
event_boomsday_06_e_20,40040,event_boomsday_06_e,Self,,,Locale_SubScenario:event_boomsday_06_e_20,False,,2,2,1.0,,,,3,special,,,,,,1,sad
event_boomsday_06_e_21,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_21,True,,2,3,0.5,,Low_2,,3,special,,,,,,1,idle
event_boomsday_06_e_22,40040,event_boomsday_06_e,Speech,elegg,elegg,Locale_SubScenario:event_boomsday_06_e_22,True,,3,S_30,0.5,,Low_2,,3,special,,,,,,1,idle
event_boomsday_06_e_23,40040,event_boomsday_06_e,Self,,,Locale_SubScenario:event_boomsday_06_e_23,False,,S_30,S_30,1.0,,,,3,special,,,,,,1,idle
event_boomsday_06_e_24,40040,event_boomsday_06_e,Self,,,Locale_SubScenario:event_boomsday_06_e_24,False,,S_30,10,1.0,,,,3,special,,,,,,1,idle
event_boomsday_06_e_25,40040,event_boomsday_06_e,Monologue,,,Locale_SubScenario:event_boomsday_06_e_25,False,,10,10,1.0,,,,3,idle,,,,,,1,sad
event_boomsday_06_e_26,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_26,True,,10,10,1.0,,,,3,idle,,,,,,1,sad
event_boomsday_06_e_27,40040,event_boomsday_06_e,Self,,,Locale_SubScenario:event_boomsday_06_e_27,False,,10,10,1.0,,,,3,idle,,,,,,1,sad
event_boomsday_06_e_28,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_28,True,,10,10,1.0,,,,3,idle,,,,,,1,sad
event_boomsday_06_e_29,40040,event_boomsday_06_e,Speech,trony,trony,Locale_SubScenario:event_boomsday_06_e_29,True,,10,10,1.0,,,,3,idle,,,,,,1,sad
event_boomsday_06_e_30,40040,event_boomsday_06_e,Self,,,Locale_SubScenario:event_boomsday_06_e_30,False,,10,10,1.0,,,,3,idle,,,,,,1,sad
