id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_redash_04_1_1,80800,d_ex_redash_04_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_1_1,False,Grassland,black,black,1.0,none,,,,,redhood,1,idle,commander,3,no,,,,
d_ex_redash_04_1_2,80800,d_ex_redash_04_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_1_2,False,,3,L_30,1.0,event_bgm_redash_alldownhill,,,,,,1,idle,,3,no,,,,
d_ex_redash_04_1_3,80800,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_3,True,,L_30,1,1.0,,redhood,,,,,1,idle,,3,no,,,,
d_ex_redash_04_1_4,80800,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_4,True,,1,1,1.0,,redhood,,,,,1,idle,,3,no,,,,
d_ex_redash_04_1_5,80800,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_5,True,,1,10,1.0,,redhood,,,,,1,surprise,,3,no,,,,
d_ex_redash_04_1_6,80800,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_6,True,,10,10,1.0,,redhood,,,,,1,surprise,,3,no,,,,
d_ex_redash_04_1_7,80800,d_ex_redash_04_1,Speech,commander,Locale_SuddenStory:d_ex_redash_04_1_7,True,,10,2,1.0,,commander,,,,,1,surprise,,3,no,,,,
d_ex_redash_04_1_8,80800,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_8,True,,2,2,1.0,,redhood,,,,,1,shy_02,,3,no,,,,
d_ex_redash_04_1_9,80800,d_ex_redash_04_1,Speech,commander,Locale_SuddenStory:d_ex_redash_04_1_9,True,,2,2,1.0,,commander,,,,,1,shy_02,,3,no,,,,
d_ex_redash_04_1_10,80800,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_10,True,,2,2,1.0,,redhood,,,,,1,panic,,3,no,,,,
d_ex_redash_04_1_11,80800,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_11,True,,2,2,1.0,,redhood,,,,,1,panic,,3,no,,,,
d_ex_redash_04_1_12,80800,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_12,True,,2,10,1.0,,redhood,,,,,1,surprise,,3,no,,,,
d_ex_redash_04_1_13,80800,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_13,True,,10,10,1.0,,redhood,,,,,1,surprise,,3,no,,,,
d_ex_redash_04_1_14,80800,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_14,True,,10,10,1.0,,redhood,,,,,1,surprise,,3,surprise,,,,
d_ex_redash_04_1_15,80800,d_ex_redash_04_1,Speech,commander,Locale_SuddenStory:d_ex_redash_04_1_15,True,,10,2,1.0,,commander,,,,,1,surprise,,3,surprise,,,,
d_ex_redash_04_1_16,80800,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_16,True,,2,2,1.0,,redhood,,,,,1,idle,,3,surprise,,,,
