id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_bluewaterisland1_03_e_1,40020,event_bluewaterisland1_03_e,Speech,unknown,unknown,Locale_SubScenario:event_bluewaterisland1_03_e_1,False,Beach_s,100,100,1.0,sfx_scn_wavebreak,bgm_story_inwonderland,Blur_Middle,,,mary_s,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_2,40020,event_bluewaterisland1_03_e,Speech,unknown,unknown,Locale_SubScenario:event_bluewaterisland1_03_e_2,True,,100,100,1.0,,,Blur_Middle,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_3,40020,event_bluewaterisland1_03_e,Speech,unknown,unknown,Locale_SubScenario:event_bluewaterisland1_03_e_3,True,,100,100,2.0,,,Blur_Low,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_4,40020,event_bluewaterisland1_03_e,Speech,unknown,unknown,Locale_SubScenario:event_bluewaterisland1_03_e_4,True,,100,100,1.0,,,Blur_Low,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_5,40020,event_bluewaterisland1_03_e,Self,,Self,Locale_SubScenario:event_bluewaterisland1_03_e_5,False,,100,100,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_6,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_6,True,,100,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_7,40020,event_bluewaterisland1_03_e,Choice,,,Locale_SubScenario:event_bluewaterisland1_03_e_7,False,,10,10,1.0,,,,event_bluewaterisland1_03_e_9,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_8,40020,event_bluewaterisland1_03_e,Choice,,,Locale_SubScenario:event_bluewaterisland1_03_e_8,False,,10,10,1.0,,,,event_bluewaterisland1_03_e_14,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_9,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_9,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_10,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_10,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_11,40020,event_bluewaterisland1_03_e,Self,,Self,Locale_SubScenario:event_bluewaterisland1_03_e_11,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_12,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_12,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_13,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_13,True,,10,10,1.0,,,,event_bluewaterisland1_03_e_20,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_14,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_14,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_15,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_15,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_16,40020,event_bluewaterisland1_03_e,Self,,Self,Locale_SubScenario:event_bluewaterisland1_03_e_16,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_17,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_17,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_18,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_18,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_19,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_19,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_20,40020,event_bluewaterisland1_03_e,Self,,Self,Locale_SubScenario:event_bluewaterisland1_03_e_20,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_21,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_21,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_22,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_22,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_23,40020,event_bluewaterisland1_03_e,Self,,Self,Locale_SubScenario:event_bluewaterisland1_03_e_23,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_bluewaterisland1_03_e_24,40020,event_bluewaterisland1_03_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_03_e_24,True,,10,1,1.0,,,,,,,1,think,,,,,,,,,
