id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,set_filter_01,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_romanticvalentine_02_e_1,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_1,True,MaidCafe,700,700,1.0,bgm_story_sunnycarnival,,,,,sweetjohnny,7,idle,,trony_m,3,surprise2,,mast_m,1,surprise2,,,,,,,,,
event_romanticvalentine_02_e_2,40069,event_romanticvalentine_02_e,Speech,trony_m,trony_m,Locale_SubScenario:event_romanticvalentine_02_e_2,True,,700,2,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise2,,anchor_m,13,surprise,,sin_m,15,surprise,
event_romanticvalentine_02_e_3,40069,event_romanticvalentine_02_e,Speech,mast_m,mast_m,Locale_SubScenario:event_romanticvalentine_02_e_3,True,,2,2,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise2,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_4,40069,event_romanticvalentine_02_e,Speech,sin_m,sin_m,Locale_SubScenario:event_romanticvalentine_02_e_4,True,,14,14,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise2,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_5,40069,event_romanticvalentine_02_e,Speech,anchor_m,anchor_m,Locale_SubScenario:event_romanticvalentine_02_e_5,True,,14,14,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise2,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_6,40069,event_romanticvalentine_02_e,Choice,sweetjohnny,,Locale_SubScenario:event_romanticvalentine_02_e_6,False,,70,70,1.0,,event_romanticvalentine_02_e_9,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_7,40069,event_romanticvalentine_02_e,Choice,sweetjohnny,,Locale_SubScenario:event_romanticvalentine_02_e_7,False,,70,70,1.0,,event_romanticvalentine_02_e_8,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_8,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_8,True,,70,70,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_9,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_9,True,,70,70,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_10,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_10,False,,70,70,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_11,40069,event_romanticvalentine_02_e,Self,sweetjohnny,,Locale_SubScenario:event_romanticvalentine_02_e_11,False,,70,70,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_12,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_12,True,,70,700,1.5,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_13,40069,event_romanticvalentine_02_e,Choice,sweetjohnny,,Locale_SubScenario:event_romanticvalentine_02_e_13,False,,700,700,1.0,,event_romanticvalentine_02_e_15,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_14,40069,event_romanticvalentine_02_e,Choice,sweetjohnny,,Locale_SubScenario:event_romanticvalentine_02_e_14,False,,700,700,1.0,,event_romanticvalentine_02_e_19,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_15,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_15,False,,700,700,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_16,40069,event_romanticvalentine_02_e,Self,sweetjohnny,,Locale_SubScenario:event_romanticvalentine_02_e_16,False,,700,700,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_17,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_17,True,,700,700,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_18,40069,event_romanticvalentine_02_e,Self,sweetjohnny,,Locale_SubScenario:event_romanticvalentine_02_e_18,False,,700,700,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_19,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_19,True,,700,70,1.5,bgm_story_monochrome,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_20,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_20,True,,70,70,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,surprise,,,15,surprise,
event_romanticvalentine_02_e_21,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_21,True,,black,black,1.0,,,,,,,7,idle,sweetjohnny,,3,surprise2,trony_m,,1,surprise,mast_m,,13,surprise,anchor_m,,15,surprise,sin_m
event_romanticvalentine_02_e_22,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_22,True,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_e_23,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_23,True,Grassland,1,1,1.0,,,black,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_e_24,40069,event_romanticvalentine_02_e,Speech,mast_m,mast_m,Locale_SubScenario:event_romanticvalentine_02_e_24,False,,1,1,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_e_25,40069,event_romanticvalentine_02_e,Self,sweetjohnny,,Locale_SubScenario:event_romanticvalentine_02_e_25,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_e_26,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_26,False,MaidCafe,70,70,1.0,,,black,,,sweetjohnny,7,idle,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_e_27,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_27,True,,70,70,1.0,,,,,,,7,idle,,trony_m,3,surprise2,,mast_m,1,surprise,,,,,,,,,
event_romanticvalentine_02_e_28,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_28,True,,70,70,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,anchor_m,13,idle,,sin_m,15,delight,
event_romanticvalentine_02_e_29,40069,event_romanticvalentine_02_e,Self,sweetjohnny,,Locale_SubScenario:event_romanticvalentine_02_e_29,False,,70,70,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,idle,,,15,delight,
event_romanticvalentine_02_e_30,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_30,True,,70,70,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,idle,,,15,delight,
event_romanticvalentine_02_e_31,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_31,True,,70,70,1.0,bgm_story_sunnycarnival,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,idle,,,15,delight,
event_romanticvalentine_02_e_32,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_32,True,,70,70,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,idle,,,15,delight,
event_romanticvalentine_02_e_33,40069,event_romanticvalentine_02_e,Speech,sweetjohnny,sweetjohnny,Locale_SubScenario:event_romanticvalentine_02_e_33,True,,70,70,1.0,,,,,,,7,idle,,,3,surprise2,,,1,surprise,,,13,idle,,,15,delight,
