id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_newyearnewsword_01_s_1,40036,event_newyearnewsword_01_s,Self,Locale_SubScenario:event_newyearnewsword_01_s_1,False,GoddessOfVictory_n,10,10,1.0,bgm_story_inwonderland,,,,,,hongryeon,1,idle
event_newyearnewsword_01_s_2,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_2,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,delight
event_newyearnewsword_01_s_3,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_3,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_4,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_4,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_5,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_5,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_6,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_6,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_7,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_7,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,idle
event_newyearnewsword_01_s_8,40036,event_newyearnewsword_01_s,Self,Locale_SubScenario:event_newyearnewsword_01_s_8,False,,10,10,1.0,,hongryeon,,,,,,1,idle
event_newyearnewsword_01_s_9,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_9,True,,10,10,1.0,,hongryeon,hongryeon,,,,,1,shy
event_newyearnewsword_01_s_10,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_10,True,,10,100,1.0,,hongryeon,hongryeon,,,,,1,delight
event_newyearnewsword_01_s_11,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_11,True,,100,100,1.0,,hongryeon,hongryeon,,,,,1,delight
event_newyearnewsword_01_s_12,40036,event_newyearnewsword_01_s,Choice,Locale_SubScenario:event_newyearnewsword_01_s_12,False,,100,100,1.0,,hongryeon,,event_newyearnewsword_01_s_14,,,,1,delight
event_newyearnewsword_01_s_13,40036,event_newyearnewsword_01_s,Choice,Locale_SubScenario:event_newyearnewsword_01_s_13,False,,100,100,1.0,,hongryeon,,event_newyearnewsword_01_s_16,,,,1,delight
event_newyearnewsword_01_s_14,40036,event_newyearnewsword_01_s,Speech,Locale_SubScenario:event_newyearnewsword_01_s_14,True,,100,100,1.0,,hongryeon,hongryeon,,,,,1,idle
