id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade
event_nocallerid_04_s_1,40001,event_nocallerid_04_s,Narration,Narration,Locale_SubScenario:event_nocallerid_04_s_1,False,CityForest_04,6001,6001,1.0,sfx_scn_crackle,none,,,,,,,,,,,
event_nocallerid_04_s_2,40001,event_nocallerid_04_s,Narration,Narration,Locale_SubScenario:event_nocallerid_04_s_2,False,,6001,6001,1.0,,,,,,,,,,,,,
event_nocallerid_04_s_3,40001,event_nocallerid_04_s,Narration,Narration,Locale_SubScenario:event_nocallerid_04_s_3,False,,6001,6001,1.0,,,,,,,,,,,,,
event_nocallerid_04_s_4,40001,event_nocallerid_04_s,Monologue,Monologue,Locale_SubScenario:event_nocallerid_04_s_4,False,,6001,1,2.0,,bgm_recognition,,,,,,,,,,,
event_nocallerid_04_s_5,40001,event_nocallerid_04_s,Speech,anis,Locale_SubScenario:event_nocallerid_04_s_5,True,,1,4,2.0,,,anis,neon,5,idle,anis,3,void,rapi,1,idle,
event_nocallerid_04_s_6,40001,event_nocallerid_04_s,Speech,neon,Locale_SubScenario:event_nocallerid_04_s_6,True,,4,XS_40,2.0,,,neon,,5,idle,,3,void,,1,idle,
event_nocallerid_04_s_7,40001,event_nocallerid_04_s,Speech,rapi,Locale_SubScenario:event_nocallerid_04_s_7,True,,XS_40,XS_40,1.0,,,rapi,,5,idle,,3,void,,1,idle,
event_nocallerid_04_s_8,40001,event_nocallerid_04_s,Speech,anis,Locale_SubScenario:event_nocallerid_04_s_8,True,,XS_40,3,2.0,,,anis,,5,idle,,3,void,,1,idle,
event_nocallerid_04_s_9,40001,event_nocallerid_04_s,Speech,anis,Locale_SubScenario:event_nocallerid_04_s_9,True,,3,3,1.0,,,anis,,5,idle,,3,void,,1,idle,
event_nocallerid_04_s_10,40001,event_nocallerid_04_s,Speech,neon,Locale_SubScenario:event_nocallerid_04_s_10,True,,3,4,1.0,,,neon,,5,delight,,3,void,,1,idle,
event_nocallerid_04_s_11,40001,event_nocallerid_04_s,Speech,anis,Locale_SubScenario:event_nocallerid_04_s_11,True,,4,4,1.0,,,anis,,5,delight,,3,no,,1,idle,
event_nocallerid_04_s_12,40001,event_nocallerid_04_s,Speech,anis,Locale_SubScenario:event_nocallerid_04_s_12,True,CityForest_01,3,3,2.0,,,anis,,5,idle,,3,void,,1,idle,black
event_nocallerid_04_s_13,40001,event_nocallerid_04_s,Speech,rapi,Locale_SubScenario:event_nocallerid_04_s_13,True,,3,2,1.0,,,rapi,,5,idle,,3,void,,1,idle,
event_nocallerid_04_s_14,40001,event_nocallerid_04_s,Speech,anis,Locale_SubScenario:event_nocallerid_04_s_14,True,,2,2,1.0,,,anis,,5,idle,,3,worry,,1,idle,
event_nocallerid_04_s_15,40001,event_nocallerid_04_s,Speech,rapi,Locale_SubScenario:event_nocallerid_04_s_15,True,,2,2,1.0,,,rapi,,5,idle,,3,worry,,1,idle,
event_nocallerid_04_s_16,40001,event_nocallerid_04_s,Speech,rapi,Locale_SubScenario:event_nocallerid_04_s_16,True,,2,10,1.0,,,rapi,,5,idle,,3,void,,1,idle,
event_nocallerid_04_s_17,40001,event_nocallerid_04_s,Speech,anis,Locale_SubScenario:event_nocallerid_04_s_17,True,,10,30,1.0,,,anis,,5,idle,,3,void,,1,idle,
event_nocallerid_04_s_18,40001,event_nocallerid_04_s,Speech,rapi,Locale_SubScenario:event_nocallerid_04_s_18,True,,10,10,1.0,,,rapi,,5,idle,,3,void,,1,idle,
event_nocallerid_04_s_19,40001,event_nocallerid_04_s,Speech,anis,Locale_SubScenario:event_nocallerid_04_s_19,True,,10,30,1.0,,,anis,,5,idle,,3,delight,,1,idle,
event_nocallerid_04_s_20,40001,event_nocallerid_04_s,Speech,anis,Locale_SubScenario:event_nocallerid_04_s_20,True,,30,30,1.0,,,anis,,5,idle,,3,delight,,1,idle,
