id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_1yearalready_06_1,130003,event_1yearalready_06,Speech,mary,mary,Locale_SubScenario:event_1yearalready_06_1,True,ToyShop,2,2,1.0,bgm_story_backtonormal,,mary,3,idle,pepper,1,idle,,,,,,,,,,
event_1yearalready_06_2,130003,event_1yearalready_06,Speech,mary,mary,Locale_SubScenario:event_1yearalready_06_2,True,,2,2,1.0,,,,3,idle,,1,idle,,,,,,,,,,
event_1yearalready_06_3,130003,event_1yearalready_06,Speech,mary,mary,Locale_SubScenario:event_1yearalready_06_3,True,,2,2,1.0,,,,3,idle,,1,idle,,,,,,,,,,
event_1yearalready_06_4,130003,event_1yearalready_06,Speech,mary,mary,Locale_SubScenario:event_1yearalready_06_4,True,,2,2,1.0,,,,3,idle,,1,idle,,,,,,,,,,
event_1yearalready_06_5,130003,event_1yearalready_06,Speech,pepper,pepper,Locale_SubScenario:event_1yearalready_06_5,True,,2,2,1.0,,,,3,idle,,1,idle,,,,,,,,,,
event_1yearalready_06_6,130003,event_1yearalready_06,Self,,,Locale_SubScenario:event_1yearalready_06_6,False,,2,2,1.0,,,,3,idle,,1,idle,,,,,,,,,,
event_1yearalready_06_7,130003,event_1yearalready_06,Self,,,Locale_SubScenario:event_1yearalready_06_7,False,,2,2,1.0,,,,3,idle,,1,idle,,,,,,,,,,
event_1yearalready_06_8,130003,event_1yearalready_06,Speech,mary,mary,Locale_SubScenario:event_1yearalready_06_8,True,,2,2,1.0,,,,3,idle,,1,idle,,,,,,,,,,
event_1yearalready_06_9,130003,event_1yearalready_06,Speech,mary,mary,Locale_SubScenario:event_1yearalready_06_9,True,,2,2,1.0,,,,3,idle,,1,idle,,,,,,,,,,
event_1yearalready_06_10,130003,event_1yearalready_06,Speech,pepper,pepper,Locale_SubScenario:event_1yearalready_06_10,True,,2,2,1.0,,,,3,idle,,1,good,,,,,,,,,,
event_1yearalready_06_11,130003,event_1yearalready_06,Speech,maiden_c,maiden_c,Locale_SubScenario:event_1yearalready_06_11,True,,2,13,1.0,,,,3,idle,,1,good,maiden_c,13,idle,,,,,,,
event_1yearalready_06_12,130003,event_1yearalready_06,Self,maiden_c,,Locale_SubScenario:event_1yearalready_06_12,False,,13,13,1.0,,,,3,idle,,1,good,,13,idle,,,,,,,
event_1yearalready_06_13,130003,event_1yearalready_06,Speech,maiden_c,maiden_c,Locale_SubScenario:event_1yearalready_06_13,False,,13,13,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,
event_1yearalready_06_14,130003,event_1yearalready_06,Speech,maiden_c,maiden_c,Locale_SubScenario:event_1yearalready_06_14,True,,13,S_130,0.6,,,,3,idle,,1,idle,,13,shy,,,,,,,
event_1yearalready_06_15,130003,event_1yearalready_06,Speech,mary,mary,Locale_SubScenario:event_1yearalready_06_15,True,,2,2,1.0,,,,3,idle,,1,idle,,13,shy,,,,,,,
event_1yearalready_06_16,130003,event_1yearalready_06,Speech,mary,mary,Locale_SubScenario:event_1yearalready_06_16,True,,2,2,1.0,,,,3,idle,,1,idle,,13,shy,,,,,,,
event_1yearalready_06_17,130003,event_1yearalready_06,Speech,pepper,pepper,Locale_SubScenario:event_1yearalready_06_17,True,,2,2,1.0,,,,3,idle,,1,idle,,13,shy,,,,,,,
event_1yearalready_06_18,130003,event_1yearalready_06,Speech,pepper,pepper,Locale_SubScenario:event_1yearalready_06_18,True,,2,2,1.0,,,,3,idle,,1,idle,,13,shy,,,,,,,
event_1yearalready_06_19,130003,event_1yearalready_06,Speech,maiden_c,maiden_c,Locale_SubScenario:event_1yearalready_06_19,True,,S_130,13,1.0,,,,3,idle,,1,idle,,13,shy,,,,,,,
event_1yearalready_06_20,130003,event_1yearalready_06,Speech,maiden_c,maiden_c,Locale_SubScenario:event_1yearalready_06_20,True,,13,13,1.0,,,,3,idle,,1,idle,,13,shy,,,,,,,
event_1yearalready_06_21,130003,event_1yearalready_06,Self,maiden_c,,Locale_SubScenario:event_1yearalready_06_21,False,,13,13,1.0,,,,3,idle,,1,idle,,13,shy,,,,,,,
event_1yearalready_06_22,130003,event_1yearalready_06,Speech,mary,mary,Locale_SubScenario:event_1yearalready_06_22,True,,XS_30,XS_30,1.0,,,,3,idle,,1,idle,,13,shy,,,,,,,
event_1yearalready_06_23,130003,event_1yearalready_06,Monologue,,,Locale_SubScenario:event_1yearalready_06_23,False,,XS_30,XS_30,1.0,,,,3,idle,,1,idle,,13,shy,,,,,,,
