id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,characters/2/hide_char_id,characters/3/hide_char_id
snowfall_episode_mica_07_1,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_1,False,HotSpringInnIn_d,5,5,1.0,sfx_scn_knock,amb_so_inn_in_1,event_bgm_neverland_hugme_day,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_2,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_2,False,,5,5,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_3,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_3,True,,5,S_50,1.0,,,,mica_w,mica_w,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_4,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_4,False,,S_50,S_50,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_mica_07_5,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_8,False,HotSpringInnOut_d,S_50,S_10,2.0,,amb_so_inn_out_1,,,,mica_w,1,surprise,,,,,,,,,,,,,,,
snowfall_episode_mica_07_6,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_9,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,surprise,,,,,,,,,,,,,,,
snowfall_episode_mica_07_7,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_10,True,,S_10,S_10,1.0,,,,mica_w,mica_w,,1,surprise,,,,,,,,,,,,,,,
snowfall_episode_mica_07_8,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_11,False,,S_10,S_10,1.0,,,,,,,1,surprise,,,,,,,,,,,,,,,
snowfall_episode_mica_07_9,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_12,True,,S_10,S_100,1.0,,,,mica_w,mica_w,,1,surprise,,,,,,,,,,,,,,,
snowfall_episode_mica_07_10,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_17,False,WaterFall_d,S_100,S_100,1.0,,amb_so_waterfall_1,event_bgm_neverland_intermissionjam_day,,,,1,idle,black,,,,,,,,,,,,,,
