id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,is_exit_scenario,highlight,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
snowfall_episode_noirblanc_03_1,80903,snowfall_episode_noirblanc_03,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_03_1,False,noir_c,1,surprise,blanc_c,3,think,Trail_d,12,12,1.0,event_bgm_neverland_snowflakes_day,,,,,,,
snowfall_episode_noirblanc_03_2,80903,snowfall_episode_noirblanc_03,Choice,Locale_SubScenario:snowfall_episode_noirblanc_03_2,False,,1,surprise,,3,think,,12,12,1.0,,snowfall_episode_noirblanc_03_5,,,,,,
snowfall_episode_noirblanc_03_3,80903,snowfall_episode_noirblanc_03,Choice,Locale_SubScenario:snowfall_episode_noirblanc_03_3,False,,1,surprise,,3,think,,12,12,1.0,,snowfall_episode_noirblanc_03_4,,,,,,
snowfall_episode_noirblanc_03_4,80903,snowfall_episode_noirblanc_03,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_03_4,False,,1,surprise,,3,think,,black,black,1.0,,,True,,,,,
snowfall_episode_noirblanc_03_5,80903,snowfall_episode_noirblanc_03,Self,Locale_SubScenario:snowfall_episode_noirblanc_03_5,False,,1,surprise,,3,think,,12,12,1.0,,,,,,,,
snowfall_episode_noirblanc_03_6,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_6,True,,1,surprise,,3,think,,12,12,1.0,,,,blanc_c,blanc_c,,,
snowfall_episode_noirblanc_03_7,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_7,True,,1,surprise,,3,think,,12,12,1.0,,,,noir_c,noir_c,,,
snowfall_episode_noirblanc_03_8,80903,snowfall_episode_noirblanc_03,Self,Locale_SubScenario:snowfall_episode_noirblanc_03_8,False,,1,surprise,,3,think,,12,12,1.0,,,,,,,,
snowfall_episode_noirblanc_03_9,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_9,True,,1,surprise,,3,think,,12,12,1.0,,,,blanc_c,blanc_c,,,
snowfall_episode_noirblanc_03_10,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_10,True,,1,surprise,,3,think,,12,12,1.0,,,,noir_c,noir_c,,,
snowfall_episode_noirblanc_03_11,80903,snowfall_episode_noirblanc_03,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_03_11,False,,1,surprise,,3,think,,12,12,1.0,,,,,,,,
snowfall_episode_noirblanc_03_12,80903,snowfall_episode_noirblanc_03,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_03_12,False,,1,surprise,,3,think,,12,12,1.0,,,,,,,,
snowfall_episode_noirblanc_03_13,80903,snowfall_episode_noirblanc_03,Self,Locale_SubScenario:snowfall_episode_noirblanc_03_13,False,,1,surprise,,3,think,,12,12,1.0,,,,,,,,
snowfall_episode_noirblanc_03_14,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_14,True,,1,surprise,,3,think,,12,12,1.0,,,,blanc_c,blanc_c,,,
snowfall_episode_noirblanc_03_15,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_15,True,,1,surprise,,3,think,,12,12,1.0,,,,blanc_c,blanc_c,,,
snowfall_episode_noirblanc_03_16,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_16,True,,1,surprise,,3,think,,12,12,1.0,,,,noir_c,noir_c,,,
snowfall_episode_noirblanc_03_17,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_17,True,,1,surprise,,3,think,,12,12,1.0,,,,noir_c,noir_c,,,
snowfall_episode_noirblanc_03_18,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_18,True,,1,surprise,,3,think,,12,12,1.0,,,,noir_c,noir_c,,,
snowfall_episode_noirblanc_03_19,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_19,True,,1,surprise,,3,think,,12,12,1.0,,,,blanc_c,blanc_c,,,
snowfall_episode_noirblanc_03_20,80903,snowfall_episode_noirblanc_03,Self,Locale_SubScenario:snowfall_episode_noirblanc_03_20,False,,1,surprise,,3,think,,12,12,1.0,,,,,,,,
snowfall_episode_noirblanc_03_21,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_21,True,,1,surprise,,3,think,,12,12,1.0,,,,blanc_c,blanc_c,,,
snowfall_episode_noirblanc_03_22,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_22,False,,1,surprise,,3,think,,12,12,1.0,,,,blanc_c,blanc_c,,,
snowfall_episode_noirblanc_03_23,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_23,True,,1,surprise,,3,think,,12,12,1.0,,,,blanc_c,blanc_c,,,
snowfall_episode_noirblanc_03_24,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_24,True,,1,no,,3,think,,12,12,1.0,,,,noir_c,noir_c,,,
snowfall_episode_noirblanc_03_25,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_25,True,,1,no,,3,think,,12,12,1.0,,,,noir_c,noir_c,,,
snowfall_episode_noirblanc_03_26,80903,snowfall_episode_noirblanc_03,Self,Locale_SubScenario:snowfall_episode_noirblanc_03_26,False,,1,no,,3,think,,12,12,1.0,,,,,,,,
snowfall_episode_noirblanc_03_27,80903,snowfall_episode_noirblanc_03,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_03_27,False,,1,no,,3,think,,12,12,1.0,,,,,,,,
snowfall_episode_noirblanc_03_28,80903,snowfall_episode_noirblanc_03,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_03_28,False,,1,no,,3,think,,12,12,1.0,,,,,,,,
snowfall_episode_noirblanc_03_29,80903,snowfall_episode_noirblanc_03,Narration,Locale_SubScenario:snowfall_episode_noirblanc_03_29,False,,1,no,,3,think,,12,15,1.0,,,,,,ludmilla_w,15,idle
snowfall_episode_noirblanc_03_30,80903,snowfall_episode_noirblanc_03,Speech,Locale_SubScenario:snowfall_episode_noirblanc_03_30,True,,1,surprise,,3,think,,15,150,1.0,,,,ludmilla_w,ludmilla_w,,15,idle
