id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/0/hide_char_id
event_overthehorizon_05_s_1,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_1,False,OuterRim,black,black,1.0,bgm_mystery,,,,,,
event_overthehorizon_05_s_2,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_2,False,,black,black,1.0,,,,,,,
event_overthehorizon_05_s_3,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_3,False,,black,black,1.0,,,,,,,
event_overthehorizon_05_s_4,40081,event_overthehorizon_05_s,Self,Locale_SubScenario:event_overthehorizon_05_s_4,False,,1,10,1.0,,,,,,,
event_overthehorizon_05_s_5,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_5,False,,10,10,1.0,,,,,,,
event_overthehorizon_05_s_6,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_6,False,,10,10,1.0,,,,,,,
event_overthehorizon_05_s_7,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_7,False,,10,10,1.0,,,,,,,
event_overthehorizon_05_s_8,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_8,False,,10,10,1.0,,,,,,,
event_overthehorizon_05_s_9,40081,event_overthehorizon_05_s,Self,Locale_SubScenario:event_overthehorizon_05_s_9,False,,10,10,1.0,,,,,,,
event_overthehorizon_05_s_10,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_10,False,,10,130,1.0,,,,,,,
event_overthehorizon_05_s_11,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_11,False,,130,130,1.0,,,,,,,
event_overthehorizon_05_s_12,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_12,False,,130,130,1.0,,,,,,,
event_overthehorizon_05_s_13,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_13,False,,130,10,1.0,,sora,1,idle,,,
event_overthehorizon_05_s_14,40081,event_overthehorizon_05_s,Speech,Locale_SubScenario:event_overthehorizon_05_s_14,True,,10,10,1.0,,,1,idle,sora,sora,
event_overthehorizon_05_s_15,40081,event_overthehorizon_05_s,Speech,Locale_SubScenario:event_overthehorizon_05_s_15,True,,10,10,1.0,,,1,idle,sora,sora,
event_overthehorizon_05_s_16,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_16,False,,10,10,1.0,,,1,idle,sora,,
event_overthehorizon_05_s_17,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_17,False,,10,10,1.0,,,1,idle,sora,,
event_overthehorizon_05_s_18,40081,event_overthehorizon_05_s,Monologue,Locale_SubScenario:event_overthehorizon_05_s_18,False,,10,10,1.0,,,1,idle,sora,,
event_overthehorizon_05_s_19,40081,event_overthehorizon_05_s,Speech,Locale_SubScenario:event_overthehorizon_05_s_19,True,,10,10,1.0,,,1,idle,sora,sora,
