id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,play_sound,fade,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_exnii2_05_s_1,40071,event_exnii2_05_s,Speech,shifty,shifty,Locale_SubScenario:event_exnii2_05_s_1,True,rapi,1,idle,anis,13,idle,helm,3,idle,shifty,OP_leftup,idle,BriefingRoom,event_exnii_talk_02,event_exnii_talk_02,1.0,event_bgm_ce005_laststand,,,,,,,,,,,,,,,,,
event_exnii2_05_s_2,40071,event_exnii2_05_s,Speech,shifty,shifty,Locale_SubScenario:event_exnii2_05_s_2,True,,1,idle,,13,idle,,3,idle,,OP_leftup,idle,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,,,,,,
event_exnii2_05_s_3,40071,event_exnii2_05_s,Speech,anis,anis,Locale_SubScenario:event_exnii2_05_s_3,True,,1,idle,,13,idle,,3,idle,,OP_leftup,idle,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,,,,,,
event_exnii2_05_s_4,40071,event_exnii2_05_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii2_05_s_4,True,,1,worry,,13,idle,,3,idle,,OP_leftup,idle,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,,,,,,
event_exnii2_05_s_5,40071,event_exnii2_05_s,Speech,shifty,shifty,Locale_SubScenario:event_exnii2_05_s_5,True,,1,worry,,13,idle,,3,idle,,OP_leftup,idle,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,,,,,,
event_exnii2_05_s_6,40071,event_exnii2_05_s,Speech,shifty,shifty,Locale_SubScenario:event_exnii2_05_s_6,True,,1,worry,,13,idle,,3,idle,,OP_leftup,idle,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,,,,,,
event_exnii2_05_s_7,40071,event_exnii2_05_s,Speech,shifty,shifty,Locale_SubScenario:event_exnii2_05_s_7,True,,1,worry,,13,idle,,3,idle,,OP_leftup,idle,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,,,,,,
event_exnii2_05_s_8,40071,event_exnii2_05_s,Speech,anis,anis,Locale_SubScenario:event_exnii2_05_s_8,True,,1,worry,,13,sad,,3,angry,,OP_leftup,idle,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,,,,,,
event_exnii2_05_s_9,40071,event_exnii2_05_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii2_05_s_9,True,,1,worry,,13,sad,,3,angry,,OP_leftup,idle,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,,,,,,
event_exnii2_05_s_10,40071,event_exnii2_05_s,Self,rapi,,Locale_SubScenario:event_exnii2_05_s_10,False,,1,idle,,13,sad,,3,idle,,OP_leftup,idle,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,,,,,,
event_exnii2_05_s_11,40071,event_exnii2_05_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii2_05_s_11,True,,1,idle,,13,idle,,3,idle,,,,,event_exnii_talk_02,event_exnii_talk_02,1.0,,liter,7,idle,centi,5,idle,shifty,,,,,,,,,,
event_exnii2_05_s_12,40071,event_exnii2_05_s,Speech,liter,liter,Locale_SubScenario:event_exnii2_05_s_12,True,,1,idle,,13,idle,,3,idle,,,,,6,6,1.0,,,7,sorrow,,5,idle,,,,,,,,,,,
