id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,fade,play_sound
d_ex_redash_05_2_1,80800,d_ex_redash_05_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_05_2_1,False,liliweiss,5,idle,commander,3,idle,ArkRuinIndoor,black,black,1.0,none,,,
d_ex_redash_05_2_2,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_2,True,,5,idle,,3,idle,,50,50,1.0,event_bgm_redash_alldownhill,liliweiss,,
d_ex_redash_05_2_3,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_3,False,,5,idle,,3,no,,50,4,1.0,,commander,,
d_ex_redash_05_2_4,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_4,True,,5,idle,,3,no,,4,4,1.0,,commander,,
d_ex_redash_05_2_5,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_5,True,,5,idle,,3,no,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_6,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_6,True,,5,idle,,3,idle,,4,4,1.0,,commander,,
d_ex_redash_05_2_7,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_7,True,,5,surprise,,3,idle,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_8,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_8,True,,5,surprise,,3,no,,4,4,1.0,,commander,,
d_ex_redash_05_2_9,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_9,True,,5,think,,3,no,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_10,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_10,True,,5,think,,3,idle,,4,4,1.0,,commander,,
d_ex_redash_05_2_11,80800,d_ex_redash_05_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_05_2_11,False,,5,think,,3,idle,Grassland,15,150,0.5,none,,black,
d_ex_redash_05_2_12,80800,d_ex_redash_05_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_05_2_12,False,,5,think,,3,no,,150,150,1.0,event_bgm_redash_dearsnowwhite,,,
d_ex_redash_05_2_13,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_13,True,,5,think,,3,no,,50,50,1.0,,liliweiss,,
d_ex_redash_05_2_14,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_14,True,,5,think,,3,no,,50,50,1.0,,liliweiss,,
d_ex_redash_05_2_15,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_15,True,,5,think,,3,no,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_16,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_16,True,,5,angry,,3,no,,50,50,1.0,,liliweiss,,
d_ex_redash_05_2_17,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_17,True,,5,think,,3,no,,50,50,1.0,,liliweiss,,
d_ex_redash_05_2_18,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_18,True,,5,think,,3,no,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_19,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_19,True,,5,surprise,,3,no,,L_30,4,1.0,,liliweiss,,
d_ex_redash_05_2_20,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_20,True,,5,surprise,,3,angry,,4,4,1.0,,commander,,
d_ex_redash_05_2_21,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_21,True,,5,surprise,,3,angry,,4,4,1.0,,commander,,
d_ex_redash_05_2_22,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_22,True,,5,angry,,3,angry,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_23,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_23,True,,5,angry,,3,no,,4,L_30,1.0,,commander,,
d_ex_redash_05_2_24,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_24,True,,5,angry,,3,no,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_25,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_25,True,,5,angry,,3,no,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_26,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_26,True,,5,angry,,3,angry,,L_30,L_30,1.0,,commander,,
d_ex_redash_05_2_27,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_27,True,,5,angry_02,,3,no,,L_30,4,1.0,,liliweiss,,
d_ex_redash_05_2_28,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_28,True,,5,angry_02,,3,no,,4,4,1.0,,commander,,
d_ex_redash_05_2_29,80800,d_ex_redash_05_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_29,True,,5,angry_02,,3,no,,4,4,1.0,,liliweiss,,
d_ex_redash_05_2_30,80800,d_ex_redash_05_2,Speech,commander,Locale_SuddenStory:d_ex_redash_05_2_30,True,,5,angry_02,,3,angry,,4,4,1.0,,commander,,
