id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,fade,play_sound
event_ce003_1_04_s_1,40041,event_ce003_1_04_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_04_s_1,True,soda,7,idle,cocoa,5,idle,ade,3,idle,ce_003_02,1,idle,ce_003_01,13,idle,ce_003_03,15,idle,CommanderRoom,30,2,1.0,event_bgm_ce003_story_1,,,,,,,,
event_ce003_1_04_s_2,40041,event_ce003_1_04_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_04_s_2,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,15,idle,,2,2,1.0,,,,,,,,,
event_ce003_1_04_s_3,40041,event_ce003_1_04_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_04_s_3,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,15,idle,,2,12,1.0,,,,,,,,,
event_ce003_1_04_s_4,40041,event_ce003_1_04_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_04_s_4,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,smile,,15,idle,,12,12,1.0,,,,,,,,,
event_ce003_1_04_s_5,40041,event_ce003_1_04_s,Self,ce_003_01,,Locale_SubScenario:event_ce003_1_04_s_5,False,,7,idle,,5,idle,,3,idle,,1,surprise,,13,smile,,15,idle,,12,12,1.0,,,,,,,,,
event_ce003_1_04_s_6,40041,event_ce003_1_04_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_04_s_6,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,12,2,1.0,,,,,,,,,
event_ce003_1_04_s_7,40041,event_ce003_1_04_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_04_s_7,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,2,2,1.0,,,,,,,,,
event_ce003_1_04_s_8,40041,event_ce003_1_04_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_04_s_8,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,15,idle,,2,2,1.0,,,,,,,,,
event_ce003_1_04_s_9,40041,event_ce003_1_04_s,Speech,ade,ade,Locale_SubScenario:event_ce003_1_04_s_9,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,idle,,15,idle,,2,2,1.0,,,,,,,,,
event_ce003_1_04_s_10,40041,event_ce003_1_04_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_04_s_10,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,2,2,1.0,,,,,,,,,
