id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,jump_target,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_jinxplayer_06_s_1,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_1,False,GoodOffice,black,black,1.0,none,,,,,,rouge,3,idle,,,,,
event_jinxplayer_06_s_2,40058,event_jinxplayer_06_s,Narration,Narration,Locale_SubScenario:event_jinxplayer_06_s_2,False,,17,17,1.0,bgm_story_backtonormal,sfx_scn_dooropen,,,,,,3,idle,,,,,
event_jinxplayer_06_s_3,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_3,True,,17,3,1.5,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_4,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_4,False,,3,3,1.0,,,,,,,,3,idle,,,,,
event_jinxplayer_06_s_5,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_5,True,,3,3,1.0,,,rouge,,,,,3,idle,,,,,
event_jinxplayer_06_s_6,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_6,True,,3,3,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_7,40058,event_jinxplayer_06_s,Self,Self,Locale_SubScenario:event_jinxplayer_06_s_7,False,,3,3,1.0,,,,,,,,3,think,,,,,
event_jinxplayer_06_s_8,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_8,True,,3,30,1.0,,,rouge,,,,,3,sad,,,,,
event_jinxplayer_06_s_9,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_9,True,,30,30,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_10,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_10,True,,30,30,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_11,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_11,True,,30,30,1.0,,,rouge,,,,,3,think,,,,,
event_jinxplayer_06_s_12,40058,event_jinxplayer_06_s,Speech,rouge,Locale_SubScenario:event_jinxplayer_06_s_12,True,,30,30,1.0,,,rouge,,,,,3,think,,,,,
