id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_hightechtoy_02_s_1,40002,event_hightechtoy_02_s,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_02_s_1,True,CityForest_02,10,10,1.0,bgm_story_leisuretime,maxwell_w,1,idle,drake,13,idle,laplace,15,idle
event_hightechtoy_02_s_2,40002,event_hightechtoy_02_s,Monologue,,,Locale_SubScenario:event_hightechtoy_02_s_2,False,,10,50,1.0,,,1,idle,,13,idle,,15,idle
event_hightechtoy_02_s_3,40002,event_hightechtoy_02_s,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_02_s_3,True,,50,10,1.0,,,1,sad,,13,idle,,15,idle
event_hightechtoy_02_s_4,40002,event_hightechtoy_02_s,Monologue,,,Locale_SubScenario:event_hightechtoy_02_s_4,False,,10,10,1.0,,,1,sad,,13,idle,,15,idle
event_hightechtoy_02_s_5,40002,event_hightechtoy_02_s,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_02_s_5,True,,10,100,1.0,,,1,idle,,13,idle,,15,idle
event_hightechtoy_02_s_6,40002,event_hightechtoy_02_s,Self,,,Locale_SubScenario:event_hightechtoy_02_s_6,False,,100,100,1.0,,,1,idle,,13,idle,,15,idle
event_hightechtoy_02_s_7,40002,event_hightechtoy_02_s,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_02_s_7,True,,1300,1300,1.0,,,1,idle,,13,delight,,15,idle
event_hightechtoy_02_s_8,40002,event_hightechtoy_02_s,Monologue,,,Locale_SubScenario:event_hightechtoy_02_s_8,False,,black,black,1.0,,,1,idle,,13,idle,,15,idle
event_hightechtoy_02_s_9,40002,event_hightechtoy_02_s,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_02_s_9,True,,1300,1300,1.0,,,1,idle,,13,idle,,15,idle
event_hightechtoy_02_s_10,40002,event_hightechtoy_02_s,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_02_s_10,True,,1300,130,0.5,,,1,idle,,13,idle,,15,idle
event_hightechtoy_02_s_11,40002,event_hightechtoy_02_s,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_02_s_11,True,,130,113,1.0,,,1,idle,,13,idle,,15,idle
event_hightechtoy_02_s_12,40002,event_hightechtoy_02_s,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_02_s_12,True,,113,113,1.0,,,1,idle,,13,no,,15,idle
event_hightechtoy_02_s_13,40002,event_hightechtoy_02_s,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_02_s_13,True,,113,113,1.0,,,1,idle,,13,no,,15,idle
event_hightechtoy_02_s_14,40002,event_hightechtoy_02_s,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_02_s_14,True,,113,10,1.0,,,1,sad,,13,no,,15,idle
event_hightechtoy_02_s_15,40002,event_hightechtoy_02_s,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_02_s_15,True,,10,10,1.0,,,1,idle,,13,no,,15,idle
event_hightechtoy_02_s_16,40002,event_hightechtoy_02_s,Self,,,Locale_SubScenario:event_hightechtoy_02_s_16,False,,10,10,1.0,,,1,idle,,13,no,,15,idle
event_hightechtoy_02_s_17,40002,event_hightechtoy_02_s,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_02_s_17,True,,S_150,S_150,1.0,,,1,idle,,13,no,,15,delight
event_hightechtoy_02_s_18,40002,event_hightechtoy_02_s,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_02_s_18,True,,130,130,1.0,,,1,idle,,13,idle,,15,delight
event_hightechtoy_02_s_19,40002,event_hightechtoy_02_s,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_02_s_19,True,,10,10,1.0,,,1,idle,,13,idle,,15,delight
event_hightechtoy_02_s_20,40002,event_hightechtoy_02_s,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_02_s_20,True,,S_150,S_150,1.0,,,1,idle,,13,idle,,15,idle
