id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,speaker,characters/0/hide_char_id,set_filter_01,set_filter_02,set_camera_shake
event_beautyfullshot2_02_s_1,40052,event_beautyfullshot2_02_s,Monologue,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_1,False,sakura_s,1,smile,BeachCave_n,10,10,1.0,ambient_scn_calmsea,event_bgm_beautyfullshot_coral,,,,,,
event_beautyfullshot2_02_s_2,40052,event_beautyfullshot2_02_s,Monologue,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_2,False,,1,smile,,10,100,1.0,,,sfx_scn_sand,,,,,
event_beautyfullshot2_02_s_3,40052,event_beautyfullshot2_02_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_3,False,,1,smile,,100,100,1.0,,,,,,,,
event_beautyfullshot2_02_s_4,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_4,True,,1,smile,,100,100,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_5,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_5,True,,1,smile,,100,10,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_6,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_6,True,,1,smile,,10,10,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_7,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_7,True,,1,smile,,10,10,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_8,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_8,True,,1,smile,,10,10,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_9,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_9,True,,1,smile,,10,10,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_10,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_10,True,,1,smile,,10,10,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_11,40052,event_beautyfullshot2_02_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_11,False,,1,smile,,10,10,1.0,,,,,,,,
event_beautyfullshot2_02_s_12,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_12,True,,1,smile,,10,10,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_13,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_13,True,,1,smile,,10,100,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_14,40052,event_beautyfullshot2_02_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_14,False,,1,smile,,100,100,1.0,,,,,,,,
event_beautyfullshot2_02_s_15,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_15,True,,1,smile,,100,100,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_16,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_16,True,,1,smile,,100,100,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_17,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_17,True,,1,smile,,100,100,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_18,40052,event_beautyfullshot2_02_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_18,True,,1,smile,,100,100,1.0,,,,sakura_s,,,,
event_beautyfullshot2_02_s_19,40052,event_beautyfullshot2_02_s,Narration,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_19,False,,1,smile,EventScene_BeautyFullShot_02,black,black,1.0,,,,,sakura_s,,,
event_beautyfullshot2_02_s_20,40052,event_beautyfullshot2_02_s,Monologue,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_20,False,,,,,sandcastle_01,sandcastle_02,1.0,,,,,,,,
event_beautyfullshot2_02_s_21,40052,event_beautyfullshot2_02_s,Monologue,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_s_21,False,,,,,sandcastle_02,sandcastle_02,1.0,,,,,,,,
