id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,set_camera_shake,set_filter_01,characters/0/hide_char_id,fade
event_newyearnewsword_05_e_1,40036,event_newyearnewsword_05_e,Narration,Locale_SubScenario:event_newyearnewsword_05_e_1,False,janghwa,1,void,TechIndoor_n,black,black,1.0,ambient_scn_wind,,,,,,,
event_newyearnewsword_05_e_2,40036,event_newyearnewsword_05_e,Narration,Locale_SubScenario:event_newyearnewsword_05_e_2,False,,1,void,,15,1,2.0,,sfx_scn_heelfootstep,,,,,,
event_newyearnewsword_05_e_3,40036,event_newyearnewsword_05_e,Speech,Locale_SubScenario:event_newyearnewsword_05_e_3,False,,1,void,,1,S_10,1.0,,,janghwa,janghwa,,,,
event_newyearnewsword_05_e_4,40036,event_newyearnewsword_05_e,Monologue,Locale_SubScenario:event_newyearnewsword_05_e_4,False,,1,void,,S_10,S_10,1.0,,,janghwa,,,,,
event_newyearnewsword_05_e_5,40036,event_newyearnewsword_05_e,Monologue,Locale_SubScenario:event_newyearnewsword_05_e_5,False,,1,void,BriefingRoom,black,black,1.0,,,janghwa,,,,,
event_newyearnewsword_05_e_6,40036,event_newyearnewsword_05_e,Speech,Locale_SubScenario:event_newyearnewsword_05_e_6,False,,1,idle,,S_30,S_10,2.0,bgm_risk,,officer,officer,,,,
event_newyearnewsword_05_e_7,40036,event_newyearnewsword_05_e,Speech,Locale_SubScenario:event_newyearnewsword_05_e_7,True,,1,idle,,S_10,S_10,1.0,,,janghwa,janghwa,,,,
event_newyearnewsword_05_e_8,40036,event_newyearnewsword_05_e,Speech,Locale_SubScenario:event_newyearnewsword_05_e_8,True,,1,idle,,S_10,S_10,1.0,,,officer,officer,,,,
event_newyearnewsword_05_e_9,40036,event_newyearnewsword_05_e,Speech,Locale_SubScenario:event_newyearnewsword_05_e_9,False,,1,idle,,S_10,S_10,1.0,,,officer,officer,,,,
event_newyearnewsword_05_e_10,40036,event_newyearnewsword_05_e,Speech,Locale_SubScenario:event_newyearnewsword_05_e_10,True,,1,idle,,S_10,S_10,1.0,,,janghwa,janghwa,,,,
