id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_beautyfullshot1_06_s_1,40051,event_beautyfullshot1_06_s,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_s_1,True,UninhabitedIsland_d,10,10,1.0,bgm_story_milkyway,,sakura_s,1,smile,rosanna_s,13,idle,viper_s,15,idle,,,,
event_beautyfullshot1_06_s_2,40051,event_beautyfullshot1_06_s,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_s_2,True,,10,10,1.0,,,,1,smile,,13,idle,,15,idle,,,,
event_beautyfullshot1_06_s_3,40051,event_beautyfullshot1_06_s,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot1_06_s_3,False,,10,10,1.0,,,,1,smile,,13,idle,,15,idle,,,,
event_beautyfullshot1_06_s_4,40051,event_beautyfullshot1_06_s,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_s_4,True,,10,10,1.0,,,,1,smile,,13,idle,,15,idle,,,,
event_beautyfullshot1_06_s_5,40051,event_beautyfullshot1_06_s,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot1_06_s_5,False,,10,10,1.0,,,,1,smile,,13,idle,,15,idle,,,,
event_beautyfullshot1_06_s_6,40051,event_beautyfullshot1_06_s,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_s_6,True,,10,10,1.0,,,,1,smile,,13,idle,,15,idle,,,,
event_beautyfullshot1_06_s_7,40051,event_beautyfullshot1_06_s,Monologue,sakura_s,,Locale_MainScenario:event_beautyfullshot1_06_s_7,False,,10,10,1.0,,,,1,smile,,13,idle,,15,idle,,,,
event_beautyfullshot1_06_s_8,40051,event_beautyfullshot1_06_s,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_s_8,True,,10,100,1.0,,,,1,void,,13,idle,,15,idle,,,,
event_beautyfullshot1_06_s_9,40051,event_beautyfullshot1_06_s,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot1_06_s_9,False,,100,100,1.0,,,,1,void,,13,idle,,15,idle,,,,
event_beautyfullshot1_06_s_10,40051,event_beautyfullshot1_06_s,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot1_06_s_10,True,,100,100,1.0,,,,1,smile,,13,idle,,15,idle,,,,
