id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_phantomthiefvsdetective_05_s_1,40059,event_phantomthiefvsdetective_05_s,Narration,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_05_s_1,False,Drain,2,2,1.0,bgm_story_fairytalesend_if,,,,,quency_e,2,think_2,,,,,,,,,,
event_phantomthiefvsdetective_05_s_2,40059,event_phantomthiefvsdetective_05_s,Speech,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_05_s_2,True,,2,S_20,1.0,,quency_e,,,,,2,think_2,,,,,,,,,,
event_phantomthiefvsdetective_05_s_3,40059,event_phantomthiefvsdetective_05_s,Speech,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_05_s_3,True,,S_20,S_20,1.0,,quency_e,,,,,2,think_2,,,,,,,,,,
event_phantomthiefvsdetective_05_s_4,40059,event_phantomthiefvsdetective_05_s,Speech,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_05_s_4,True,,S_20,S_20,1.0,,quency_e,,,,,2,think_2,,,,,,,,,,
event_phantomthiefvsdetective_05_s_5,40059,event_phantomthiefvsdetective_05_s,Speech,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_05_s_5,True,,S_20,S_20,1.0,,quency_e,,,,,2,think_2,,,,,,,,,,
event_phantomthiefvsdetective_05_s_6,40059,event_phantomthiefvsdetective_05_s,Narration,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_05_s_6,False,,S_20,S_200,0.5,,,sfx_scn_glassbreak,Low_2,,,2,think_2,,,,,,,,,,
event_phantomthiefvsdetective_05_s_7,40059,event_phantomthiefvsdetective_05_s,Speech,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_05_s_7,True,,S_200,S_200,1.0,,quency_e,,,,,2,surprise_2,,,,,,,,,,
event_phantomthiefvsdetective_05_s_8,40059,event_phantomthiefvsdetective_05_s,Speech,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_05_s_8,True,,S_200,S_200,1.0,,quency_e,,,,,2,surprise_2,,,,,,,,,,
event_phantomthiefvsdetective_05_s_9,40059,event_phantomthiefvsdetective_05_s,Speech,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_05_s_9,True,,S_200,S_200,1.0,,quency_e,,,,,2,surprise_2,,,,,,,,,,
event_phantomthiefvsdetective_05_s_10,40059,event_phantomthiefvsdetective_05_s,Speech,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_10,True,Hotel_n,black,black,1.0,bgm_story_tuffguys,quiry,,,black,quiry,2,delight,quency_e,,,,,,,,,
event_phantomthiefvsdetective_05_s_11,40059,event_phantomthiefvsdetective_05_s,Speech,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_11,True,,S_20,S_20,1.0,,quiry,,,,,2,delight,,,,,,,,,,
event_phantomthiefvsdetective_05_s_12,40059,event_phantomthiefvsdetective_05_s,Self,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_12,False,,S_20,S_20,1.0,,,,,,,2,delight,,,,,,,,,,
event_phantomthiefvsdetective_05_s_13,40059,event_phantomthiefvsdetective_05_s,Speech,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_13,True,,S_20,S_20,1.0,,quiry,,,,,2,special_02,,,,,,,,,,
event_phantomthiefvsdetective_05_s_14,40059,event_phantomthiefvsdetective_05_s,Speech,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_14,True,,S_20,S_200,1.0,,quiry,,,,,2,special,,,,,,,,,,
event_phantomthiefvsdetective_05_s_15,40059,event_phantomthiefvsdetective_05_s,Self,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_15,False,,S_200,S_200,1.0,,,,,,,2,special,,,,,,,,,,
event_phantomthiefvsdetective_05_s_16,40059,event_phantomthiefvsdetective_05_s,Self,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_16,False,,S_200,S_200,1.0,,,,,,,2,special,,,,,,,,,,
event_phantomthiefvsdetective_05_s_17,40059,event_phantomthiefvsdetective_05_s,Speech,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_17,True,,S_200,S_20,1.0,,quiry,,,,,2,idle,,,,,,,,,,
event_phantomthiefvsdetective_05_s_18,40059,event_phantomthiefvsdetective_05_s,Speech,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_18,True,,S_20,S_20,1.0,,quiry,,,,,2,idle,,,,,,,,,,
event_phantomthiefvsdetective_05_s_19,40059,event_phantomthiefvsdetective_05_s,Speech,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_19,True,,S_20,S_20,1.0,,quiry,,,,,2,idle,,,,,,,,,,
event_phantomthiefvsdetective_05_s_20,40059,event_phantomthiefvsdetective_05_s,Self,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_20,False,,S_20,S_20,1.0,,,,,,,2,idle,,,,,,,,,,
event_phantomthiefvsdetective_05_s_21,40059,event_phantomthiefvsdetective_05_s,Self,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_21,False,,S_20,S_20,1.0,,,,,,,2,idle,,,,,,,,,,
event_phantomthiefvsdetective_05_s_22,40059,event_phantomthiefvsdetective_05_s,Speech,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_22,True,,S_20,S_20,1.0,,quiry,,,,,2,special,,,,,,,,,,
event_phantomthiefvsdetective_05_s_23,40059,event_phantomthiefvsdetective_05_s,Speech,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_23,True,,S_20,S_20,1.0,,quiry,,,,,2,special,,,,,,,,,,
event_phantomthiefvsdetective_05_s_24,40059,event_phantomthiefvsdetective_05_s,Self,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_24,False,,S_20,S_20,1.0,,,,,,,2,special,,,,,,,,,,
event_phantomthiefvsdetective_05_s_25,40059,event_phantomthiefvsdetective_05_s,Speech,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_25,True,,S_20,S_20,1.0,,quiry,,,,,2,angry,,,,,,,,,,
event_phantomthiefvsdetective_05_s_26,40059,event_phantomthiefvsdetective_05_s,Speech,quiry,Locale_SubScenario:event_phantomthiefvsdetective_05_s_26,True,,S_20,S_200,1.0,,quiry,,,,,2,angry,,,,,,,,,,
