id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_seayouagain_16_1,80600,d_ex_seayouagain_16,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_16_1,False,LogHouseIn_n,17,1700,0.3,none,,,,mast_s,1,idle,anchor,3,idle,,,
d_ex_seayouagain_16_2,80600,d_ex_seayouagain_16,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_16_2,False,,1700,1700,1.0,bgm_story_whosdumber,,,,,1,idle,,3,idle,,,
d_ex_seayouagain_16_3,80600,d_ex_seayouagain_16,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_16_3,False,,black,black,1.0,,sfx_scn_emptywind,,,,1,idle,,3,idle,,,
d_ex_seayouagain_16_4,80600,d_ex_seayouagain_16,Self,Self,Locale_SuddenStory:d_ex_seayouagain_16_4,False,,17,17,1.0,,,,,,1,idle,,3,idle,,,
d_ex_seayouagain_16_5,80600,d_ex_seayouagain_16,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_16_5,False,,17,17,1.0,,sfx_scn_emptywind,,,,1,idle,,3,angry,,,
d_ex_seayouagain_16_6,80600,d_ex_seayouagain_16,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_16_6,False,,17,1700,0.3,,,,,,1,idle,,3,angry,,,
d_ex_seayouagain_16_7,80600,d_ex_seayouagain_16,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_16_7,False,,1700,1700,1.0,,,,,,1,idle,,3,angry,,,
d_ex_seayouagain_16_8,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_8,True,Beach_n,1,10,0.5,,,mast_s,black,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_9,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_9,True,,10,10,1.0,,,mast_s,,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_10,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_10,True,,10,10,1.0,,,mast_s,,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_11,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_11,True,,10,S_30,0.7,,,anchor,,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_12,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_12,True,,S_30,S_30,1.0,,,anchor,,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_13,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_13,True,,S_30,10,1.0,,,mast_s,,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_14,80600,d_ex_seayouagain_16,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_16_14,False,,black,black,1.0,,sfx_scn_hitcan,,,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_15,80600,d_ex_seayouagain_16,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_16_15,False,,S_30,S_30,1.0,,,,,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_16,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_16,True,,S_30,3,1.0,,,anchor,,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_17,80600,d_ex_seayouagain_16,Self,Self,Locale_SuddenStory:d_ex_seayouagain_16_17,False,,3,2,1.0,,,,,,1,sad2,,3,angry,,,
d_ex_seayouagain_16_18,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_18,True,,2,2,1.0,,,mast_s,,,1,surprise,,3,angry,,,
d_ex_seayouagain_16_19,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_19,True,,2,2,1.0,,,mast_s,,,1,surprise,,3,angry,,,
d_ex_seayouagain_16_20,80600,d_ex_seayouagain_16,Self,Self,Locale_SuddenStory:d_ex_seayouagain_16_20,False,,2,2,1.0,,,,,,1,surprise,,3,angry,,,
d_ex_seayouagain_16_21,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_21,True,,2,2,1.0,,,mast_s,,,1,idle2,,3,angry,,,
d_ex_seayouagain_16_22,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_22,True,,2,2,1.0,,,anchor,,,1,idle2,,3,angry,,,
d_ex_seayouagain_16_23,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_23,True,,2,2,1.0,,,anchor,,,1,idle2,,3,angry,,,
d_ex_seayouagain_16_24,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_24,True,,2,2,1.0,,,mast_s,,,1,sad2,,3,sad,,,
d_ex_seayouagain_16_25,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_25,True,,2,2,1.0,,,anchor,,,1,sad2,,3,sad,,,
d_ex_seayouagain_16_26,80600,d_ex_seayouagain_16,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_16_26,False,,17,1700,0.3,,,,,,1,sad2,,3,sad,,,
d_ex_seayouagain_16_27,80600,d_ex_seayouagain_16,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_16_27,False,,1700,1900,0.3,,,,white_without_dialogue,,1,sad2,,3,sad,,,
d_ex_seayouagain_16_28,80600,d_ex_seayouagain_16,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_16_28,False,,black,black,1.0,,sfx_scn_rain,,,,1,sad2,,3,sad,,,
d_ex_seayouagain_16_29,80600,d_ex_seayouagain_16,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_16_29,False,,black,black,1.0,,,,,,1,sad2,,3,sad,,,
d_ex_seayouagain_16_30,80600,d_ex_seayouagain_16,Self,Self,Locale_SuddenStory:d_ex_seayouagain_16_30,False,,2,2,1.0,,,,,,1,sad2,,3,sad,,,
d_ex_seayouagain_16_31,80600,d_ex_seayouagain_16,Self,Self,Locale_SuddenStory:d_ex_seayouagain_16_31,False,,2,2,1.0,,,,,,1,sad2,,3,sad,,,
d_ex_seayouagain_16_32,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_32,True,,2,10,1.0,,,mast_s,,,1,sad2,,3,sad,,,
d_ex_seayouagain_16_33,80600,d_ex_seayouagain_16,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_16_33,True,,10,10,1.0,,,mast_s,,,1,sad2,,3,sad,,,
d_ex_seayouagain_16_34,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_34,True,,10,S_30,1.0,,,anchor,,,1,sad2,,3,idle,,,
d_ex_seayouagain_16_35,80600,d_ex_seayouagain_16,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_16_35,True,,S_30,S_30,1.0,,,anchor,,,1,sad2,,3,sad,,,
