id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/1/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/7/hide_char_id,fade
event_beautyfullshot2_06_s_1,40052,event_beautyfullshot2_06_s,Narration,rapi_s,Locale_MainScenario:event_beautyfullshot2_06_s_1,False,Voyage_d,1,1,1.0,sfx_scn_boatrun,event_bgm_stormfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_06_s_2,40052,event_beautyfullshot2_06_s,Monologue,rapi_s,Locale_MainScenario:event_beautyfullshot2_06_s_2,False,,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_06_s_3,40052,event_beautyfullshot2_06_s,Monologue,rapi_s,Locale_MainScenario:event_beautyfullshot2_06_s_3,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_06_s_4,40052,event_beautyfullshot2_06_s,Self,rapi_s,Locale_MainScenario:event_beautyfullshot2_06_s_4,False,,10,10,1.0,,,rapi_s,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_06_s_5,40052,event_beautyfullshot2_06_s,Speech,rapi_s,Locale_MainScenario:event_beautyfullshot2_06_s_5,True,,10,10,1.0,,,,1,idle,rapi_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_06_s_6,40052,event_beautyfullshot2_06_s,Narration,rapi_s,Locale_MainScenario:event_beautyfullshot2_06_s_6,False,CoralIslandInside_d,black,black,1.0,,,,7,idle,,rapi_s,mary_s,5,surprise,maiden_s,3,no,guilty_s,1,idle,jackal,13,angry,viper_s,15,sad,rosanna_s,17,idle,sakura_s,19,idle,,,,,,,
event_beautyfullshot2_06_s_7,40052,event_beautyfullshot2_06_s,Speech,mary_s,Locale_MainScenario:event_beautyfullshot2_06_s_7,True,,50,50,1.0,,,,,,mary_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_8,40052,event_beautyfullshot2_06_s,Speech,mary_s,Locale_MainScenario:event_beautyfullshot2_06_s_8,True,,50,50,1.0,,,,,,mary_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_9,40052,event_beautyfullshot2_06_s,Speech,maiden_s,Locale_MainScenario:event_beautyfullshot2_06_s_9,True,,50,S_30,1.0,,,,,,maiden_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_10,40052,event_beautyfullshot2_06_s,Speech,maiden_s,Locale_MainScenario:event_beautyfullshot2_06_s_10,True,,S_30,S_30,1.0,,,,,,maiden_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_11,40052,event_beautyfullshot2_06_s,Speech,maiden_s,Locale_MainScenario:event_beautyfullshot2_06_s_11,True,,S_30,S_30,1.0,,,,,,maiden_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_12,40052,event_beautyfullshot2_06_s,Speech,guilty_s,Locale_MainScenario:event_beautyfullshot2_06_s_12,True,,S_30,10,1.0,,,,,,guilty_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_13,40052,event_beautyfullshot2_06_s,Speech,viper_s,Locale_MainScenario:event_beautyfullshot2_06_s_13,True,,10,1315,1.0,,,,,,viper_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_14,40052,event_beautyfullshot2_06_s,Speech,jackal,Locale_MainScenario:event_beautyfullshot2_06_s_14,True,,1315,1315,1.0,,,,,,jackal,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_15,40052,event_beautyfullshot2_06_s,Speech,jackal,Locale_MainScenario:event_beautyfullshot2_06_s_15,True,,1315,1315,1.0,,,,,,jackal,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_16,40052,event_beautyfullshot2_06_s,Speech,mary_s,Locale_MainScenario:event_beautyfullshot2_06_s_16,True,,50,50,1.0,,,,,,mary_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_17,40052,event_beautyfullshot2_06_s,Speech,mary_s,Locale_MainScenario:event_beautyfullshot2_06_s_17,True,,50,50,1.0,,,,,,mary_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_18,40052,event_beautyfullshot2_06_s,Speech,mary_s,Locale_MainScenario:event_beautyfullshot2_06_s_18,True,,50,50,1.0,,,,,,mary_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_19,40052,event_beautyfullshot2_06_s,Speech,viper_s,Locale_MainScenario:event_beautyfullshot2_06_s_19,True,,1315,1315,1.0,,,,,,viper_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_20,40052,event_beautyfullshot2_06_s,Speech,jackal,Locale_MainScenario:event_beautyfullshot2_06_s_20,True,,1315,1315,1.0,,,,,,jackal,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_21,40052,event_beautyfullshot2_06_s,Speech,viper_s,Locale_MainScenario:event_beautyfullshot2_06_s_21,True,,1315,1315,1.0,,,,,,viper_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_22,40052,event_beautyfullshot2_06_s,Speech,viper_s,Locale_MainScenario:event_beautyfullshot2_06_s_22,True,,1315,1315,1.0,,,,,,viper_s,,,5,surprise,,3,no,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,maiden_s,,,,,,
event_beautyfullshot2_06_s_23,40052,event_beautyfullshot2_06_s,Speech,rapi_s,Locale_MainScenario:event_beautyfullshot2_06_s_23,True,,70,70,1.0,,,rapi_s,7,idle,rapi_s,,,5,surprise,anis_s,3,idle,neon_s,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,guilty_s,,,,,
event_beautyfullshot2_06_s_24,40052,event_beautyfullshot2_06_s,Speech,mary_s,Locale_MainScenario:event_beautyfullshot2_06_s_24,True,,70,75,1.0,,,,7,idle,mary_s,,,5,idle,,3,idle,,1,idle,,13,angry,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_25,40052,event_beautyfullshot2_06_s,Speech,rapi_s,Locale_MainScenario:event_beautyfullshot2_06_s_25,False,,75,75,1.0,,,,7,idle,rapi_s,,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_26,40052,event_beautyfullshot2_06_s,Speech,mary_s,Locale_MainScenario:event_beautyfullshot2_06_s_26,True,,75,75,1.0,,,,7,idle,mary_s,,,5,surprise,,3,idle,,1,idle,,13,idle,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_27,40052,event_beautyfullshot2_06_s,Speech,rapi_s,Locale_MainScenario:event_beautyfullshot2_06_s_27,True,,75,75,1.0,,,,7,idle,rapi_s,,,5,surprise,,3,idle,,1,idle,,13,idle,,15,sad,,17,idle,,19,idle,,,,,,,
event_beautyfullshot2_06_s_28,40052,event_beautyfullshot2_06_s,Speech,rapi_s,Locale_MainScenario:event_beautyfullshot2_06_s_28,True,,75,75,1.0,,,,7,idle,rapi_s,,,5,surprise,,3,idle,,1,idle,,13,idle,,15,sad,,17,idle,,19,idle,,,,,,,
