id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_lastkingdom2_02_e_1,40046,event_lastkingdom2_02_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_02_e_1,True,CrownCastleFrontYard_d,XS_10,XS_10,1.0,event_bgm_lastkingdom_pinch,,talkative,1,idle,,marian_q,3,angry,,,,,talos,7,idle,crown,13,idle
event_lastkingdom2_02_e_2,40046,event_lastkingdom2_02_e,Narration,talkative,,Locale_MainScenario:event_lastkingdom2_02_e_2,False,,XS_10,XS_100,0.7,,sfx_scn_rapturejump,,1,idle,,,3,angry,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_3,40046,event_lastkingdom2_02_e,Narration,talkative,,Locale_MainScenario:event_lastkingdom2_02_e_3,False,,XS_100,XS_100,1.0,,,,1,idle,,,3,angry,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_4,40046,event_lastkingdom2_02_e,Narration,talkative,,Locale_MainScenario:event_lastkingdom2_02_e_4,False,,XS_100,31,1.0,,,,1,idle,,,3,angry,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_5,40046,event_lastkingdom2_02_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_02_e_5,False,,31,31,1.0,,,,1,idle,,,3,angry,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_6,40046,event_lastkingdom2_02_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_02_e_6,True,,31,31,1.0,,,,1,idle,,,3,angry,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_7,40046,event_lastkingdom2_02_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_02_e_7,True,,31,31,1.0,,,,1,idle,,,3,angry,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_8,40046,event_lastkingdom2_02_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_02_e_8,True,,31,31,1.0,,,,1,idle,,,3,angry,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_9,40046,event_lastkingdom2_02_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_02_e_9,False,,31,31,1.0,,,,1,idle,,,3,void,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_10,40046,event_lastkingdom2_02_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_02_e_10,True,,31,XS_10,1.0,,,,1,idle,,,3,void,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_11,40046,event_lastkingdom2_02_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_02_e_11,True,,XS_10,XS_100,1.0,,,,1,idle,,,3,void,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_12,40046,event_lastkingdom2_02_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_02_e_12,True,,XS_100,XS_100,1.0,,,,1,idle,,,3,void,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_13,40046,event_lastkingdom2_02_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_02_e_13,False,,XS_100,300,1.0,,,,1,idle,,,3,pain,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_14,40046,event_lastkingdom2_02_e,Speech,kilo,kilo_op_c,Locale_MainScenario:event_lastkingdom2_02_e_14,True,,300,70,1.0,,,,1,idle,,,3,pain,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_15,40046,event_lastkingdom2_02_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_02_e_15,True,,XS_10,XS_10,1.0,,,,1,idle,,,3,pain,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_16,40046,event_lastkingdom2_02_e,Narration,talkative,,Locale_MainScenario:event_lastkingdom2_02_e_16,False,,black,black,1.0,,sfx_scn_windowbreak,,1,idle,,,3,pain,,,,,,7,idle,,13,idle
event_lastkingdom2_02_e_17,40046,event_lastkingdom2_02_e,Speech,kilo_op_c,kilo_op_c,Locale_MainScenario:event_lastkingdom2_02_e_17,True,,70,7,1.0,,,,1,idle,,,3,void,kilo_op_c,OP_kilo,surprise,,,7,idle,,13,idle
