id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_bowwowparadise_intermission_01_1,40010,event_bowwowparadise_intermission_01,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_intermission_01_1,True,City_d,3,3,1.0,bgm_story_leisuretime,,,biscuit,3,sad,,,,,,,
event_bowwowparadise_intermission_01_2,40010,event_bowwowparadise_intermission_01,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_intermission_01_2,True,,3,3,1.0,,,,,3,sad,,,,,,,
event_bowwowparadise_intermission_01_3,40010,event_bowwowparadise_intermission_01,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_intermission_01_3,True,,3,3,1.0,,,,,3,sad,,,,,,,
event_bowwowparadise_intermission_01_4,40010,event_bowwowparadise_intermission_01,Narration,,Narration,Locale_SubScenario:event_bowwowparadise_intermission_01_4,False,,3,XS_30,2.0,,sfx_scn_sofasheet,,,3,idle,,,,,,,
event_bowwowparadise_intermission_01_5,40010,event_bowwowparadise_intermission_01,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_intermission_01_5,True,,XS_30,XS_30,1.0,,,,,3,idle,,,,,,,
event_bowwowparadise_intermission_01_6,40010,event_bowwowparadise_intermission_01,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_intermission_01_6,True,,XS_30,XS_30,1.0,,,,,3,idle,,,,,,,
event_bowwowparadise_intermission_01_7,40010,event_bowwowparadise_intermission_01,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_intermission_01_7,True,,XS_30,XS_30,1.0,,,,,3,idle,,,,,,,
event_bowwowparadise_intermission_01_8,40010,event_bowwowparadise_intermission_01,Choice,,,Locale_SubScenario:event_bowwowparadise_intermission_01_8,False,,XS_30,XS_30,1.0,,,event_bowwowparadise_intermission_01_10,,3,idle,,,,,,,
event_bowwowparadise_intermission_01_9,40010,event_bowwowparadise_intermission_01,Choice,,,Locale_SubScenario:event_bowwowparadise_intermission_01_9,False,,XS_30,XS_30,1.0,,,event_bowwowparadise_intermission_01_10,,3,idle,,,,,,,
event_bowwowparadise_intermission_01_10,40010,event_bowwowparadise_intermission_01,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_intermission_01_10,True,,XS_30,XS_30,1.0,,,,,3,idle,,,,,,,
event_bowwowparadise_intermission_01_11,40010,event_bowwowparadise_intermission_01,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_intermission_01_11,True,,XS_30,XS_30,1.0,,,,,3,delight,,,,,,,
event_bowwowparadise_intermission_01_12,40010,event_bowwowparadise_intermission_01,Self,,Self,Locale_SubScenario:event_bowwowparadise_intermission_01_12,False,,XS_30,XS_30,1.0,,,,,3,delight,,,,,,,
event_bowwowparadise_intermission_01_13,40010,event_bowwowparadise_intermission_01,Monologue,,Monologue,Locale_SubScenario:event_bowwowparadise_intermission_01_13,False,Park,XS_30,12,2.0,,,,,3,idle,biscuit,,,,,,
event_bowwowparadise_intermission_01_14,40010,event_bowwowparadise_intermission_01,Self,,Self,Locale_SubScenario:event_bowwowparadise_intermission_01_14,False,,12,12,1.0,,,,,,,,,,,,,
event_bowwowparadise_intermission_01_15,40010,event_bowwowparadise_intermission_01,Speech,liter,liter,Locale_SubScenario:event_bowwowparadise_intermission_01_15,True,,12,12,1.0,,,,,,,,max,1,idle,liter,13,idle
event_bowwowparadise_intermission_01_16,40010,event_bowwowparadise_intermission_01,Monologue,,Monologue,Locale_SubScenario:event_bowwowparadise_intermission_01_16,False,,12,12,1.0,,,,,,,,,1,idle,,13,idle
