id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound
event_goldencoinrush1_06_e_1,40048,event_goldencoinrush1_06_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush1_06_e_1,True,soda_b,3,idle,alice_b,1,idle,CoinRushMainHall,XS_10,XS_10,1.0,bgm_story_orangepop,,
event_goldencoinrush1_06_e_2,40048,event_goldencoinrush1_06_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush1_06_e_2,True,,3,idle,,1,idle,,XS_10,XS_10,1.0,,,
event_goldencoinrush1_06_e_3,40048,event_goldencoinrush1_06_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush1_06_e_3,True,,3,idle,,1,idle,,XS_10,S_30,1.0,,,
event_goldencoinrush1_06_e_4,40048,event_goldencoinrush1_06_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush1_06_e_4,True,,3,idle,,1,idle,,S_30,S_30,1.0,,,
event_goldencoinrush1_06_e_5,40048,event_goldencoinrush1_06_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush1_06_e_5,True,,3,idle,,1,idle,,S_30,S_30,1.0,,,
event_goldencoinrush1_06_e_6,40048,event_goldencoinrush1_06_e,Monologue,soda_b,,Locale_MainScenario:event_goldencoinrush1_06_e_6,False,,3,idle,,1,idle,,S_30,3,1.0,,soda_b,
event_goldencoinrush1_06_e_7,40048,event_goldencoinrush1_06_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush1_06_e_7,True,,,,,1,surprise,,3,1,1.0,,,
event_goldencoinrush1_06_e_8,40048,event_goldencoinrush1_06_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush1_06_e_8,True,,,,,1,worry,,1,1,1.0,,,
event_goldencoinrush1_06_e_9,40048,event_goldencoinrush1_06_e,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush1_06_e_9,True,,,,,1,worry,,1,1,1.0,,,
event_goldencoinrush1_06_e_10,40048,event_goldencoinrush1_06_e,Self,alice_b,,Locale_MainScenario:event_goldencoinrush1_06_e_10,False,,,,,1,worry,,1,1,1.0,,,
