id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/2/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,jump_target
event_BunnyX777_06_e_1,40014,event_BunnyX777_06_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_06_e_1,True,blanc,1,idle,noir,3,idle,rouge,13,think,CoinRushIndoor,13,130,1.0,bgm_story_backtonormal,,,,,
event_BunnyX777_06_e_2,40014,event_BunnyX777_06_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_06_e_2,True,,1,idle,,3,idle,,13,think,,130,130,1.0,,,,,,
event_BunnyX777_06_e_3,40014,event_BunnyX777_06_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_06_e_3,True,,1,idle,,3,idle,,13,think,,130,130,1.0,,,,,,
event_BunnyX777_06_e_4,40014,event_BunnyX777_06_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_06_e_4,True,,1,idle,,3,idle,,13,idle,,130,1300,1.0,,,,,,
event_BunnyX777_06_e_5,40014,event_BunnyX777_06_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_06_e_5,True,,1,idle,,3,idle,,13,idle,,1300,1300,1.0,,,,,,
event_BunnyX777_06_e_6,40014,event_BunnyX777_06_e,Self,,,Locale_SubScenario:event_BunnyX777_06_e_6,False,,1,idle,,3,idle,,13,idle,,1300,1300,1.0,,,,,,
event_BunnyX777_06_e_7,40014,event_BunnyX777_06_e,Monologue,,,Locale_SubScenario:event_BunnyX777_06_e_7,False,,1,idle,,3,idle,,13,idle,,1300,31,2.0,,,,,,
event_BunnyX777_06_e_8,40014,event_BunnyX777_06_e,Monologue,,,Locale_SubScenario:event_BunnyX777_06_e_8,False,,1,idle,,3,idle,,13,idle,,31,31,1.0,,,,,,
event_BunnyX777_06_e_9,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_9,True,,1,idle,,3,idle,,13,idle,,31,31,1.0,,,,,,
event_BunnyX777_06_e_10,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_10,True,,1,idle,,3,idle,,13,idle,,31,31,1.0,,,,,,
event_BunnyX777_06_e_11,40014,event_BunnyX777_06_e,Self,,,Locale_SubScenario:event_BunnyX777_06_e_11,False,,1,idle,,3,idle,,13,idle,,31,31,1.0,,,,,,
event_BunnyX777_06_e_12,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_12,True,,1,idle,,3,idle,,13,idle,,31,L_10,1.0,,,,,,
event_BunnyX777_06_e_13,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_13,True,,1,idle,,3,idle,,13,idle,,L_10,L_10,1.0,,,,,,
event_BunnyX777_06_e_14,40014,event_BunnyX777_06_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_06_e_14,True,,1,idle,,3,idle,,13,idle,,L_10,L_30,1.0,,,,,,
event_BunnyX777_06_e_15,40014,event_BunnyX777_06_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_06_e_15,True,,1,idle,,3,idle,,13,idle,,L_30,L_30,1.0,,,,,,
event_BunnyX777_06_e_16,40014,event_BunnyX777_06_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_06_e_16,True,,1,idle,,3,idle,,13,idle,,L_30,L_30,1.0,,,,,,
event_BunnyX777_06_e_17,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_17,True,,1,delight,,3,idle,,13,idle,,L_30,31,1.0,,,,,,
event_BunnyX777_06_e_18,40014,event_BunnyX777_06_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_06_e_18,True,,1,delight,,3,idle,,13,idle,,31,31,1.0,none,,,,,
event_BunnyX777_06_e_19,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_19,True,,1,delight,,3,idle,,13,idle,,31,31,1.0,,,,,,
event_BunnyX777_06_e_20,40014,event_BunnyX777_06_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_06_e_20,True,,1,delight,,3,idle,,13,idle,,31,31,1.0,,,,,,
event_BunnyX777_06_e_21,40014,event_BunnyX777_06_e,Self,,,Locale_SubScenario:event_BunnyX777_06_e_21,False,,1,delight,,3,idle,,13,idle,,31,31,1.0,,,,,,
event_BunnyX777_06_e_22,40014,event_BunnyX777_06_e,Narration,,,Locale_SubScenario:event_BunnyX777_06_e_22,False,,1,delight,,3,idle,,13,idle,,black,black,1.0,bgm_story_sunnycarnival,sfx_scn_kiss,,,,
event_BunnyX777_06_e_23,40014,event_BunnyX777_06_e,Self,,,Locale_SubScenario:event_BunnyX777_06_e_23,False,,1,delight,,3,idle,,13,idle,,black,black,1.0,,,,,,
event_BunnyX777_06_e_24,40014,event_BunnyX777_06_e,Monologue,,,Locale_SubScenario:event_BunnyX777_06_e_24,False,,1,delight,,3,idle,,13,idle,,black,black,1.0,,,,,,
event_BunnyX777_06_e_25,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_25,True,,1,delight,,3,idle,,13,idle,,31,31,1.0,,,,,,
event_BunnyX777_06_e_26,40014,event_BunnyX777_06_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_06_e_26,True,,1,delight,,3,surprise,,13,idle,,31,31,1.0,,,,,,
event_BunnyX777_06_e_27,40014,event_BunnyX777_06_e,Speech,participants,participants,Locale_SubScenario:event_BunnyX777_06_e_27,True,,1,delight,,3,surprise,,13,idle,,31,7,1.0,,sfx_scn_crowdcheer,,,,
event_BunnyX777_06_e_28,40014,event_BunnyX777_06_e,Speech,youngman,youngman,Locale_SubScenario:event_BunnyX777_06_e_28,True,,1,delight,,3,surprise,,13,idle,,7,7,1.0,,,,,,
event_BunnyX777_06_e_29,40014,event_BunnyX777_06_e,Speech,skinnyman,skinnyman,Locale_SubScenario:event_BunnyX777_06_e_29,True,,1,delight,,3,surprise,,13,idle,,7,7,1.0,,,,,,
event_BunnyX777_06_e_30,40014,event_BunnyX777_06_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_06_e_30,True,,1,delight,,3,idle,,13,idle,,130,130,1.0,,,,,,
event_BunnyX777_06_e_31,40014,event_BunnyX777_06_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_06_e_31,True,,1,delight,,3,idle,,13,idle,,130,130,1.0,,,,,,
event_BunnyX777_06_e_32,40014,event_BunnyX777_06_e,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_06_e_32,True,,1,delight,,3,idle,,13,idle,,130,1300,1.0,,,,,,
event_BunnyX777_06_e_33,40014,event_BunnyX777_06_e,Speech,participants,participants,Locale_SubScenario:event_BunnyX777_06_e_33,True,,1,delight,,3,idle,,13,idle,,1300,1300,1.0,,,,,,
event_BunnyX777_06_e_34,40014,event_BunnyX777_06_e,Monologue,,,Locale_SubScenario:event_BunnyX777_06_e_34,False,,1,delight,,3,idle,,13,idle,,black,black,1.0,,,,,,
event_BunnyX777_06_e_35,40014,event_BunnyX777_06_e,Monologue,,,Locale_SubScenario:event_BunnyX777_06_e_35,False,,1,delight,,3,idle,,13,idle,,black,black,1.0,,,,,,
event_BunnyX777_06_e_36,40014,event_BunnyX777_06_e,Monologue,,,Locale_SubScenario:event_BunnyX777_06_e_36,False,,1,delight,,3,idle,,13,idle,,black,black,1.0,,,,,,
event_BunnyX777_06_e_37,40014,event_BunnyX777_06_e,Narration,,,Locale_SubScenario:event_BunnyX777_06_e_37,False,,1,delight,,3,idle,,13,idle,,black,black,1.0,none,,rouge,,,
event_BunnyX777_06_e_38,40014,event_BunnyX777_06_e,Self,,,Locale_SubScenario:event_BunnyX777_06_e_38,False,,1,delight,,3,idle,,,,,31,31,1.0,,,,,,
event_BunnyX777_06_e_39,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_39,True,,1,idle,,3,idle,,,,,31,31,1.0,,,,,,
event_BunnyX777_06_e_40,40014,event_BunnyX777_06_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_06_e_40,True,,1,idle,,3,idle,,,,,31,31,1.0,,,,,,
event_BunnyX777_06_e_41,40014,event_BunnyX777_06_e,Self,,,Locale_SubScenario:event_BunnyX777_06_e_41,False,,1,idle,,3,idle,,,,,31,31,1.0,,,,,,
event_BunnyX777_06_e_42,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_42,True,,1,idle,,3,idle,,,,,31,1,1.0,,,,,,
event_BunnyX777_06_e_43,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_43,True,,1,idle,,3,idle,,,,,1,1,1.0,,,,,,
event_BunnyX777_06_e_44,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_44,True,,1,idle,,3,idle,,,,,1,L_10,1.0,,,,,,
event_BunnyX777_06_e_45,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_45,True,,1,idle,,3,idle,,,,,L_10,L_10,1.0,bgm_story_shapeofhope,,,,,
event_BunnyX777_06_e_46,40014,event_BunnyX777_06_e,Self,,,Locale_SubScenario:event_BunnyX777_06_e_46,False,,1,idle,,3,idle,,,,,L_10,L_10,1.0,,,,,,
event_BunnyX777_06_e_47,40014,event_BunnyX777_06_e,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_e_47,True,,1,idle,,3,idle,,,,,L_10,31,1.0,,,,,,
event_BunnyX777_06_e_48,40014,event_BunnyX777_06_e,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_06_e_48,True,,1,idle,,3,idle,,,,,31,31,1.0,,,,,,
event_BunnyX777_06_e_49,40014,event_BunnyX777_06_e,Self,,,Locale_SubScenario:event_BunnyX777_06_e_49,False,,1,idle,,3,idle,,,,,31,31,1.0,,,,,,
