id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,highlight,speaker,set_background,fade
event_romanticvalentine_01_s_1,40069,event_romanticvalentine_01_s,Monologue,Locale_SubScenario:event_romanticvalentine_01_s_1,False,black,black,1.0,none,,,,,,,,,,,,,,,,
event_romanticvalentine_01_s_2,40069,event_romanticvalentine_01_s,Monologue,Locale_SubScenario:event_romanticvalentine_01_s_2,False,black,black,1.0,,,,,,,,,,,,,,,,,
event_romanticvalentine_01_s_3,40069,event_romanticvalentine_01_s,Monologue,Locale_SubScenario:event_romanticvalentine_01_s_3,False,black,black,1.0,,,,,,,,,,,,,,,,,
event_romanticvalentine_01_s_4,40069,event_romanticvalentine_01_s,Monologue,Locale_SubScenario:event_romanticvalentine_01_s_4,False,black,black,1.0,,,,,,,,,,,,,,,,,
event_romanticvalentine_01_s_5,40069,event_romanticvalentine_01_s,Monologue,Locale_SubScenario:event_romanticvalentine_01_s_5,False,black,black,1.0,,mast_m,1,shy3,anchor_m,13,angry,sin_m,3,delight,trony_m,5,special,,,,
event_romanticvalentine_01_s_6,40069,event_romanticvalentine_01_s,Monologue,Locale_SubScenario:event_romanticvalentine_01_s_6,False,black,black,1.0,,,1,shy3,,13,angry,,3,delight,,5,special,,,,
event_romanticvalentine_01_s_7,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_7,True,S_10,S_10,1.0,bgm_story_shapeofhope,,1,shy3,,13,angry,,3,delight,,5,special,mast_m,mast_m,CommanderRoom,black
event_romanticvalentine_01_s_8,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_8,True,S_10,S_10,1.0,,,1,shy3,,13,angry,,3,delight,,5,special,mast_m,mast_m,,
event_romanticvalentine_01_s_9,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_9,True,S_10,12,1.0,,,1,shy3,,13,angry,,3,delight,,5,special,anchor_m,anchor_m,,
event_romanticvalentine_01_s_10,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_10,True,30,30,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,sin_m,sin_m,,
event_romanticvalentine_01_s_11,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_11,False,30,50,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,trony_m,trony_m,,
event_romanticvalentine_01_s_12,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_12,True,50,50,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,trony_m,trony_m,,
event_romanticvalentine_01_s_13,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_13,True,50,50,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,trony_m,trony_m,,
event_romanticvalentine_01_s_14,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_14,True,50,50,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,trony_m,trony_m,,
event_romanticvalentine_01_s_15,40069,event_romanticvalentine_01_s,Monologue,Locale_SubScenario:event_romanticvalentine_01_s_15,False,50,50,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,,,,
event_romanticvalentine_01_s_16,40069,event_romanticvalentine_01_s,Self,Locale_SubScenario:event_romanticvalentine_01_s_16,False,50,50,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,,,,
event_romanticvalentine_01_s_17,40069,event_romanticvalentine_01_s,Monologue,Locale_SubScenario:event_romanticvalentine_01_s_17,False,50,50,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,,,,
event_romanticvalentine_01_s_18,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_18,True,S_10,S_100,2.0,,,1,shy3,,13,angry,,3,shy,,5,special,mast_m,mast_m,,
event_romanticvalentine_01_s_19,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_19,True,S_100,S_100,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,mast_m,mast_m,,
event_romanticvalentine_01_s_20,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_20,True,S_100,S_100,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,mast_m,mast_m,,
event_romanticvalentine_01_s_21,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_21,True,S_100,S_100,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,mast_m,mast_m,,
event_romanticvalentine_01_s_22,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_22,True,S_100,XS_130,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,anchor_m,anchor_m,,
event_romanticvalentine_01_s_23,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_23,True,XS_130,XS_130,1.0,,,1,shy3,,13,angry,,3,shy,,5,special,anchor_m,anchor_m,,
event_romanticvalentine_01_s_24,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_24,True,30,300,1.5,,,1,shy3,,13,angry,,3,delight,,5,special,sin_m,sin_m,,
event_romanticvalentine_01_s_25,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_25,True,300,300,1.0,,,1,shy3,,13,angry,,3,delight,,5,special,sin_m,sin_m,,
event_romanticvalentine_01_s_26,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_26,True,300,300,1.0,,,1,shy3,,13,angry,,3,delight,,5,special,sin_m,sin_m,,
event_romanticvalentine_01_s_27,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_27,True,300,300,1.0,,,1,shy3,,13,angry,,3,delight,,5,special,sin_m,sin_m,,
event_romanticvalentine_01_s_28,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_28,True,300,300,1.0,,,1,shy3,,13,angry,,3,smile,,5,special,sin_m,sin_m,,
event_romanticvalentine_01_s_29,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_29,True,300,50,1.0,,,1,shy3,,13,angry,,3,smile,,5,special,trony_m,trony_m,,
event_romanticvalentine_01_s_30,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_30,True,S_10,S_10,1.0,,,1,shy3,,13,angry,,3,smile,,5,special,mast_m,mast_m,,
event_romanticvalentine_01_s_31,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_31,True,XS_130,XS_130,1.0,,,1,shy3,,13,shy,,3,smile,,5,special,anchor_m,anchor_m,,
event_romanticvalentine_01_s_32,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_32,True,30,30,1.0,,,1,shy3,,13,shy,,3,smile,,5,special,sin_m,sin_m,,
event_romanticvalentine_01_s_33,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_33,True,50,50,1.0,,,1,shy3,,13,shy,,3,smile,,5,special,trony_m,trony_m,,
event_romanticvalentine_01_s_34,40069,event_romanticvalentine_01_s,Speech,Locale_SubScenario:event_romanticvalentine_01_s_34,True,50,500,0.5,,,1,shy3,,13,shy,,3,smile,,5,special,trony_m,trony_m,,
event_romanticvalentine_01_s_35,40069,event_romanticvalentine_01_s,Monologue,Locale_SubScenario:event_romanticvalentine_01_s_35,False,500,500,1.0,,,1,shy3,,13,shy,,3,smile,,5,special,trony_m,,,
event_romanticvalentine_01_s_36,40069,event_romanticvalentine_01_s,Monologue,Locale_SubScenario:event_romanticvalentine_01_s_36,False,500,500,1.0,,,1,shy3,,13,shy,,3,smile,,5,special,trony_m,,,
