id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_lastkingdom1_05_s_1,40045,event_lastkingdom1_05_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_05_s_1,True,CrownCastleFrontYard_d,1,1,1.0,event_bgm_lastkingdom_scene,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_2,40045,event_lastkingdom1_05_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_05_s_2,True,,1,1,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_3,40045,event_lastkingdom1_05_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_05_s_3,True,,1,1,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_4,40045,event_lastkingdom1_05_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_05_s_4,True,,1,100,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_5,40045,event_lastkingdom1_05_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_05_s_5,True,,100,100,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_6,40045,event_lastkingdom1_05_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_05_s_6,True,,100,100,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_7,40045,event_lastkingdom1_05_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_05_s_7,True,,100,100,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_8,40045,event_lastkingdom1_05_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_05_s_8,True,,100,100,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_9,40045,event_lastkingdom1_05_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_05_s_9,True,,100,1,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_10,40045,event_lastkingdom1_05_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_05_s_10,False,,1,1,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_11,40045,event_lastkingdom1_05_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_05_s_11,True,,1,1,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_12,40045,event_lastkingdom1_05_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_05_s_12,True,,1,1,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_13,40045,event_lastkingdom1_05_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_05_s_13,True,,1,1,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_14,40045,event_lastkingdom1_05_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_05_s_14,True,,1,1,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_15,40045,event_lastkingdom1_05_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_05_s_15,True,,1,10,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_16,40045,event_lastkingdom1_05_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_05_s_16,True,,10,100,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_05_s_17,40045,event_lastkingdom1_05_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_05_s_17,True,Crowncastlebedroom_d,black,black,1.0,none,,,crown,1,idle,marian_q,13,void,black,,,,,,,,,,,,,
event_lastkingdom1_05_s_18,40045,event_lastkingdom1_05_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_05_s_18,True,,113,113,1.0,,,,,1,idle,,13,void,,,,,,,,,,,,,,
event_lastkingdom1_05_s_19,40045,event_lastkingdom1_05_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_05_s_19,True,,113,113,1.0,,,,,1,idle,,13,void,,,,,,,,,,,,,,
