id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,set_filter_02,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
event_forrest_06_s_1,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_1,False,Laboratory,1,1,1.0,bgm_story_monochrome,Vignetting,,,,,,,,,,
event_forrest_06_s_2,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_2,False,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_3,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_3,False,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_4,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_4,False,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_5,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_5,False,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_6,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_6,False,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_7,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_7,False,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_8,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_8,False,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_9,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_9,False,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_10,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_10,False,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_11,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_11,False,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_12,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_12,False,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_13,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_13,False,Hospital,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_06_s_14,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_14,False,,1,13,1.0,,Vignetting,linne,trina,13,think1,,,,,,
event_forrest_06_s_15,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_15,True,,13,13,1.0,,Vignetting,trina,,13,think1,trina,,,,,
event_forrest_06_s_16,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_16,False,,13,13,1.0,,Vignetting,,,13,think1,trina,,,,,
event_forrest_06_s_17,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_17,False,,13,13,1.0,,Vignetting,,,13,think1,trina,,,,,
event_forrest_06_s_18,40072,event_forrest_06_s,Narration,Locale_SubScenario:event_forrest_06_s_18,False,,13,13,1.0,,Vignetting,,,13,think1,trina,,,,,
event_forrest_06_s_19,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_19,False,,13,13,1.0,,Vignetting,linne,,13,think1,trina,,,,,
event_forrest_06_s_20,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_20,True,,13,13,1.0,,Vignetting,trina,,13,think1,trina,,,,,
event_forrest_06_s_21,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_21,True,,13,13,1.0,,Vignetting,trina,,13,think1,trina,,,,,
event_forrest_06_s_22,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_22,True,,13,13,1.0,,Vignetting,trina,,13,think1,trina,,,,,
event_forrest_06_s_23,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_23,False,,13,13,1.0,,Vignetting,linne,,13,think1,trina,,,,,
event_forrest_06_s_24,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_24,False,,13,13,1.0,,Vignetting,linne,,13,think1,trina,,,,,
event_forrest_06_s_25,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_25,False,,13,13,1.0,,Vignetting,linne,,13,think1,trina,,,,,
event_forrest_06_s_26,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_26,False,,13,13,1.0,,Vignetting,linne,,13,think1,trina,,,,,
event_forrest_06_s_27,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_27,False,,13,13,1.0,,Vignetting,linne,,13,think1,trina,,,,,
event_forrest_06_s_28,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_28,False,,13,13,1.0,,Vignetting,linne,,13,think1,trina,,,,,
event_forrest_06_s_29,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_29,False,,13,L_130,1.0,,Vignetting,trina,,13,sad,trina,,,,,
event_forrest_06_s_30,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_30,True,,L_130,L_130,1.0,,Vignetting,trina,,13,sad,trina,,,,,
event_forrest_06_s_31,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_31,True,,L_130,L_130,1.0,,Vignetting,trina,,13,sad,trina,,,,,
event_forrest_06_s_32,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_32,True,,L_130,L_130,1.0,,Vignetting,trina,,13,sad,trina,,,,,
event_forrest_06_s_33,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_33,False,,L_130,L_130,1.0,,Vignetting,linne,,13,sad,trina,,,,,
event_forrest_06_s_34,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_34,False,,L_130,L_130,1.0,,Vignetting,linne,,13,sad,trina,,,,,
event_forrest_06_s_35,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_35,True,,L_130,13,1.0,,Vignetting,trina,,13,sad,trina,,,,,
event_forrest_06_s_36,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_36,False,,13,13,1.0,,Vignetting,linne,,13,sad,trina,,,,,
event_forrest_06_s_37,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_37,False,,13,13,1.0,,Vignetting,linne,,13,sad,trina,,,,,
event_forrest_06_s_38,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_38,False,,13,13,1.0,,Vignetting,linne,,13,sad,trina,,,,,
event_forrest_06_s_39,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_39,False,,13,13,1.0,,Vignetting,linne,,13,sad,trina,Blur_Low,,,,
event_forrest_06_s_40,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_40,False,,13,13,1.0,,Vignetting,linne,,13,sad,trina,Blur_Middle,,,,
event_forrest_06_s_41,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_41,False,,13,13,1.0,,Vignetting,linne,,13,sad,trina,Blur_High,,,,
event_forrest_06_s_42,40072,event_forrest_06_s,Speech,Locale_SubScenario:event_forrest_06_s_42,True,CherryBlossom,12,12,1.0,,,trina,,13,think1,trina,,liter_c,1,sorrow,black
