id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/1/hide_char_id,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,play_sound
event_beautyfullshot1_05_e_1,40051,event_beautyfullshot1_05_e,Narration,Locale_MainScenario:event_beautyfullshot1_05_e_1,False,sakura_s,1,idle,mary_s,13,idle,CoralIslandInside_d,black,black,1.0,event_bgm_beautyfullshot_seasidedance,,,,,,,,,,,,,
event_beautyfullshot1_05_e_2,40051,event_beautyfullshot1_05_e,Speech,Locale_MainScenario:event_beautyfullshot1_05_e_2,True,,1,idle,,13,idle,,130,130,1.0,,mary_s,mary_s,,,,,,,,,,,
event_beautyfullshot1_05_e_3,40051,event_beautyfullshot1_05_e,Speech,Locale_MainScenario:event_beautyfullshot1_05_e_3,True,,1,idle,,13,idle,,130,130,1.0,,mary_s,mary_s,,,,,,,,,,,
event_beautyfullshot1_05_e_4,40051,event_beautyfullshot1_05_e,Speech,Locale_MainScenario:event_beautyfullshot1_05_e_4,True,,1,idle,,13,idle,,130,130,1.0,,mary_s,mary_s,,,,,,,,,,,
event_beautyfullshot1_05_e_5,40051,event_beautyfullshot1_05_e,Speech,Locale_MainScenario:event_beautyfullshot1_05_e_5,True,,1,idle,,13,idle,,130,13,1.0,,mary_s,mary_s,,,,,,,,,,,
event_beautyfullshot1_05_e_6,40051,event_beautyfullshot1_05_e,Self,Locale_MainScenario:event_beautyfullshot1_05_e_6,False,,1,idle,,13,idle,,13,13,1.0,,mary_s,,,,,,,,,,,,
event_beautyfullshot1_05_e_7,40051,event_beautyfullshot1_05_e,Speech,Locale_MainScenario:event_beautyfullshot1_05_e_7,True,,1,idle,,13,idle,,13,113,1.0,,sakura_s,sakura_s,,,,,,,,,,,
event_beautyfullshot1_05_e_8,40051,event_beautyfullshot1_05_e,Speech,Locale_MainScenario:event_beautyfullshot1_05_e_8,True,,1,idle,,13,idle,,113,113,1.0,,mary_s,mary_s,,,,,,,,,,,
event_beautyfullshot1_05_e_9,40051,event_beautyfullshot1_05_e,Monologue,Locale_MainScenario:event_beautyfullshot1_05_e_9,False,,1,idle,,13,idle,,113,113,1.0,,mary_s,,,,,,,,,,,,
event_beautyfullshot1_05_e_10,40051,event_beautyfullshot1_05_e,Speech,Locale_MainScenario:event_beautyfullshot1_05_e_10,True,,1,idle,,13,idle,,113,113,1.0,,mary_s,mary_s,,,,,,,,,,,
