id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade
event_neverland2_03_s_1,40035,event_neverland2_03_s,Monologue,Locale_MainScenario:event_neverland2_03_s_1,False,ludmilla_w,7,think,mica_w,9,void,blanc_c,5,think,noir_c,3,idle,emma,1,worry,signal,13,idle,delta,15,idle,eunhwa,17,idle,vesti,19,idle,HotSpringInnIn_n,black,black,1.0,none,,,,
event_neverland2_03_s_2,40035,event_neverland2_03_s,Speech,Locale_MainScenario:event_neverland2_03_s_2,True,,7,think,,9,void,,5,think,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,19,idle,,1315,1315,1.0,bgm_story_breakaway,signal,signal,,
event_neverland2_03_s_3,40035,event_neverland2_03_s,Speech,Locale_MainScenario:event_neverland2_03_s_3,True,,7,think,,9,void,,5,think,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,19,idle,,1315,1315,1.0,,delta,delta,,
event_neverland2_03_s_4,40035,event_neverland2_03_s,Speech,Locale_MainScenario:event_neverland2_03_s_4,True,,7,think,,9,void,,5,think,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,19,idle,,1315,1315,1.0,,signal,signal,,
event_neverland2_03_s_5,40035,event_neverland2_03_s,Speech,Locale_MainScenario:event_neverland2_03_s_5,True,,7,think,,9,void,,5,think,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,19,idle,,1315,1315,1.0,,delta,delta,,
event_neverland2_03_s_6,40035,event_neverland2_03_s,Speech,Locale_MainScenario:event_neverland2_03_s_6,True,,7,think,,9,void,,5,think,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,19,idle,,1315,1,1.0,,emma,emma,,
event_neverland2_03_s_7,40035,event_neverland2_03_s,Self,Locale_MainScenario:event_neverland2_03_s_7,False,,7,think,,9,void,,5,think,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,19,idle,,1,1,1.0,,,,,
event_neverland2_03_s_8,40035,event_neverland2_03_s,Narration,Locale_MainScenario:event_neverland2_03_s_8,False,,7,think,,9,void,,5,think,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,19,idle,,black,black,1.0,,,,sfx_scn_aim,
event_neverland2_03_s_9,40035,event_neverland2_03_s,Speech,Locale_MainScenario:event_neverland2_03_s_9,True,,7,think,,9,void,,5,think,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,19,idle,,1719,1719,1.0,,eunhwa,eunhwa,,
event_neverland2_03_s_10,40035,event_neverland2_03_s,Speech,Locale_MainScenario:event_neverland2_03_s_10,True,,7,think,,9,void,,5,think,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,19,idle,,1719,1719,1.0,,vesti,vesti,,
