id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_oldtales1_05_s_1,40061,event_oldtales1_05_s,Narration,Locale_MainScenario:event_oldtales1_05_s_1,False,Hotel,black,black,1.0,none,,,,,,,,,,,,,
event_oldtales1_05_s_2,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_2,True,,15,150,1.0,,abe,abe,abe,15,think,,,,,,,,
event_oldtales1_05_s_3,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_3,True,,150,150,1.0,,abe,abe,,15,worry,,,,,,,,
event_oldtales1_05_s_4,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_4,False,,150,150,1.0,,abe,abe,,15,worry,,,,,,,,
event_oldtales1_05_s_5,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_5,True,,150,150,1.0,,abe,abe,,15,worry,,,,,,,,
event_oldtales1_05_s_6,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_6,True,,150,150,1.0,,abe,abe,,15,worry,,,,,,,,
event_oldtales1_05_s_7,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_7,False,,150,150,1.0,,abe,abe,,15,worry,,,,,,,,
event_oldtales1_05_s_8,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_8,True,,150,150,1.0,,abe,abe,,15,think,,,,,,,,
event_oldtales1_05_s_9,40061,event_oldtales1_05_s,Narration,Locale_MainScenario:event_oldtales1_05_s_9,False,,150,15,1.0,event_bgm_oldtales_oswald,abe,,,15,think,sfx_scn_naturalfootstep,,,,,,,
event_oldtales1_05_s_10,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_10,True,,15,15,1.0,,abe,abe,,15,think,,,,,,,,
event_oldtales1_05_s_11,40061,event_oldtales1_05_s,Narration,Locale_MainScenario:event_oldtales1_05_s_11,False,,15,15,1.0,,abe,,,15,think,sfx_scn_glassdooropen,,,,,,,
event_oldtales1_05_s_12,40061,event_oldtales1_05_s,Narration,Locale_MainScenario:event_oldtales1_05_s_12,False,,15,15,1.0,,abe,,,15,think,sfx_scn_walla,,,,,,,
event_oldtales1_05_s_13,40061,event_oldtales1_05_s,Narration,Locale_MainScenario:event_oldtales1_05_s_13,False,,15,15,1.0,,abe,,,15,think,,,,,,,,
event_oldtales1_05_s_14,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_14,True,,15,15,1.0,,abe,abe,,15,surprise,,,,,,,,
event_oldtales1_05_s_15,40061,event_oldtales1_05_s,Narration,Locale_MainScenario:event_oldtales1_05_s_15,False,RuinTechIndoor,15,1,1.0,,abe,,,1,surprise,sfx_scn_metaldoorrun,Low_2,,,,,,
event_oldtales1_05_s_16,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_16,True,,1,2,1.0,,oswald_o,oswald_o,,1,surprise,,,oswald_o,3,idle,,,
event_oldtales1_05_s_17,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_17,True,,2,2,1.0,,abe,abe,,1,surprise,,,,3,idle,,,
event_oldtales1_05_s_18,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_18,True,,2,2,1.0,,oswald_o,oswald_o,,1,surprise,,,,3,idle,,,
event_oldtales1_05_s_19,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_19,True,,2,2,1.0,,oswald_o,oswald_o,,1,surprise,,,,3,idle,,,
event_oldtales1_05_s_20,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_20,False,,2,10,1.0,,abe,abe,,1,surprise,,,,3,idle,,,
event_oldtales1_05_s_21,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_21,True,,10,12,1.0,,abe,abe,,1,surprise,,,,3,idle,redshoes,13,surprise
event_oldtales1_05_s_22,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_22,False,,12,12,1.0,,redshoes,redshoes,,1,surprise,,,,3,idle,,13,surprise
event_oldtales1_05_s_23,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_23,True,,12,12,1.0,,redshoes,redshoes,,1,surprise,,,,3,idle,,13,surprise
event_oldtales1_05_s_24,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_24,True,,12,12,1.0,,redshoes,redshoes,,1,surprise,,,,3,idle,,13,idle
event_oldtales1_05_s_25,40061,event_oldtales1_05_s,Speech,Locale_MainScenario:event_oldtales1_05_s_25,True,,12,12,1.0,,abe,abe,,1,angry,,,,3,idle,,13,idle
