id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id
event_goldencoinrush1_01_e_1,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_1,False,CommanderRoom_n,5,1,1.0,bgm_story_breakaway,,,,,,,,
event_goldencoinrush1_01_e_2,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_2,False,,1,1,1.0,,,,,,,,,
event_goldencoinrush1_01_e_3,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_3,False,,1,1,1.0,,,,,,,,,
event_goldencoinrush1_01_e_4,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_4,False,,1,1,1.0,,,,,,,,,
event_goldencoinrush1_01_e_5,40048,event_goldencoinrush1_01_e,Narration,Locale_MainScenario:event_goldencoinrush1_01_e_5,False,,1,10,1.0,,sfx_scn_knock,,,,,,,
event_goldencoinrush1_01_e_6,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_6,False,,10,10,1.0,,,,,,,,,
event_goldencoinrush1_01_e_7,40048,event_goldencoinrush1_01_e,Monologue,Locale_MainScenario:event_goldencoinrush1_01_e_7,False,,10,10,1.0,,,,,,,,,
event_goldencoinrush1_01_e_8,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_8,False,,10,10,1.0,,,,,,,,,
event_goldencoinrush1_01_e_9,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_9,True,,10,10,1.0,,,soda,soda,,,,,
event_goldencoinrush1_01_e_10,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_10,True,,10,10,1.0,,,soda,soda,,,,,
event_goldencoinrush1_01_e_11,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_11,False,,10,10,1.0,,,,,,,,,
event_goldencoinrush1_01_e_12,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_12,True,,10,10,1.0,,,soda,soda,,,,,
event_goldencoinrush1_01_e_13,40048,event_goldencoinrush1_01_e,Speech,Locale_MainScenario:event_goldencoinrush1_01_e_13,True,,10,10,1.0,,,soda,soda,,,,,
event_goldencoinrush1_01_e_14,40048,event_goldencoinrush1_01_e,Self,Locale_MainScenario:event_goldencoinrush1_01_e_14,False,,10,10,1.0,,,,,,,,,
