id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_ex_redash_03_2_1,80800,d_ex_redash_03_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_03_2_1,False,ArkRuinIndoor,black,black,1.0,none,,,,rapunzel_o,7,think,liliweiss,3,idle,commander,1,idle,dorothy,5,idle
d_ex_redash_03_2_2,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_2,True,,L_70,L_70,1.0,bgm_story_backtonormal,rapunzel_o,,,,7,think,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_3,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_3,True,,L_70,7,1.0,,rapunzel_o,,,,7,think,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_4,80800,d_ex_redash_03_2,Speech,commander,Locale_SuddenStory:d_ex_redash_03_2_4,True,,L_10,L_10,0.7,,commander,,,,7,think,,3,surprise,,1,surprise,,5,idle
d_ex_redash_03_2_5,80800,d_ex_redash_03_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_2_5,True,,L_10,30,0.7,,liliweiss,,,,7,think,,3,surprise,,1,surprise,,5,idle
d_ex_redash_03_2_6,80800,d_ex_redash_03_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_2_6,True,,30,50,0.7,,dorothy,,,,7,think,,3,surprise,,1,surprise,,5,worry
d_ex_redash_03_2_7,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_7,True,,7,7,1.0,,rapunzel_o,,,,7,pain_01,,3,idle,,1,surprise,,5,worry
d_ex_redash_03_2_8,80800,d_ex_redash_03_2,Speech,commander,Locale_SuddenStory:d_ex_redash_03_2_8,True,,7,7,1.0,,commander,,,,7,pain_01,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_9,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_9,True,,7,7,1.0,,rapunzel_o,,,,7,pain_01,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_10,80800,d_ex_redash_03_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_2_10,True,,7,6,1.0,,dorothy,,,,7,idle,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_11,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_11,True,,6,6,1.0,,rapunzel_o,,,,7,idle,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_12,80800,d_ex_redash_03_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_2_12,True,,6,6,1.0,,dorothy,,,,7,idle,,3,idle,,1,idle,,5,worry
d_ex_redash_03_2_13,80800,d_ex_redash_03_2,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_2_13,True,,6,6,1.0,,dorothy,,,,7,idle,,3,idle,,1,idle,,5,worry
d_ex_redash_03_2_14,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_14,True,,6,6,1.0,,rapunzel_o,,,,7,idle,,3,think,,1,idle,,5,worry
d_ex_redash_03_2_15,80800,d_ex_redash_03_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_2_15,True,,3,3,1.0,,liliweiss,,,,7,idle,,3,think,,1,idle,,5,idle
d_ex_redash_03_2_16,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_16,True,,7,L_70,1.0,,rapunzel_o,,,,7,no,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_17,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_17,True,,L_70,L_70,1.0,,rapunzel_o,,,,7,no,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_18,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_18,True,,L_70,L_70,1.0,,rapunzel_o,,,,7,idle,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_19,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_19,True,,L_70,L_70,1.0,,rapunzel_o,,,,7,smile,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_20,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_20,True,,L_70,L_700,1.0,,rapunzel_o,,,,7,smile,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_21,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_21,True,,L_700,L_700,1.0,,rapunzel_o,,,,7,idle,,3,idle,,1,idle,,5,idle
d_ex_redash_03_2_22,80800,d_ex_redash_03_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_2_22,True,,L_700,L_700,1.0,,rapunzel_o,,,,7,angry,,3,idle,,1,idle,,5,idle
