id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,play_sound,fade,conversation_id,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_wisdomspring_03_s_1,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_1,False,TechIndoor,1,1,1.0,bgm_story_empathize,,,,,,,,,,
event_wisdomspring_03_s_2,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_2,False,,1,10,1.0,,,,,,,,,,,
event_wisdomspring_03_s_3,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_3,False,,10,10,1.0,,,,,,,,,,,
event_wisdomspring_03_s_4,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_4,False,,10,10,1.0,,,,,,,,,,,
event_wisdomspring_03_s_5,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_5,False,,10,10,1.0,,,,,,,,,,,
event_wisdomspring_03_s_6,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_6,False,,10,10,1.0,,,,,,,,,,,
event_wisdomspring_03_s_7,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_7,False,,10,10,1.0,,,,,,,,,,,
event_wisdomspring_03_s_8,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_8,False,,10,10,1.0,,,,,,,,,,,
event_wisdomspring_03_s_9,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_9,False,,10,10,1.0,,,,,,,,,,,
event_wisdomspring_03_s_10,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_10,False,,10,100,1.0,,,,,,,,,,,
event_wisdomspring_03_s_11,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_11,False,,100,100,1.0,,Blur_High,Vignetting,,,,,,,,
event_wisdomspring_03_s_12,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_12,False,,100,100,1.0,,Blur_High,Vignetting,,,,,,,,
event_wisdomspring_03_s_13,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_13,False,,100,100,1.0,,Blur_High,Vignetting,,,,,,,,
event_wisdomspring_03_s_14,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_14,False,,100,100,1.0,,Blur_High,Vignetting,,,,,,,,
event_wisdomspring_03_s_15,40068,event_wisdomspring_03_s,Narration,Locale_SubScenario:event_wisdomspring_03_s_15,False,,black,black,1.0,,Blur_High,Vignetting,sfx_scn_naturalfootstep,,,,,,,
event_wisdomspring_03_s_16,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_16,False,,black,black,1.0,,Blur_High,Vignetting,,,,,,,,
event_wisdomspring_03_s_17,40068,event_wisdomspring_03_s,Narration,Locale_SubScenario:event_wisdomspring_03_s_17,False,,1,1,1.0,,,,,black,,,,,,
event_wisdomspring_03_s_18,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_18,False,,1,1,1.0,,,,,,,,,,,
event_wisdomspring_03_s_19,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_19,False,,1,1,1.0,,,,,,,,,,,
event_wisdomspring_03_s_20,40068,event_wisdomspring_03_s,Self,Locale_SubScenario:event_wisdomspring_03_s_20,False,,1,1,1.0,,,,,,,,,,,
event_wisdomspring_03_s_21,40068,event_wisdomspring_03_s,Monologue,Locale_SubScenario:event_wisdomspring_03_s_21,False,,1,1,1.0,,,,,,,,,,,
