id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_camera_shake
event_phantomthiefvsdetective_02_e_1,40059,event_phantomthiefvsdetective_02_e,Narration,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_e_1,False,phantom,2,idle,quency_e,12,idle,miranda_c,14,idle,City_d,L_200,L_20,1.0,bgm_story_languor,,,,,,,,,,
event_phantomthiefvsdetective_02_e_2,40059,event_phantomthiefvsdetective_02_e,Narration,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_e_2,False,,2,idle,,12,idle,,14,idle,,L_20,L_20,1.0,,,,,,,,,,,
event_phantomthiefvsdetective_02_e_3,40059,event_phantomthiefvsdetective_02_e,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_02_e_3,True,,2,idle,,12,idle,,14,delight,,S_140,S_140,1.0,,miranda_c,,,,,,,,,
event_phantomthiefvsdetective_02_e_4,40059,event_phantomthiefvsdetective_02_e,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_e_4,True,,2,smile,,12,idle,,14,delight,,L_20,L_20,1.0,,phantom,,,,,,,,,
event_phantomthiefvsdetective_02_e_5,40059,event_phantomthiefvsdetective_02_e,Speech,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_02_e_5,True,,2,smile,,12,think,,14,delight,,L_20,S_120,1.0,,quency_e,,,,,,,,,
event_phantomthiefvsdetective_02_e_6,40059,event_phantomthiefvsdetective_02_e,Speech,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_02_e_6,True,,2,smile,,12,think,,14,delight,,S_120,S_120,1.0,,quency_e,,,,,,,,,
event_phantomthiefvsdetective_02_e_7,40059,event_phantomthiefvsdetective_02_e,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_e_7,True,,2,surprise,,12,think,,14,delight,,S_120,L_20,1.0,,phantom,,,,,,,,,
event_phantomthiefvsdetective_02_e_8,40059,event_phantomthiefvsdetective_02_e,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_e_8,True,,2,shy,,12,think,,14,delight,,L_20,L_20,1.0,,phantom,,,,,,,,,
event_phantomthiefvsdetective_02_e_9,40059,event_phantomthiefvsdetective_02_e,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_e_9,True,,2,shy,,12,think,,14,delight,,L_20,L_20,1.0,,phantom,,,,,,,,,
event_phantomthiefvsdetective_02_e_10,40059,event_phantomthiefvsdetective_02_e,Speech,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_02_e_10,False,,2,shy,,12,think,,14,delight,,L_20,S_120,1.0,,quency_e,,,,,,,,,
event_phantomthiefvsdetective_02_e_11,40059,event_phantomthiefvsdetective_02_e,Self,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_02_e_11,False,,2,shy,,12,think,,14,delight,,S_120,S_120,1.0,,,,,,,,,,,
event_phantomthiefvsdetective_02_e_12,40059,event_phantomthiefvsdetective_02_e,Narration,phantom,Locale_SubScenario:event_phantomthiefvsdetective_02_e_12,False,,2,idle,,12,idle,,14,idle,,L_200,L_20,1.0,,,black,,,,,,,,
