id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
event_miraclesnow2_03_s_1,40004,event_miraclesnow2_03_s,Monologue,Locale_SubScenario:event_miraclesnow2_03_s_1,False,City_d,black,black,1.0,none,,,,,,,,,,,
event_miraclesnow2_03_s_2,40004,event_miraclesnow2_03_s,Monologue,Locale_SubScenario:event_miraclesnow2_03_s_2,False,,black,black,1.0,,,,,,,,,,,,
event_miraclesnow2_03_s_3,40004,event_miraclesnow2_03_s,Speech,Locale_SubScenario:event_miraclesnow2_03_s_3,True,,L_500,L_500,1.0,bgm_story_weare,syuen_op,syuen_op,syuen_op,OP_center,angry,,,,,,
event_miraclesnow2_03_s_4,40004,event_miraclesnow2_03_s,Speech,Locale_SubScenario:event_miraclesnow2_03_s_4,True,,L_500,L_500,1.0,,syuen_op,syuen_op,,OP_center,angry,,,,,,
event_miraclesnow2_03_s_5,40004,event_miraclesnow2_03_s,Self,Locale_SubScenario:event_miraclesnow2_03_s_5,False,,L_500,L_500,1.0,,,,,OP_center,angry,,,,,,
event_miraclesnow2_03_s_6,40004,event_miraclesnow2_03_s,Speech,Locale_SubScenario:event_miraclesnow2_03_s_6,True,,L_500,5,1.0,,syuen_op,syuen_op,,OP_center,angry,,,,,,
event_miraclesnow2_03_s_7,40004,event_miraclesnow2_03_s,Speech,Locale_SubScenario:event_miraclesnow2_03_s_7,True,,5,5,1.0,,syuen_op,syuen_op,,OP_center,think,,,,,,
event_miraclesnow2_03_s_8,40004,event_miraclesnow2_03_s,Speech,Locale_SubScenario:event_miraclesnow2_03_s_8,True,,5,5,1.0,,syuen_op,syuen_op,,OP_center,think,,,,,,
event_miraclesnow2_03_s_9,40004,event_miraclesnow2_03_s,Speech,Locale_SubScenario:event_miraclesnow2_03_s_9,True,,5,5,1.0,,syuen_op,syuen_op,,OP_center,angry,,,,,,
event_miraclesnow2_03_s_10,40004,event_miraclesnow2_03_s,Narration,Locale_SubScenario:event_miraclesnow2_03_s_10,False,,5,5,1.0,,,,,OP_center,angry,syuen_op,sfx_scn_over,,,,
event_miraclesnow2_03_s_11,40004,event_miraclesnow2_03_s,Monologue,Locale_SubScenario:event_miraclesnow2_03_s_11,False,,5,5,1.0,,,,,,,,,,,,
event_miraclesnow2_03_s_12,40004,event_miraclesnow2_03_s,Monologue,Locale_SubScenario:event_miraclesnow2_03_s_12,False,,5,5,1.0,,,,,,,,,,,,
event_miraclesnow2_03_s_13,40004,event_miraclesnow2_03_s,Monologue,Locale_SubScenario:event_miraclesnow2_03_s_13,False,,5,5,1.0,,,,,,,,,,,,
event_miraclesnow2_03_s_14,40004,event_miraclesnow2_03_s,Self,Locale_SubScenario:event_miraclesnow2_03_s_14,False,Backstreet,5,31,1.0,,,,rupee_w,1,sad,,,anne,3,think,black
