id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_filter_01,set_camera_shake
event_overzone2_06_e_1,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_1,False,EventScene_OverZone_07_1,black,black,1.0,bgm_story_promise,,,
event_overzone2_06_e_2,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_2,False,,dorothyshoes_01,dorothyshoes_02,2.0,,,,
event_overzone2_06_e_3,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_3,False,,dorothyshoes_02,dorothyshoes_02,1.0,,,,
event_overzone2_06_e_4,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_4,False,,dorothyshoes_02,dorothyshoes_02,1.0,,,,
event_overzone2_06_e_5,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_5,False,,dorothyshoes_02,dorothyshoes_02,1.0,,,,
event_overzone2_06_e_6,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_6,False,,dorothyshoes_02,dorothyshoes_02,1.0,,,,
event_overzone2_06_e_7,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_7,False,,dorothyshoes_02,dorothyshoes_03,2.0,,,,
event_overzone2_06_e_8,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_8,False,,dorothyshoes_03,dorothyshoes_03,1.0,,,,
event_overzone2_06_e_9,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_9,False,,dorothyshoes_03,dorothyshoes_03,1.0,,,,
event_overzone2_06_e_10,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_10,False,,dorothyshoes_03,dorothyshoes_03,1.0,,,,
event_overzone2_06_e_11,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_11,False,EventScene_OverZone_07,black,black,1.0,,,,
event_overzone2_06_e_12,80304,event_overzone2_06_e,Narration,Narration,Locale_MainScenario:event_overzone2_06_e_12,False,,dorothyshoes2_01,dorothyshoes2_01,1.0,,,,
