id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/2/hide_char_id,fade,characters/1/hide_char_id,characters/0/hide_char_id
event_icedragonsaga1_05_s_1,40064,event_icedragonsaga1_05_s,Self,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_05_s_1,False,guillotine_w_no,3,idle,maiden_w,1,worry,vesti_c,13,idle,SnowTown_d,3,3,1.0,event_bgm_icedragonsaga_anotherhero,,,,,
event_icedragonsaga1_05_s_2,40064,event_icedragonsaga1_05_s,Speech,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_05_s_2,True,,3,shy,,1,worry,,13,idle,,3,XS_30,1.0,,guillotine_w_no,,,,
event_icedragonsaga1_05_s_3,40064,event_icedragonsaga1_05_s,Speech,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_05_s_3,True,,3,shy,,1,worry,,13,idle,,XS_30,XS_30,1.0,,guillotine_w_no,,,,
event_icedragonsaga1_05_s_4,40064,event_icedragonsaga1_05_s,Speech,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_05_s_4,True,,3,shy,,1,worry,,13,idle,,XS_30,XS_30,1.0,,guillotine_w_no,,,,
event_icedragonsaga1_05_s_5,40064,event_icedragonsaga1_05_s,Speech,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_05_s_5,True,,3,shy,,1,worry,,13,idle,,XS_30,XS_30,1.0,,guillotine_w_no,,,,
event_icedragonsaga1_05_s_6,40064,event_icedragonsaga1_05_s,Speech,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_05_s_6,True,,3,worry,,1,worry,,13,idle,,XS_30,XS_30,1.0,,guillotine_w_no,,,,
event_icedragonsaga1_05_s_7,40064,event_icedragonsaga1_05_s,Speech,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_05_s_7,True,,3,worry,,1,worry,,13,idle,,XS_30,XS_30,1.0,,guillotine_w_no,,,,
event_icedragonsaga1_05_s_8,40064,event_icedragonsaga1_05_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga1_05_s_8,True,,3,worry,,1,worry,,13,idle,,XS_30,L_10,1.0,,maiden_w,,,,
event_icedragonsaga1_05_s_9,40064,event_icedragonsaga1_05_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga1_05_s_9,True,,3,worry,,1,worry,,13,idle,,L_10,L_10,1.0,,maiden_w,,,,
event_icedragonsaga1_05_s_10,40064,event_icedragonsaga1_05_s,Speech,vesti_c,Locale_MainScenario:event_icedragonsaga1_05_s_10,True,,3,worry,,1,worry,,13,idle,,L_10,12,1.0,,vesti_c,,,,
