id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,highlight,characters/1/hide_char_id,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id
event_lifeagain_05_e_1,40060,event_lifeagain_05_e,Narration,Narration,Locale_SubScenario:event_lifeagain_05_e_1,False,SimulationRoom,black,black,1.0,none,,,,,,,,,,,,,,,,
event_lifeagain_05_e_2,40060,event_lifeagain_05_e,Monologue,Monologue,Locale_SubScenario:event_lifeagain_05_e_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,
event_lifeagain_05_e_3,40060,event_lifeagain_05_e,Monologue,Monologue,Locale_SubScenario:event_lifeagain_05_e_3,False,,black,black,1.0,,folkwang,9,surprise,epinel,7,pain,rumani,5,think,,,,,,,
event_lifeagain_05_e_4,40060,event_lifeagain_05_e,Speech,folkwang,Locale_SubScenario:event_lifeagain_05_e_4,True,,8,8,1.0,bgm_story_marrybad,,9,surprise,,7,pain,,5,think,folkwang,,,,,,
event_lifeagain_05_e_5,40060,event_lifeagain_05_e,Speech,epinel,Locale_SubScenario:event_lifeagain_05_e_5,True,,8,6,1.0,,,9,surprise,,7,pain,,5,think,epinel,,,,,,
event_lifeagain_05_e_6,40060,event_lifeagain_05_e,Speech,rumani,Locale_SubScenario:event_lifeagain_05_e_6,False,,6,6,1.0,,,9,surprise,,7,pain,,5,think,rumani,,,,,,
event_lifeagain_05_e_7,40060,event_lifeagain_05_e,Monologue,Monologue,Locale_SubScenario:event_lifeagain_05_e_7,False,,black,black,1.0,,,9,surprise,,7,pain,,5,think,rumani,,,,,,
event_lifeagain_05_e_8,40060,event_lifeagain_05_e,Self,Self,Locale_SubScenario:event_lifeagain_05_e_8,False,,8,8,1.0,,,9,surprise,,7,pain,,5,think,rumani,,,,,,
event_lifeagain_05_e_9,40060,event_lifeagain_05_e,Speech,folkwang,Locale_SubScenario:event_lifeagain_05_e_9,True,,8,8,1.0,,,9,idle,,7,pain,,5,think,folkwang,,,,,,
event_lifeagain_05_e_10,40060,event_lifeagain_05_e,Speech,rumani,Locale_SubScenario:event_lifeagain_05_e_10,True,,8,L_50,1.0,,,9,idle,,7,pain,,5,think,rumani,,,,,,
