id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_start_camera,set_end_camera,set_camera_duration,characters/1/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,fade,characters/2/hide_char_id,set_camera_shake,characters/0/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/3/hide_char_id
event_darkhero_01_s_1,40047,event_darkhero_01_s,Monologue,Locale_SubScenario:event_darkhero_01_s_1,False,bgm_story_heynewbie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_darkhero_01_s_2,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_2,True,,exia,exia,exia,13,delight,13,S_130,1.0,,,,,,,,,,,,,,,,,,,,
event_darkhero_01_s_3,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_3,True,,exia,exia,,13,delight,S_130,S_130,1.0,,,,,,,,,,,,,,,,,,,,
event_darkhero_01_s_4,40047,event_darkhero_01_s,Monologue,Locale_SubScenario:event_darkhero_01_s_4,False,,exia,,,13,delight,S_130,S_130,1.0,exia,,,,,,,,,,,,,,,,,,,
event_darkhero_01_s_5,40047,event_darkhero_01_s,Monologue,Locale_SubScenario:event_darkhero_01_s_5,False,,exia,,,,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_darkhero_01_s_6,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_6,False,none,elegg,elegg,exia,13,idle,1,1,1.0,,elegg,1,idle,maiden,15,idle,NikkeRoom,,,,,,,,,,,,
event_darkhero_01_s_7,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_7,False,,exia,exia,,13,idle,1,13,1.0,,,1,idle,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_8,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_8,False,,maiden,maiden,,13,idle,13,15,1.0,,,1,idle,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_9,40047,event_darkhero_01_s,Monologue,Locale_SubScenario:event_darkhero_01_s_9,False,bgm_story_orangepop,maiden,,,13,idle,15,15,1.0,,,1,idle,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_10,40047,event_darkhero_01_s,Self,Locale_SubScenario:event_darkhero_01_s_10,False,,exia,,,13,idle,15,15,1.0,,,1,idle,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_11,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_11,True,,exia,exia,,13,idle,15,14,1.0,,,1,idle,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_12,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_12,True,,exia,exia,,13,idle,14,14,1.0,,,1,idle,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_13,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_13,True,,exia,exia,,13,idle,14,14,1.0,,,1,idle,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_14,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_14,True,,exia,exia,,13,idle,14,14,1.0,,,1,idle,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_15,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_15,True,,exia,exia,,13,idle,14,14,1.0,,,1,idle,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_16,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_16,True,,exia,exia,,13,idle,14,14,1.0,,,1,idle,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_17,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_17,True,,maiden,maiden,,13,idle,14,14,1.0,,,1,idle,,15,delight,,,,,,,,,,,,,
event_darkhero_01_s_18,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_18,True,,maiden,maiden,,13,idle,14,14,1.0,,,1,idle,,15,delight,,,,,,,,,,,,,
event_darkhero_01_s_19,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_19,True,,exia,exia,,13,good,14,14,1.0,,,1,idle,,15,delight,,,,,,,,,,,,,
event_darkhero_01_s_20,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_20,True,,exia,exia,,13,good,14,12,1.0,,,1,idle,,15,delight,,,,,,,,,,,,,
event_darkhero_01_s_21,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_21,True,,exia,exia,,13,good,12,12,1.0,,,1,idle,,15,delight,,,,,,,,,,,,,
event_darkhero_01_s_22,40047,event_darkhero_01_s,Speech,Locale_SubScenario:event_darkhero_01_s_22,True,,elegg,elegg,,13,good,12,S_10,1.0,,,1,delight,,15,delight,,,,,,,,,,,,,
event_darkhero_01_s_23,40047,event_darkhero_01_s,Monologue,Locale_SubScenario:event_darkhero_01_s_23,False,,elegg,,,13,good,S_10,S_10,1.0,,,1,delight,,15,delight,,,,,,,,,,,,,
event_darkhero_01_s_24,40047,event_darkhero_01_s,Monologue,Locale_SubScenario:event_darkhero_01_s_24,False,,elegg,,,13,good,S_10,S_10,1.0,,,1,delight,,15,delight,,,,,,,,,,,,,
event_darkhero_01_s_25,40047,event_darkhero_01_s,Monologue,Locale_SubScenario:event_darkhero_01_s_25,False,,elegg,,,13,good,S_10,S_10,1.0,,,1,delight,,15,delight,,,,,,,,,,,,,
event_darkhero_01_s_26,40047,event_darkhero_01_s,Self,Locale_SubScenario:event_darkhero_01_s_26,False,,,,,13,good,black,black,1.0,,,1,delight,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_27,40047,event_darkhero_01_s,Monologue,Locale_SubScenario:event_darkhero_01_s_27,False,,elegg,,,13,good,black,black,1.0,,,1,delight,,15,idle,,,,,,,,,,,,,
event_darkhero_01_s_28,40047,event_darkhero_01_s,Monologue,Locale_SubScenario:event_darkhero_01_s_28,False,,elegg,,,13,good,black,black,1.0,,,1,delight,,15,idle,,,,,,,,,,,,,
