id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_liarsend_03_1,130004,event_liarsend_03,Narration,Locale_SubScenario:event_liarsend_03_1,False,MaidCafe,black,black,1.0,sfx_scn_toyshopbell,bgm_story_girlstalk,,,,ade,1,idle,soda,3,idle,cocoa,5,idle,
event_liarsend_03_2,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_2,True,,13,31,1.0,,,ade,ade,,,1,idle,,3,idle,,5,idle,
event_liarsend_03_3,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_3,True,,31,31,1.0,,,soda,soda,,,1,idle,,3,idle,,5,idle,
event_liarsend_03_4,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_4,True,,31,53,1.0,,,cocoa,cocoa,,,1,idle,,3,idle,,5,idle,
event_liarsend_03_5,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_5,True,,53,53,1.0,,,cocoa,cocoa,,,1,idle,,3,idle,,5,idle,
event_liarsend_03_6,130004,event_liarsend_03,Self,Locale_SubScenario:event_liarsend_03_6,False,,53,53,1.0,,,cocoa,,,,1,idle,,3,idle,,5,idle,
event_liarsend_03_7,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_7,True,,53,31,1.0,,,ade,ade,,,1,delight,,3,idle,,5,idle,
event_liarsend_03_8,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_8,True,,31,31,1.0,,,soda,soda,,,1,delight,,3,think,,5,idle,
event_liarsend_03_9,130004,event_liarsend_03,Self,Locale_SubScenario:event_liarsend_03_9,False,,31,31,1.0,,,soda,,,,1,delight,,3,think,,5,idle,
event_liarsend_03_10,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_10,True,,31,53,1.0,,,cocoa,cocoa,,,1,delight,,3,think,,5,delight,
event_liarsend_03_11,130004,event_liarsend_03,Self,Locale_SubScenario:event_liarsend_03_11,False,,53,53,1.0,,,cocoa,,,,1,delight,,3,think,,5,delight,
event_liarsend_03_12,130004,event_liarsend_03,Narration,Locale_SubScenario:event_liarsend_03_12,False,,black,black,1.0,,,cocoa,,,,1,delight,,3,think,,5,idle,
event_liarsend_03_13,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_13,True,,3,S_30,1.0,sfx_scn_servingcart,,soda,soda,,,1,idle,,3,idle,,5,idle,
event_liarsend_03_14,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_14,True,,S_30,S_30,1.0,,,soda,soda,,,1,idle,,3,idle,,5,idle,
event_liarsend_03_15,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_15,True,,S_30,XS_50,1.0,,,cocoa,cocoa,,,1,idle,,3,idle,,5,delight,
event_liarsend_03_16,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_16,True,,XS_50,XS_50,1.0,,,cocoa,cocoa,,,1,idle,,3,idle,,5,"expression_0,delight",
event_liarsend_03_17,130004,event_liarsend_03,Narration,Locale_SubScenario:event_liarsend_03_17,False,,black,black,1.0,sfx_scn_ketchup,,cocoa,,,,1,idle,,3,idle,,5,delight,
event_liarsend_03_18,130004,event_liarsend_03,Self,Locale_SubScenario:event_liarsend_03_18,False,,XS_50,XS_50,1.0,,,cocoa,,,,1,idle,,3,idle,,5,delight,
event_liarsend_03_19,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_19,True,,XS_50,5,1.0,,,cocoa,cocoa,,,1,idle,,3,idle,,5,delight,
event_liarsend_03_20,130004,event_liarsend_03,Self,Locale_SubScenario:event_liarsend_03_20,False,,5,5,1.0,,,cocoa,,,,1,idle,,3,idle,,5,delight,
event_liarsend_03_21,130004,event_liarsend_03,Monologue,Locale_SubScenario:event_liarsend_03_21,False,,5,9,2.0,,,cocoa,,,,1,idle,,3,idle,,5,delight,
event_liarsend_03_22,130004,event_liarsend_03,Self,Locale_SubScenario:event_liarsend_03_22,False,,9,9,1.0,,none,cocoa,,,,1,idle,,3,idle,,5,idle,
event_liarsend_03_23,130004,event_liarsend_03,Narration,Locale_SubScenario:event_liarsend_03_23,False,,9,900,1.0,sfx_scn_forkdrop,,cocoa,,Low_2,,1,idle,,3,sad,,5,idle,
event_liarsend_03_24,130004,event_liarsend_03,Monologue,Locale_SubScenario:event_liarsend_03_24,False,,900,900,1.0,,bgm_story_armageddon,cocoa,,,,1,idle,,3,sad,,5,idle,
event_liarsend_03_25,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_25,False,,1,10,0.7,,,ade,ade,,,1,worried,,3,sad,,5,surprised,
event_liarsend_03_26,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_26,False,,3,S_30,0.7,,,soda,soda,,,1,worried,,3,sad,,5,surprised,
event_liarsend_03_27,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_27,True,,S_30,S_30,1.0,,,soda,soda,,,1,angry,,3,sad,,5,surprised,
event_liarsend_03_28,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_28,True,,5,XS_50,0.7,,,cocoa,cocoa,,,1,angry,,3,sad,,5,surprised,
event_liarsend_03_29,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_29,True,,100,100,1.0,,,ade,ade,,,1,angry,,3,sad,,5,surprised,
event_liarsend_03_30,130004,event_liarsend_03,Self,Locale_SubScenario:event_liarsend_03_30,False,,100,100,1.0,,,ade,,,,1,angry,,3,sad,,5,surprised,
event_liarsend_03_31,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_31,True,,100,10,0.7,,,ade,ade,,,1,angry,,3,sad,,5,surprised,
event_liarsend_03_32,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_32,True,,10,31,1.0,,,ade,ade,,,1,angry,,3,sad,,5,surprised,
event_liarsend_03_33,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_33,True,,31,31,1.0,,,soda,soda,,,1,angry,,3,sad,,5,surprised,
event_liarsend_03_34,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_34,True,,31,53,1.0,,,cocoa,cocoa,,,1,angry,,3,sad,,5,sad,
event_liarsend_03_35,130004,event_liarsend_03,Self,Locale_SubScenario:event_liarsend_03_35,False,,53,53,1.0,,,cocoa,,,,1,angry,,3,sad,,5,sad,
event_liarsend_03_36,130004,event_liarsend_03,Speech,Locale_SubScenario:event_liarsend_03_36,True,,3,S_300,1.0,,,soda,soda,,,1,angry,,3,sad,,5,sad,
event_liarsend_03_37,130004,event_liarsend_03,Self,Locale_SubScenario:event_liarsend_03_37,False,,S_300,S_300,1.0,,none,soda,,,,1,angry,,3,sad,,5,sad,
