id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_coinsinrush2_04_e_1,40089,event_coinsinrush2_04_e,Narration,Locale_MainScenario:event_coinsinrush2_04_e_1,False,CoinRushMainHall,black,black,1.0,sfx_scn_nearrunaway,none,,,,,,,,,,,,,,,
event_coinsinrush2_04_e_2,40089,event_coinsinrush2_04_e,Self,Locale_MainScenario:event_coinsinrush2_04_e_2,False,,12,12,1.0,,,,,,,,,,,,,,,,,
event_coinsinrush2_04_e_3,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_3,True,,12,12,1.0,,,exia_b_op,exia_b_op,exia_b_op,OP_leftup,idle,,,,,,,,,,
event_coinsinrush2_04_e_4,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_4,True,,12,12,1.0,,,exia_b_op,exia_b_op,,OP_leftup,idle,,,,,,,,,,
event_coinsinrush2_04_e_5,40089,event_coinsinrush2_04_e,Self,Locale_MainScenario:event_coinsinrush2_04_e_5,False,,12,12,1.0,,,exia_b_op,,,OP_leftup,idle,,,,,,,,,,
event_coinsinrush2_04_e_6,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_6,True,,12,7,1.0,,bgm_story_kneeldownfools,,meaningmaleguest,,OP_leftup,idle,,,,,,,,,,
event_coinsinrush2_04_e_7,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_7,True,,7,7,1.0,,,,dastardlymaleguest,,OP_leftup,idle,,,,,,,,,,
event_coinsinrush2_04_e_8,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_8,True,,7,7,1.0,,,,dastardlymaleguest,,OP_leftup,idle,,,,,,,,,,
event_coinsinrush2_04_e_9,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_9,True,,7,7,1.0,,,,meaningmaleguest,,OP_leftup,idle,,,,,,,,,,
event_coinsinrush2_04_e_10,40089,event_coinsinrush2_04_e,Self,Locale_MainScenario:event_coinsinrush2_04_e_10,False,,7,7,1.0,,,,,,OP_leftup,idle,,,,,,,,,,
event_coinsinrush2_04_e_11,40089,event_coinsinrush2_04_e,Monologue,Locale_MainScenario:event_coinsinrush2_04_e_11,False,,black,black,1.0,,,,,,OP_leftup,idle,exia_b_op,ade_b,1,no,rouge_b,13,think,,,
event_coinsinrush2_04_e_12,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_12,True,,10,10,1.0,,,ade_b,ade_b,,,,,,1,no,,13,think,,,
event_coinsinrush2_04_e_13,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_13,True,,10,130,1.0,,,rouge_b,rouge_b,,,,,,1,surprise,,13,think,,,
event_coinsinrush2_04_e_14,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_14,True,,130,130,1.0,,,rouge_b,rouge_b,,,,,,1,surprise,,13,think,,,
event_coinsinrush2_04_e_15,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_15,True,,130,130,1.0,,,rouge_b,rouge_b,,,,,,1,surprise,,13,think,,,
event_coinsinrush2_04_e_16,40089,event_coinsinrush2_04_e,Self,Locale_MainScenario:event_coinsinrush2_04_e_16,False,,130,130,1.0,,,rouge_b,,,,,,,1,surprise,,13,think,,,
event_coinsinrush2_04_e_17,40089,event_coinsinrush2_04_e,Narration,Locale_MainScenario:event_coinsinrush2_04_e_17,False,,black,black,1.0,sfx_scn_walkmany,none,,,,,,,,1,surprise,,13,think,coinrushsecurity,15,idle
event_coinsinrush2_04_e_18,40089,event_coinsinrush2_04_e,Monologue,Locale_MainScenario:event_coinsinrush2_04_e_18,False,,black,black,1.0,,,,,,,,,,1,surprise,,13,think,,15,idle
event_coinsinrush2_04_e_19,40089,event_coinsinrush2_04_e,Self,Locale_MainScenario:event_coinsinrush2_04_e_19,False,,150,150,1.0,,,,,,,,,,1,surprise,,13,think,,15,idle
event_coinsinrush2_04_e_20,40089,event_coinsinrush2_04_e,Monologue,Locale_MainScenario:event_coinsinrush2_04_e_20,False,,150,150,1.0,,bgm_enemyclose,,,,,,,,1,surprise,,13,think,,15,idle
event_coinsinrush2_04_e_21,40089,event_coinsinrush2_04_e,Monologue,Locale_MainScenario:event_coinsinrush2_04_e_21,False,,150,150,1.0,,,,,,,,,,1,surprise,,13,think,,15,idle
event_coinsinrush2_04_e_22,40089,event_coinsinrush2_04_e,Self,Locale_MainScenario:event_coinsinrush2_04_e_22,False,,150,150,1.0,,,,,,,,,,1,surprise,,13,think,,15,idle
event_coinsinrush2_04_e_23,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_23,True,,150,12,1.0,,,ade_b,ade_b,,,,,,1,surprise,,13,think,,15,idle
event_coinsinrush2_04_e_24,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_24,True,,12,12,1.0,,,rouge_b,rouge_b,,,,,,1,surprise,,13,think,,15,idle
event_coinsinrush2_04_e_25,40089,event_coinsinrush2_04_e,Self,Locale_MainScenario:event_coinsinrush2_04_e_25,False,,12,12,1.0,,,rouge_b,,,,,,,1,idle,,13,think,,15,idle
event_coinsinrush2_04_e_26,40089,event_coinsinrush2_04_e,Self,Locale_MainScenario:event_coinsinrush2_04_e_26,False,,12,12,1.0,,,rouge_b,,,,,,,1,idle,,13,think,,15,idle
event_coinsinrush2_04_e_27,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_27,True,,12,12,1.0,,,rouge_b,rouge_b,,,,,,1,idle,,13,idle,,15,idle
event_coinsinrush2_04_e_28,40089,event_coinsinrush2_04_e,Monologue,Locale_MainScenario:event_coinsinrush2_04_e_28,False,,12,130,1.0,,,rouge_b,,,,,,,1,idle,,13,idle,,15,idle
event_coinsinrush2_04_e_29,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_29,True,,130,130,1.0,,,rouge_b,rouge_b,,,,,,1,idle,,13,delight,,15,idle
event_coinsinrush2_04_e_30,40089,event_coinsinrush2_04_e,Self,Locale_MainScenario:event_coinsinrush2_04_e_30,False,,130,130,1.0,,,rouge_b,,,,,,,1,idle,,13,delight,,15,idle
event_coinsinrush2_04_e_31,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_31,True,,130,130,1.0,,,rouge_b,rouge_b,,,,,,1,idle,,13,think,,15,idle
event_coinsinrush2_04_e_32,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_32,True,,130,130,1.0,,,rouge_b,rouge_b,,,,,,1,idle,,13,think,,15,idle
event_coinsinrush2_04_e_33,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_33,True,,130,130,1.0,,,rouge_b,rouge_b,,,,,,1,idle,,13,think,,15,idle
event_coinsinrush2_04_e_34,40089,event_coinsinrush2_04_e,Self,Locale_MainScenario:event_coinsinrush2_04_e_34,False,,130,130,1.0,,,rouge_b,,,,,,,1,idle,,13,think,,15,idle
event_coinsinrush2_04_e_35,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_35,False,,130,130,1.0,,,rouge_b,rouge_b,,,,,,1,idle,,13,delight,,15,idle
event_coinsinrush2_04_e_36,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_36,True,,130,130,1.0,,,rouge_b,rouge_b,,,,,,1,idle,,13,delight,,15,idle
event_coinsinrush2_04_e_37,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_37,True,,130,130,1.0,,,rouge_b,rouge_b,,,,,,1,idle,,13,think,,15,idle
event_coinsinrush2_04_e_38,40089,event_coinsinrush2_04_e,Speech,Locale_MainScenario:event_coinsinrush2_04_e_38,True,,130,14,1.0,,,rouge_b,rouge_b,,,,,,1,idle,,13,think,,15,idle
