id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient
snowfall_myroom_day11_s_1,80903,snowfall_myroom_day11_s,Narration,Locale_SubScenario:snowfall_myroom_day11_s_1,False,Opacity_60,1,1,1.0,sfx_scn_heavywinddoor,none
snowfall_myroom_day11_s_2,80903,snowfall_myroom_day11_s,Self,Locale_SubScenario:snowfall_myroom_day11_s_2,False,,1,1,1.0,,
snowfall_myroom_day11_s_3,80903,snowfall_myroom_day11_s,Monologue,Locale_SubScenario:snowfall_myroom_day11_s_3,False,,1,1,1.0,,
snowfall_myroom_day11_s_4,80903,snowfall_myroom_day11_s,Monologue,Locale_SubScenario:snowfall_myroom_day11_s_4,False,,1,1,1.0,,
snowfall_myroom_day11_s_5,80903,snowfall_myroom_day11_s,Monologue,Locale_SubScenario:snowfall_myroom_day11_s_5,False,,1,1,1.0,,
snowfall_myroom_day11_s_6,80903,snowfall_myroom_day11_s,Self,Locale_SubScenario:snowfall_myroom_day11_s_6,False,,1,1,1.0,,
snowfall_myroom_day11_s_7,80903,snowfall_myroom_day11_s,Narration,Locale_SubScenario:snowfall_myroom_day11_s_7,False,,1,10,1.0,sfx_scn_emptywind,
snowfall_myroom_day11_s_8,80903,snowfall_myroom_day11_s,Monologue,Locale_SubScenario:snowfall_myroom_day11_s_8,False,,10,10,1.0,,
snowfall_myroom_day11_s_9,80903,snowfall_myroom_day11_s,Monologue,Locale_SubScenario:snowfall_myroom_day11_s_9,False,,10,10,1.0,,
snowfall_myroom_day11_s_10,80903,snowfall_myroom_day11_s,Monologue,Locale_SubScenario:snowfall_myroom_day11_s_10,False,,10,10,1.0,,
snowfall_myroom_day11_s_11,80903,snowfall_myroom_day11_s,Monologue,Locale_SubScenario:snowfall_myroom_day11_s_11,False,,10,10,1.0,,
snowfall_myroom_day11_s_12,80903,snowfall_myroom_day11_s,Monologue,Locale_SubScenario:snowfall_myroom_day11_s_12,False,,10,10,1.0,,
snowfall_myroom_day11_s_13,80903,snowfall_myroom_day11_s,Self,Locale_SubScenario:snowfall_myroom_day11_s_13,False,,10,10,1.0,,
snowfall_myroom_day11_s_14,80903,snowfall_myroom_day11_s,Monologue,Locale_SubScenario:snowfall_myroom_day11_s_14,False,,10,1,1.0,,
snowfall_myroom_day11_s_15,80903,snowfall_myroom_day11_s,Monologue,Locale_SubScenario:snowfall_myroom_day11_s_15,False,,1,1,1.0,,
snowfall_myroom_day11_s_16,80903,snowfall_myroom_day11_s,Narration,Locale_SubScenario:snowfall_myroom_day11_s_16,False,,1,1,1.0,,
