id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_redash2_03_s_1,40032,event_redash2_03_s,Narration,Locale_MainScenario:event_redash2_03_s_1,False,WasteLand_04,black,black,1.0,sfx_scn_explosionhuge,event_bgm_redash_facethat,,,,,oswald_o,1,angry	,redhood,13,angry
event_redash2_03_s_2,40032,event_redash2_03_s,Narration,Locale_MainScenario:event_redash2_03_s_2,False,,black,black,1.0,,,,,,,,1,angry	,,13,angry
event_redash2_03_s_3,40032,event_redash2_03_s,Narration,Locale_MainScenario:event_redash2_03_s_3,False,,13,130,1.0,,,,,,,,1,angry	,,13,angry
event_redash2_03_s_4,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_4,True,,130,130,1.0,,,redhood,redhood,,,,1,angry	,,13,angry
event_redash2_03_s_5,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_5,True,,130,113,1.0,,,oswald_o,oswald_o,,,,1,angry	,,13,angry
event_redash2_03_s_6,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_6,True,,113,113,1.0,,,redhood,redhood,,,,1,angry	,,13,go
event_redash2_03_s_7,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_7,True,,113,113,1.0,,,oswald_o,oswald_o,,,,1,angry	,,13,go
event_redash2_03_s_8,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_8,True,,113,113,1.0,,,redhood,redhood,,,,1,angry	,,13,go
event_redash2_03_s_9,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_9,True,,113,113,1.0,,,oswald_o,oswald_o,,,,1,angry	,,13,go
event_redash2_03_s_10,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_10,True,,113,113,1.0,,,redhood,redhood,,,,1,angry	,,13,go
event_redash2_03_s_11,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_11,True,,113,113,1.0,,,oswald_o,oswald_o,,,,1,angry	,,13,go
event_redash2_03_s_12,40032,event_redash2_03_s,Narration,Locale_MainScenario:event_redash2_03_s_12,False,,113,113,1.0,sfx_scn_explosions,,,,Low_2,,,1,angry	,,13,go
event_redash2_03_s_13,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_13,False,,113,113,1.0,,,oswald_o,oswald_o,,,,1,angry	,,13,go
event_redash2_03_s_14,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_14,True,,113,113,1.0,,,redhood,redhood,,,,1,angry	,,13,angry
event_redash2_03_s_15,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_15,True,,113,113,1.0,,,oswald_o,oswald_o,,,,1,angry	,,13,angry
event_redash2_03_s_16,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_16,True,,113,113,1.0,,,redhood,redhood,,,,1,angry	,,13,angry
event_redash2_03_s_17,40032,event_redash2_03_s,Speech,Locale_MainScenario:event_redash2_03_s_17,False,,113,113,1.0,,,oswald_o,oswald_o,,,,1,angry	,,13,angry
