id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/0/hide_char_id,characters/2/hide_char_id,fade,play_sound,set_camera_shake,characters/3/hide_char_id,set_filter_01,set_filter_02
event_unbreakablesphere1_02_s_1,40075,event_unbreakablesphere1_02_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_02_s_1,True,mihara_b,1,surprise,mori,3,idle,littlemermaid,5,surprise,yuni_n,13,idle,EmptyArea,100,10,1.0,event_bgm_ubsphere_longing,,,,,,,,,
event_unbreakablesphere1_02_s_2,40075,event_unbreakablesphere1_02_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_02_s_2,True,,1,surprise,,3,idle,,5,surprise,,13,idle,,10,10,1.0,,,,,,,,,,
event_unbreakablesphere1_02_s_3,40075,event_unbreakablesphere1_02_s,Narration,mihara_b,,Locale_MainScenario:event_unbreakablesphere1_02_s_3,False,,1,surprise,,3,idle,,5,surprise,,13,idle,,black,black,1.0,,,,,,,,,,
event_unbreakablesphere1_02_s_4,40075,event_unbreakablesphere1_02_s,Narration,mihara_b,,Locale_MainScenario:event_unbreakablesphere1_02_s_4,False,,1,surprise,,3,idle,,5,surprise,,13,idle,,black,black,1.0,,,,,,,,,,
event_unbreakablesphere1_02_s_5,40075,event_unbreakablesphere1_02_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_02_s_5,True,,1,think,,3,idle,,5,surprise,,13,idle,,10,10,1.0,,,,,,,,,,
event_unbreakablesphere1_02_s_6,40075,event_unbreakablesphere1_02_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_02_s_6,True,,1,think,,3,idle,,5,surprise,,13,idle,,10,10,1.0,,,,,,,,,,
event_unbreakablesphere1_02_s_7,40075,event_unbreakablesphere1_02_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_02_s_7,True,,1,think,,3,idle,,5,surprise,,13,idle,,10,100,1.0,,,,,,,,,,
event_unbreakablesphere1_02_s_8,40075,event_unbreakablesphere1_02_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_02_s_8,True,,1,think,,3,idle,,5,surprise,,13,idle,,L_500,L_500,1.0,,,,,,,,,,
event_unbreakablesphere1_02_s_9,40075,event_unbreakablesphere1_02_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_02_s_9,True,,1,think,,3,idle,,5,surprise,,13,idle,,L_500,L_500,1.0,,,,,,,,,,
event_unbreakablesphere1_02_s_10,40075,event_unbreakablesphere1_02_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_02_s_10,True,,1,think,,3,idle,,5,surprise,,13,idle,,L_500,L_500,1.0,,,,,,,,,,
