id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_redash_06_1_1,80800,d_ex_redash_06_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_1_1,False,Office,black,black,1.0,none,,,,,rapunzel_o,1,idle,,,
d_ex_redash_06_1_2,80800,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_2,True,,1,1,1.0,bgm_story_kneeldownfools,rapunzel_o,,,,,1,idle,,,
d_ex_redash_06_1_3,80800,d_ex_redash_06_1,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_1_3,False,,1,1,1.0,,,,,,,1,idle,,,
d_ex_redash_06_1_4,80800,d_ex_redash_06_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_1_4,False,,1,L_10,1.0,,,sfx_scn_boxopen,,,,1,idle,,,
d_ex_redash_06_1_5,80800,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_5,True,,L_10,L_10,1.0,,rapunzel_o,,,,,1,surprise,,,
d_ex_redash_06_1_6,80800,d_ex_redash_06_1,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_1_6,False,,L_10,L_10,1.0,,,,,,,1,surprise,,,
d_ex_redash_06_1_7,80800,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_7,True,,L_10,L_10,1.0,,rapunzel_o,,,,,1,surprise,,,
d_ex_redash_06_1_8,80800,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_8,True,,L_10,L_10,1.0,,rapunzel_o,,,,,1,idle,,,
d_ex_redash_06_1_9,80800,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_9,True,,L_10,1,1.0,,rapunzel_o,,,,,1,smile,,,
d_ex_redash_06_1_10,80800,d_ex_redash_06_1,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_1_10,False,,1,1,1.0,,,,,,,1,idle,,,
d_ex_redash_06_1_11,80800,d_ex_redash_06_1,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_1_11,False,,1,1,1.0,,,,,,,1,idle,,,
d_ex_redash_06_1_12,80800,d_ex_redash_06_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_1_12,False,,1,1,1.0,,,,,,,1,idle,,,
d_ex_redash_06_1_13,80800,d_ex_redash_06_1,Speech,tvvoice,Locale_SuddenStory:d_ex_redash_06_1_13,False,,17,170,0.3,,tvvoice,,Low_2,Blur_High,,1,idle,,,
d_ex_redash_06_1_14,80800,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_14,False,,1,L_10,0.7,,rapunzel_o,,,,,1,surprise,,,
d_ex_redash_06_1_15,80800,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_15,True,,L_10,L_10,1.0,,rapunzel_o,,,,,1,surprise,,,
