id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,play_sound
event_foolburstday_03_1,130007,event_foolburstday_03,Monologue,Locale_SubScenario:event_foolburstday_03_1,False,Jail,black,black,1.0,none,,,,,,,,,,,,,,,,,,
event_foolburstday_03_2,130007,event_foolburstday_03,Monologue,Locale_SubScenario:event_foolburstday_03_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,
event_foolburstday_03_3,130007,event_foolburstday_03,Monologue,Locale_SubScenario:event_foolburstday_03_3,False,,5,1,1.5,,mechashifty,1,idle,poli,13,angry,,,,,,,,,,,,
event_foolburstday_03_4,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_4,True,,1,113,1.0,bgm_story_tepidappleade,,1,idle,,13,angry,poli,poli,,,,,,,,,,
event_foolburstday_03_5,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_5,True,,113,113,1.0,,,1,idle,,13,angry,poli,poli,,,,,,,,,,
event_foolburstday_03_6,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_6,True,,113,113,1.0,,,1,idle,,13,angry,poli,poli,,,,,,,,,,
event_foolburstday_03_7,130007,event_foolburstday_03,Self,Locale_SubScenario:event_foolburstday_03_7,False,,113,113,1.0,,,1,idle,,13,angry,poli,,,,,,,,,,,
event_foolburstday_03_8,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_8,True,,113,113,1.0,,,1,idle,,13,sad,poli,poli,,,,,,,,,,
event_foolburstday_03_9,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_9,True,,113,113,1.0,,,1,idle,,13,sad,poli,poli,,,,,,,,,,
event_foolburstday_03_10,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_10,True,,113,113,1.0,,,1,idle,,13,sad,poli,poli,,,,,,,,,,
event_foolburstday_03_11,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_11,True,,113,113,1.0,,,1,idle,,13,idle,poli,poli,,,,,,,,,,
event_foolburstday_03_12,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_12,True,,113,113,1.0,,,1,idle,,13,idle,mechashifty,mechashifty,,,,,,,,,,
event_foolburstday_03_13,130007,event_foolburstday_03,Self,Locale_SubScenario:event_foolburstday_03_13,False,,113,113,1.0,,,1,idle,,13,idle,mechashifty,,,,,,,,,,,
event_foolburstday_03_14,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_14,True,,113,113,1.0,,,1,idle,,13,idle,mechashifty,mechashifty,,,,,,,,,,
event_foolburstday_03_15,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_15,True,,113,113,1.0,,,1,idle,,13,surprise,poli,poli,,,,,,,,,,
event_foolburstday_03_16,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_16,True,,113,113,1.0,,,1,idle,,13,surprise,poli,poli,,,,,,,,,,
event_foolburstday_03_17,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_17,True,,113,113,1.0,,,1,idle,,13,surprise,mechashifty,mechashifty,,,,,,,,,,
event_foolburstday_03_18,130007,event_foolburstday_03,Self,Locale_SubScenario:event_foolburstday_03_18,False,,113,1,1.0,,,1,idle,,13,surprise,mechashifty,,,,,,,,,,,
event_foolburstday_03_19,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_19,True,,1,S_10,1.0,,,1,idle,,13,idle,mechashifty,mechashifty,,,,,,,,,,
event_foolburstday_03_20,130007,event_foolburstday_03,Self,Locale_SubScenario:event_foolburstday_03_20,False,,S_10,S_10,1.0,,,1,idle,,13,idle,mechashifty,,,,,,,,,,,
event_foolburstday_03_21,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_21,True,,S_10,113,1.0,,,1,idle,,13,idle,mechashifty,mechashifty,,,,,,,,,,
event_foolburstday_03_22,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_22,True,,113,113,1.0,,,1,idle,,13,idle,poli,poli,,,,,,,,,,
event_foolburstday_03_23,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_23,True,,113,53,1.5,,,1,idle,,13,idle,mechashifty,mechashifty,miranda,3,idle,drake,5,no,,,,
event_foolburstday_03_24,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_24,False,,53,53,1.0,,,1,idle,,13,idle,drake,drake,,3,idle,,5,no,,,,
event_foolburstday_03_25,130007,event_foolburstday_03,Speech,Locale_SubScenario:event_foolburstday_03_25,False,,53,53,1.0,,,1,idle,,13,idle,miranda,miranda,,3,idle,,5,no,,,,
