id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/2/hide_char_id,fade
event_redash2_04_s_1,40032,event_redash2_04_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_04_s_1,True,liliweiss,3,think,commander,5,no,dorothy,1,worry,hongryeon_o,13,idle,snowwhite_o,15,sad,rapunzel_o,17,think,BriefingRoom,10,10,1.0,event_bgm_redash_ashsmoke,,,,,
event_redash2_04_s_2,40032,event_redash2_04_s,Speech,commander,commander,Locale_MainScenario:event_redash2_04_s_2,True,,3,think,,5,no,,1,worry,,13,idle,,15,sad,,17,think,,L_50,L_50,1.0,,,,,,
event_redash2_04_s_3,40032,event_redash2_04_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_04_s_3,True,,3,think,,5,no,,1,worry,,13,idle,,15,sad,,17,think,,10,10,1.0,,,,,,
event_redash2_04_s_4,40032,event_redash2_04_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_04_s_4,True,,3,think,,5,no,,1,worry,,13,idle,,15,sad,,17,think,,10,31,1.0,,,,,,
event_redash2_04_s_5,40032,event_redash2_04_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_04_s_5,True,,3,think,,5,no,,1,think,,13,idle,,15,sad,,17,think,,31,31,1.0,,,,,,
event_redash2_04_s_6,40032,event_redash2_04_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_04_s_6,True,,3,think,,5,no,,1,think,,13,idle,,15,sad,,17,think,,31,31,1.0,,,,,,
event_redash2_04_s_7,40032,event_redash2_04_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_04_s_7,True,,3,think,,5,no,,1,think,,13,idle,,15,sad,,17,think,,31,30,1.0,,,,,,
event_redash2_04_s_8,40032,event_redash2_04_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_04_s_8,True,,3,think,,5,no,,1,think,,13,idle,,15,sad,,17,think,,30,30,1.0,,,,,,
event_redash2_04_s_9,40032,event_redash2_04_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_04_s_9,True,,3,think,,5,no,,1,think,,13,idle,,15,sad,,17,think,,30,30,1.0,,,,,,
event_redash2_04_s_10,40032,event_redash2_04_s,Speech,commander,commander,Locale_MainScenario:event_redash2_04_s_10,True,,3,think,,5,no,,1,think,,13,idle,,15,sad,,17,think,,30,L_50,1.0,,,,,,
event_redash2_04_s_11,40032,event_redash2_04_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash2_04_s_11,True,,3,think,,5,no,,1,think,,13,idle,,15,sad,,17,think,,L_170,L_170,1.0,,,,,,
event_redash2_04_s_12,40032,event_redash2_04_s,Speech,commander,commander,Locale_MainScenario:event_redash2_04_s_12,True,,3,think,,5,no,,1,think,,13,idle,,15,sad,,17,think,,L_50,L_50,1.0,,,,,,
event_redash2_04_s_13,40032,event_redash2_04_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_04_s_13,True,,3,idle,,5,no,,1,think,,13,idle,,15,sad,,17,think,,L_50,30,1.0,,,,,,
event_redash2_04_s_14,40032,event_redash2_04_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_04_s_14,True,,3,idle,,5,no,,1,think,,13,idle,,15,sad,,17,think,,30,30,1.0,,,,,,
event_redash2_04_s_15,40032,event_redash2_04_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_04_s_15,False,,3,idle,,5,no,,1,think,,13,idle,,15,sad,,17,think,,30,31,1.0,,,,,,
event_redash2_04_s_16,40032,event_redash2_04_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_04_s_16,True,,3,idle,,5,no,,1,think,,13,idle,,15,sad,,17,think,,31,31,1.0,,,,,,
event_redash2_04_s_17,40032,event_redash2_04_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_04_s_17,True,,3,idle,,5,no,,1,worry,,13,idle,,15,sad,,17,think,,31,31,1.0,,,,,,
event_redash2_04_s_18,40032,event_redash2_04_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_04_s_18,False,,3,idle,,5,no,,1,worry,,13,idle,,15,sad,,17,think,,31,31,1.0,,,,,,
