id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,characters/0/hide_char_id,characters/1/hide_char_id,fade
event_ltk_01_s_1,40012,event_ltk_01_s,Monologue,Monologue,Locale_SubScenario:event_ltk_01_s_1,False,CommanderRoom,2,2,1.0,bgm_story_breakaway,,,,,,,,,,,
event_ltk_01_s_2,40012,event_ltk_01_s,Monologue,Monologue,Locale_SubScenario:event_ltk_01_s_2,False,,2,2,1.0,,,,,,,,,,,,
event_ltk_01_s_3,40012,event_ltk_01_s,Monologue,Monologue,Locale_SubScenario:event_ltk_01_s_3,False,,2,2,1.0,,,,,,,,,,,,
event_ltk_01_s_4,40012,event_ltk_01_s,Narration,Narration,Locale_SubScenario:event_ltk_01_s_4,False,ShowerRoom,2,1,1.0,,sfx_scn_autodooropen,,,,,,,,,,
event_ltk_01_s_5,40012,event_ltk_01_s,Monologue,Monologue,Locale_SubScenario:event_ltk_01_s_5,False,,1,1,1.0,,,d,2,idle,k,12,idle,,,,
event_ltk_01_s_6,40012,event_ltk_01_s,Speech,d,Locale_SubScenario:event_ltk_01_s_6,True,,1,1,1.0,,,,2,idle,,12,idle,d,,,
event_ltk_01_s_7,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_7,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
event_ltk_01_s_8,40012,event_ltk_01_s,Self,Self,Locale_SubScenario:event_ltk_01_s_8,False,,1,1,1.0,,,,2,idle,,12,idle,,,,
event_ltk_01_s_9,40012,event_ltk_01_s,Self,Self,Locale_SubScenario:event_ltk_01_s_9,False,,1,1,1.0,,,,2,idle,,12,idle,,,,
event_ltk_01_s_10,40012,event_ltk_01_s,Narration,Narration,Locale_SubScenario:event_ltk_01_s_10,False,CommanderRoom,1,2,1.0,,sfx_scn_autodooropen,,2,idle,,12,idle,,d,k,
event_ltk_01_s_11,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_11,True,,2,2,1.0,,,,,,,,,k,,,
event_ltk_01_s_12,40012,event_ltk_01_s,Self,Self,Locale_SubScenario:event_ltk_01_s_12,False,,2,2,1.0,,,,,,,,,,,,
event_ltk_01_s_13,40012,event_ltk_01_s,Narration,Narration,Locale_SubScenario:event_ltk_01_s_13,False,ShowerRoom,2,1,1.0,,sfx_scn_autodooropen,d,2,idle,k,12,idle,,,,
event_ltk_01_s_14,40012,event_ltk_01_s,Speech,d,Locale_SubScenario:event_ltk_01_s_14,True,,1,1,1.0,,,,2,idle,,12,idle,d,,,
event_ltk_01_s_15,40012,event_ltk_01_s,Speech,k,Locale_SubScenario:event_ltk_01_s_15,True,,1,1,1.0,,,,2,idle,,12,idle,k,,,
