id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_ce006_3_02_s_1,40080,event_ce006_3_02_s,Narration,bunkerchild,Locale_MainScenario:event_ce006_3_02_s_1,False,bunkerofartist,black,black,1.0,sfx_scn_memorynoise,collab_bgm_sb_camp_04,Grey,,,,,,,,
event_ce006_3_02_s_2,40080,event_ce006_3_02_s,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_02_s_2,True,,1,1,1.0,,,Grey,bunkerchild,,,,,,,
event_ce006_3_02_s_3,40080,event_ce006_3_02_s,Speech,middlehermin,Locale_MainScenario:event_ce006_3_02_s_3,True,,1,1,1.0,,,Grey,middlehermin,,,,,,,
event_ce006_3_02_s_4,40080,event_ce006_3_02_s,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_02_s_4,True,,1,1,1.0,,,Grey,bunkerchild,,,,,,,
event_ce006_3_02_s_5,40080,event_ce006_3_02_s,Speech,middlehermin,Locale_MainScenario:event_ce006_3_02_s_5,True,,1,1,1.0,,,Grey,middlehermin,,,,,,,
event_ce006_3_02_s_6,40080,event_ce006_3_02_s,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_02_s_6,True,,1,1,1.0,,,Grey,bunkerchild,,,,,,,
event_ce006_3_02_s_7,40080,event_ce006_3_02_s,Speech,middlehermin,Locale_MainScenario:event_ce006_3_02_s_7,True,,1,1,1.0,,,Grey,middlehermin,,,,,,,
event_ce006_3_02_s_8,40080,event_ce006_3_02_s,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_02_s_8,True,,1,1,1.0,,,Grey,bunkerchild,,,,,,,
event_ce006_3_02_s_9,40080,event_ce006_3_02_s,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_02_s_9,True,,1,1,1.0,,,Grey,bunkerchild,,,,,,,
event_ce006_3_02_s_10,40080,event_ce006_3_02_s,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_02_s_10,True,,1,1,1.0,,,Grey,bunkerchild,,,,,,,
