id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/hide_char_id
event_unbreakablesphere1_03_s_1,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_1,True,littlemermaid,1,delight,mori,3,surprise,BubbleMaker,L_100,L_10,1.0,event_bgm_ubsphere_longing,,
event_unbreakablesphere1_03_s_2,40075,event_unbreakablesphere1_03_s,Narration,mori,,Locale_MainScenario:event_unbreakablesphere1_03_s_2,False,,1,delight,,3,surprise,,L_10,31,1.0,,,
event_unbreakablesphere1_03_s_3,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_3,True,,1,delight,,3,surprise,,31,31,1.0,,,
event_unbreakablesphere1_03_s_4,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_4,True,,1,delight,,3,surprise,,31,31,1.0,,,
event_unbreakablesphere1_03_s_5,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_5,True,,1,delight,,3,surprise,,31,31,1.0,,,
event_unbreakablesphere1_03_s_6,40075,event_unbreakablesphere1_03_s,Narration,mori,,Locale_MainScenario:event_unbreakablesphere1_03_s_6,False,,1,delight,,3,surprise,,31,31,1.0,,sfx_scn_magicbubble,
event_unbreakablesphere1_03_s_7,40075,event_unbreakablesphere1_03_s,Narration,mori,,Locale_MainScenario:event_unbreakablesphere1_03_s_7,False,,1,delight,,3,surprise,,31,31,1.0,,,
event_unbreakablesphere1_03_s_8,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_8,True,,1,delight,,3,surprise,,31,31,1.0,,,
event_unbreakablesphere1_03_s_9,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_9,True,,1,delight,,3,surprise,,31,31,1.0,,,
event_unbreakablesphere1_03_s_10,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_10,True,,1,delight,,3,shy_01,,S_30,S_300,0.5,,,
event_unbreakablesphere1_03_s_11,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_11,True,,1,delight,,3,shy_01,,S_300,S_300,1.0,,,
event_unbreakablesphere1_03_s_12,40075,event_unbreakablesphere1_03_s,Narration,mori,,Locale_MainScenario:event_unbreakablesphere1_03_s_12,False,,1,delight,,3,shy_01,,S_300,S_300,1.0,,sfx_scn_magicbubble,
event_unbreakablesphere1_03_s_13,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_13,True,,1,delight,,3,shy_01,,S_300,S_30,1.0,,,
event_unbreakablesphere1_03_s_14,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_14,True,,1,delight,,3,shy_01,,S_30,31,1.0,,,
event_unbreakablesphere1_03_s_15,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_15,True,,1,delight,,3,idle,,31,31,1.0,,,
event_unbreakablesphere1_03_s_16,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_16,True,,1,delight,,3,idle,,31,31,1.0,,,
event_unbreakablesphere1_03_s_17,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_17,True,,1,delight,,3,idle,,31,31,1.0,,,
event_unbreakablesphere1_03_s_18,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_18,True,,1,delight,,3,idle,,31,31,1.0,,,
event_unbreakablesphere1_03_s_19,40075,event_unbreakablesphere1_03_s,Narration,littlemermaid,,Locale_MainScenario:event_unbreakablesphere1_03_s_19,False,,1,surprise,,3,idle,,31,31,1.0,,,
event_unbreakablesphere1_03_s_20,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_20,True,,1,surprise,,3,idle,,31,31,1.0,,,
event_unbreakablesphere1_03_s_21,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_21,True,,1,think,,3,idle,,31,31,1.0,,,
event_unbreakablesphere1_03_s_22,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_22,True,,1,think,,3,think,,31,31,1.0,,,
event_unbreakablesphere1_03_s_23,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_23,True,,1,think,,3,think,,31,31,1.0,,,
event_unbreakablesphere1_03_s_24,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_24,True,,1,delight,,3,think,,31,31,1.0,,,
event_unbreakablesphere1_03_s_25,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_25,True,,1,delight,,3,think,,31,31,1.0,,,
event_unbreakablesphere1_03_s_26,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_26,True,,1,delight,,3,think,,31,31,1.0,,,
event_unbreakablesphere1_03_s_27,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_27,True,,1,delight,,3,think,,31,31,1.0,,,
event_unbreakablesphere1_03_s_28,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_28,True,,1,delight,,3,think,,31,31,1.0,,,
event_unbreakablesphere1_03_s_29,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_29,True,,1,think,,3,think,,31,L_10,1.0,,,
event_unbreakablesphere1_03_s_30,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_30,False,,1,think,,3,think,,L_10,L_10,1.0,,,
event_unbreakablesphere1_03_s_31,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_31,True,,1,think,,3,think,,L_10,L_10,1.0,,,
event_unbreakablesphere1_03_s_32,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_32,True,,1,think,,3,think,,L_10,L_10,1.0,,,
event_unbreakablesphere1_03_s_33,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_33,True,,1,delight,,3,think,,L_10,L_10,1.0,,,
event_unbreakablesphere1_03_s_34,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_34,True,,1,delight,,3,think,,L_10,31,1.0,,,
event_unbreakablesphere1_03_s_35,40075,event_unbreakablesphere1_03_s,Narration,mori,,Locale_MainScenario:event_unbreakablesphere1_03_s_35,False,,1,delight,,3,think,,31,31,1.0,,,
event_unbreakablesphere1_03_s_36,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_36,True,,1,delight,,3,think,,31,31,1.0,,,
event_unbreakablesphere1_03_s_37,40075,event_unbreakablesphere1_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_s_37,True,,1,delight,,3,think,,31,31,1.0,,,
event_unbreakablesphere1_03_s_38,40075,event_unbreakablesphere1_03_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_03_s_38,True,,1,delight,,3,think,,31,31,1.0,,,
