id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_goldencoinrush2_04_e_1,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_1,True,mary_b,13,idle,soda_b,1,void,alice_b,3,sad,Hospital,XS_130,XS_130,1.0,bgm_story_backtonormal,,,,,,
event_goldencoinrush2_04_e_2,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_2,True,,13,idle,,1,void,,3,sad,,XS_130,XS_130,1.0,,,,,,,
event_goldencoinrush2_04_e_3,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_3,True,,13,idle,,1,void,,3,sad,,XS_130,XS_130,1.0,,,,,,,
event_goldencoinrush2_04_e_4,40049,event_goldencoinrush2_04_e,Self,mary_b,,Locale_MainScenario:event_goldencoinrush2_04_e_4,False,,13,idle,,1,void,,3,sad,,XS_130,XS_130,1.0,,,,,,,
event_goldencoinrush2_04_e_5,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_5,True,,13,idle,,1,void,,3,sad,,XS_130,XS_130,1.0,,,,,,,
event_goldencoinrush2_04_e_6,40049,event_goldencoinrush2_04_e,Self,mary_b,,Locale_MainScenario:event_goldencoinrush2_04_e_6,False,,13,idle,,1,void,,3,sad,,XS_130,12,1.0,,,,,,,
event_goldencoinrush2_04_e_7,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_7,True,,13,idle,,1,void,,3,sad,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_8,40049,event_goldencoinrush2_04_e,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush2_04_e_8,True,,13,idle,,1,void,,3,sad,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_9,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_9,True,,13,idle,,1,serious,,3,sad,,12,12,1.0,,,,,,,
event_goldencoinrush2_04_e_10,40049,event_goldencoinrush2_04_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_e_10,True,,13,idle,,1,serious,,3,sad,,12,12,1.0,,,,,,,
