id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,play_sound,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_lastkingdom1_01_s_1,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_1,True,kilo,1,idle,talos,5,idle,chime,13,idle,crown,15,idle,CrownCastleFrontYard_d,XXS_1300,XXS_130,1.0,event_bgm_lastkingdom_morningstar,,,,,,,,
event_lastkingdom1_01_s_2,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_2,True,,1,idle,,5,idle,,13,idle,,15,idle,,XXS_130,XXS_130,1.0,,,,,,,,,
event_lastkingdom1_01_s_3,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_3,True,,1,idle,,5,idle,,13,idle,,15,idle,,XXS_130,113,1.0,,,,,,,,,
event_lastkingdom1_01_s_4,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_4,True,,1,idle,,5,idle,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,
event_lastkingdom1_01_s_5,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_5,True,,1,idle,,5,idle,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,
event_lastkingdom1_01_s_6,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_6,True,,1,idle,,5,idle,,13,idle,,15,idle,,150,150,1.0,,,,,,,,,
event_lastkingdom1_01_s_7,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_7,True,,1,idle,,5,idle,,13,idle,,15,idle,,150,150,1.0,,,,,,,,,
event_lastkingdom1_01_s_8,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_8,True,,1,idle,,5,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,
event_lastkingdom1_01_s_9,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_9,True,,1,idle,,5,idle,,13,idle,,15,delight,,150,150,1.0,,,,,,,,,
event_lastkingdom1_01_s_10,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_10,True,,1,smile,,5,idle,,13,idle,,15,delight,,S_10,S_10,1.0,,,,,,,,,
event_lastkingdom1_01_s_11,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_11,True,,1,smile,,5,idle,,13,idle,,15,idle,,S_10,113,1.0,,,,,,,,,
event_lastkingdom1_01_s_12,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_12,True,,1,smile,,5,idle,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,
event_lastkingdom1_01_s_13,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_13,True,,1,idle,,5,idle,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,
event_lastkingdom1_01_s_14,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_14,True,,1,idle,,5,idle,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,
event_lastkingdom1_01_s_15,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_15,True,,1,idle,,5,idle,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,
event_lastkingdom1_01_s_16,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_16,True,,1,idle,,5,idle,,13,idle,,15,idle,,113,1315,1.0,,,,,,,,,
event_lastkingdom1_01_s_17,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_17,True,,1,idle,,5,idle,,13,idle,,15,idle,,1315,1315,1.0,,,,,,,,,
event_lastkingdom1_01_s_18,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_18,True,,1,idle,,5,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,
event_lastkingdom1_01_s_19,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_19,True,,1,smile,,5,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,
event_lastkingdom1_01_s_20,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_20,True,,1,smile,,5,idle,,13,idle,,15,idle,,S_10,S_100,1.0,,,,,,,,,
event_lastkingdom1_01_s_21,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_21,True,,1,smile,,5,idle,,13,idle,,15,idle,,1500,1500,1.0,,,,,,,,,
event_lastkingdom1_01_s_22,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_22,True,,1,smile,,5,idle,,13,idle,,15,idle,,S_100,S_100,1.0,,,,,,,,,
event_lastkingdom1_01_s_23,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_23,True,,1,smile,,5,idle,,13,idle,,15,idle,,1500,1500,1.0,,,,,,,,,
event_lastkingdom1_01_s_24,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_24,True,,1,smile,,5,idle,,13,delight,,15,idle,,1500,XXS_1300,1.0,,,,,,,,,
event_lastkingdom1_01_s_25,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_25,True,,1,idle,,5,idle,,13,delight,,15,idle,,XXS_1300,113,1.0,,,,,,,,,
event_lastkingdom1_01_s_26,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_26,True,,1,idle,,5,idle,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,
event_lastkingdom1_01_s_27,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_27,True,,1,idle,,5,idle,,13,idle,,15,idle,,150,150,1.0,,,,,,,,,
event_lastkingdom1_01_s_28,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_28,True,,1,idle,,5,idle,,13,idle,,15,idle,,150,150,1.0,,,,,,,,,
event_lastkingdom1_01_s_29,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_29,True,,1,idle,,5,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,
event_lastkingdom1_01_s_30,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_30,True,,1,idle,,5,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,
event_lastkingdom1_01_s_31,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_31,False,,1,idle,,5,idle,,13,void,,15,idle,,S_10,XXS_130,1.0,,,,,,,,,
event_lastkingdom1_01_s_32,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_32,True,,1,idle,,5,idle,,13,void,,15,idle,,XXS_130,150,1.0,,,,,,,,,
event_lastkingdom1_01_s_33,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_33,True,,1,idle,,5,idle,,13,void,,15,idle,,150,150,1.0,,,,,,,,,
event_lastkingdom1_01_s_34,40045,event_lastkingdom1_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_s_34,True,,1,idle,,5,idle,,13,void,,15,idle,,150,150,1.0,,,,,,,,,
event_lastkingdom1_01_s_35,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_35,True,,1,delight,,5,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,
event_lastkingdom1_01_s_36,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_36,True,,1,delight,,5,idle,,13,idle,,15,idle,,S_10,S_100,1.0,,,,,,,,,
event_lastkingdom1_01_s_37,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_37,True,,1,delight,,5,idle,,13,shy,,15,idle,,S_100,XXS_1300,1.0,,,,,,,,,
event_lastkingdom1_01_s_38,40045,event_lastkingdom1_01_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom1_01_s_38,True,,1,delight,,5,idle,,13,shy,,15,idle,,XXS_1300,XXS_1300,1.0,,,,,,,,,
event_lastkingdom1_01_s_39,40045,event_lastkingdom1_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_s_39,True,,1,delight,,5,idle,,13,shy,,15,idle,,S_100,S_100,1.0,none,,,,,,,,
event_lastkingdom1_01_s_40,40045,event_lastkingdom1_01_s,Narration,kilo,,Locale_MainScenario:event_lastkingdom1_01_s_40,False,,1,delight,,5,idle,,13,shy,,15,idle,,black,black,1.0,,,,,,,,,
event_lastkingdom1_01_s_41,40045,event_lastkingdom1_01_s,Narration,kilo,,Locale_MainScenario:event_lastkingdom1_01_s_41,False,,1,surprise,,3,idle,,13,idle,,15,idle,,black,black,1.0,,kilo,chime,crown,sfx_scn_mechhatchclose,,,,
event_lastkingdom1_01_s_42,40045,event_lastkingdom1_01_s,Speech,kilo_op_c,kilo_op_c,Locale_MainScenario:event_lastkingdom1_01_s_42,True,,,,,3,idle,,,,,,,,3,3,1.0,bgm_story_boing,,,,,kilo_op_c,OP_kilo,surprise,
event_lastkingdom1_01_s_43,40045,event_lastkingdom1_01_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom1_01_s_43,True,,,,,3,idle,,,,,,,,3,3,1.0,,,,,sfx_scn_mechawakeup,,OP_kilo,surprise,
event_lastkingdom1_01_s_44,40045,event_lastkingdom1_01_s,Speech,kilo_op_c,kilo_op_c,Locale_MainScenario:event_lastkingdom1_01_s_44,True,,,,,3,idle,,,,,,,,3,3,1.0,,,,,,,OP_kilo,surprise,
event_lastkingdom1_01_s_45,40045,event_lastkingdom1_01_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom1_01_s_45,True,,,,,3,idle,,,,,,,,3,3,1.0,,,,,,,OP_kilo,surprise,
event_lastkingdom1_01_s_46,40045,event_lastkingdom1_01_s,Speech,kilo_op_c,kilo_op_c,Locale_MainScenario:event_lastkingdom1_01_s_46,True,,,,,3,idle,,,,,,,,3,30,1.0,,,,,,,OP_kilo,surprise,
event_lastkingdom1_01_s_47,40045,event_lastkingdom1_01_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom1_01_s_47,True,,,,,3,idle,,,,,,,,30,30,1.0,,,,,,,OP_kilo,surprise,
event_lastkingdom1_01_s_48,40045,event_lastkingdom1_01_s,Speech,kilo_op_c,kilo_op_c,Locale_MainScenario:event_lastkingdom1_01_s_48,True,,,,,3,idle,,,,,,,,30,30,1.0,,,,,,,OP_kilo,surprise,
event_lastkingdom1_01_s_49,40045,event_lastkingdom1_01_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom1_01_s_49,True,,,,,3,idle,,,,,,,,30,30,1.0,,,,,,,OP_kilo,surprise,
event_lastkingdom1_01_s_50,40045,event_lastkingdom1_01_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom1_01_s_50,True,,,,,3,idle,,,,,,,,30,30,1.0,,,,,,,OP_kilo,surprise,
event_lastkingdom1_01_s_51,40045,event_lastkingdom1_01_s,Speech,kilo_op_c,kilo_op_c,Locale_MainScenario:event_lastkingdom1_01_s_51,True,,,,,3,idle,,,,,,,,30,30,1.0,,,,,,,OP_kilo,surprise,
event_lastkingdom1_01_s_52,40045,event_lastkingdom1_01_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom1_01_s_52,True,,,,,3,idle,,,,,,,,30,30,1.0,,,,,,,OP_kilo,surprise,
event_lastkingdom1_01_s_53,40045,event_lastkingdom1_01_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom1_01_s_53,True,,,,,3,idle,,,,,,,,30,30,1.0,,,,,,,OP_kilo,surprise,
event_lastkingdom1_01_s_54,40045,event_lastkingdom1_01_s,Speech,kilo_op_c,kilo_op_c,Locale_MainScenario:event_lastkingdom1_01_s_54,True,,,,,3,idle,,,,,,,,30,3,1.0,,,,,,,OP_kilo,surprise,
