id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_alonesurvivor_02_e_1,40033,event_alonesurvivor_02_e,Narration,Narration,Locale_SubScenario:event_alonesurvivor_02_e_1,False,IceLand_01,17,17,1.0,none,,,alice,5,idle,,ludmilla,3,think,,neve,7,idle,,tove,1,idle
event_alonesurvivor_02_e_2,40033,event_alonesurvivor_02_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_e_2,True,,3,30,1.0,bgm_story_fairytalesend_if,ludmilla,,,5,idle,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_e_3,40033,event_alonesurvivor_02_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_e_3,True,,30,30,1.0,,ludmilla,,,5,idle,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_e_4,40033,event_alonesurvivor_02_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_e_4,False,,30,30,1.0,,ludmilla,,,5,idle,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_e_5,40033,event_alonesurvivor_02_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_e_5,True,,30,30,1.0,,ludmilla,,,5,idle,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_e_6,40033,event_alonesurvivor_02_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_e_6,True,,30,30,1.0,,ludmilla,,,5,idle,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_e_7,40033,event_alonesurvivor_02_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_e_7,True,,30,30,1.0,,ludmilla,,,5,idle,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_e_8,40033,event_alonesurvivor_02_e,Speech,alice,Locale_SubScenario:event_alonesurvivor_02_e_8,True,,S_50,S_50,1.0,,alice,,,5,idle,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_e_9,40033,event_alonesurvivor_02_e,Speech,neve,Locale_SubScenario:event_alonesurvivor_02_e_9,True,,70,70,1.0,,neve,,,5,idle,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_e_10,40033,event_alonesurvivor_02_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_e_10,False,,S_10,S_10,1.0,,tove,,,5,idle,,,3,think,,,7,idle,,,1,surprise
event_alonesurvivor_02_e_11,40033,event_alonesurvivor_02_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_e_11,True,,S_10,S_10,1.0,,tove,,,5,idle,alice,,3,think,,,7,idle,,,1,surprise
event_alonesurvivor_02_e_12,40033,event_alonesurvivor_02_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_e_12,True,,S_10,30,1.0,,ludmilla,,,,,,,3,think,,,,,neve,,1,surprise
event_alonesurvivor_02_e_13,40033,event_alonesurvivor_02_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_e_13,False,,30,30,1.0,,ludmilla,,,,,,,3,think,,,,,,,1,surprise
event_alonesurvivor_02_e_14,40033,event_alonesurvivor_02_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_e_14,True,,30,30,1.0,,ludmilla,,,,,,,3,idle,,,,,,,1,surprise
