id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,play_sound
event_nonsensered_3_1,130005,event_nonsensered_3,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_3_1,True,rapunzel_o,3,surprise,redhood,1,idle,BattleShipBridge,2,2,1.0,event_bgm_redash_alldownhill,,,,,
event_nonsensered_3_2,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_2,True,,3,surprise,,1,idle,,2,2,1.0,,,,,,
event_nonsensered_3_3,130005,event_nonsensered_3,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_3_3,True,,3,idle,,1,idle,,2,2,1.0,,,,,,
event_nonsensered_3_4,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_4,True,,3,idle,,1,idle,,2,2,1.0,,,,,,
event_nonsensered_3_5,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_5,True,,3,idle,,1,idle,,2,2,1.0,,,,,,
event_nonsensered_3_6,130005,event_nonsensered_3,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_3_6,True,,3,surprise,,1,idle,,2,2,1.0,,,,,,
event_nonsensered_3_7,130005,event_nonsensered_3,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_3_7,True,,3,think,,1,idle,,2,2,1.0,,,,,,
event_nonsensered_3_8,130005,event_nonsensered_3,Speech,redhood,redhood,Locale_SubScenario:event_nonsensered_3_8,True,,3,think,,1,worry,,2,2,1.0,,,,,,
event_nonsensered_3_9,130005,event_nonsensered_3,Speech,dorothy,dorothy,Locale_SubScenario:event_nonsensered_3_9,True,,3,think,,1,worry,,2,13,1.0,,dorothy,13,idle,,
event_nonsensered_3_10,130005,event_nonsensered_3,Speech,dorothy,dorothy,Locale_SubScenario:event_nonsensered_3_10,True,,3,think,,1,worry,,13,13,1.0,,,13,idle,,
event_nonsensered_3_11,130005,event_nonsensered_3,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_3_11,True,,3,idle,,1,worry,,30,30,1.0,,,13,idle,,
