id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_redash2_01_e_1,40032,event_redash2_01_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_01_e_1,True,hongryeon_o,1,idle,snowwhite_o,3,idle,Armory,10,10,1.0,event_bgm_redash_alldownhill,,,,,,,,,,
event_redash2_01_e_2,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_2,True,,1,idle,,3,idle,,10,S_30,1.0,,,,,,,,,,,
event_redash2_01_e_3,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_3,True,,1,idle,,3,idle,,S_30,S_30,1.0,,,,,,,,,,,
event_redash2_01_e_4,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_4,True,,1,idle,,3,idle,,S_30,S_30,1.0,,,,,,,,,,,
event_redash2_01_e_5,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_5,True,,1,idle,,3,idle,,S_30,S_30,1.0,,,,,,,,,,,
event_redash2_01_e_6,40032,event_redash2_01_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_01_e_6,True,,1,idle,,3,idle,,S_30,31,1.0,,,,,,,,,,,
event_redash2_01_e_7,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_7,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_8,40032,event_redash2_01_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_01_e_8,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_9,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_9,True,,1,idle,,3,sad,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_10,40032,event_redash2_01_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_01_e_10,True,,1,idle,,3,sad,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_11,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_11,True,,1,idle,,3,shy,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_12,40032,event_redash2_01_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_01_e_12,True,,1,idle,,3,shy,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_13,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_13,True,,1,idle,,3,shy,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_14,40032,event_redash2_01_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_01_e_14,False,,1,think,,3,shy,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_15,40032,event_redash2_01_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_01_e_15,True,,1,think,,3,shy,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_16,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_16,False,,1,think,,3,sad,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_17,40032,event_redash2_01_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_01_e_17,True,,1,idle,,3,sad,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_18,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_18,True,,1,idle,,3,sad,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_19,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_19,True,,1,idle,,3,sad,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_20,40032,event_redash2_01_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_01_e_20,True,,1,idle,,3,sad,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_21,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_21,True,,1,idle,,3,sad,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_22,40032,event_redash2_01_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_01_e_22,True,,1,idle,,3,sad,,31,31,1.0,,,,,,,,,,,
event_redash2_01_e_23,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_23,True,,1,idle,,3,sad,,31,S_30,1.0,,,,,,,,,,,
event_redash2_01_e_24,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_24,True,,1,idle,,3,angry,,S_30,S_30,1.0,,,,,,,,,,,
event_redash2_01_e_25,40032,event_redash2_01_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_01_e_25,True,,1,idle,,3,angry,,S_30,S_300,1.0,,,,,,,,,,,
event_redash2_01_e_26,40032,event_redash2_01_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_01_e_26,False,,1,idle,,3,angry,,100,100,1.0,,,,,,,,,,,
